;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;1,010825;0,989895;-1,184431;1,634114;6,670964;-1,173137;0,97833;0,990256;-7,665205;0,964198;-2,687262;-3,395729;0,999425;0,964949;1,061674;-1,437074;0,957817;-1,405998;0,975295;-0,085459;0,969398;-0,650071;-93,3735;0,999688;-1,65344;0,965041;-0,847395;-2,48678;-0,637402;-0,015513;1,116639;-3,279614;0,977445;-0,890547;0,959642;0,978347;8,500856;-0,584073;0,985491;1,003733;0,975688;-0,176633;-0,665898;0;1,008608;1,008758;1,00167;1,003433;0,998939;1,041129;0,967454;-1,861666;1,00336;0,988025;-1,548609;-2,356991;0,919563;0,998593;5,368054;-1,089032;0,985021;-2,551206;0,710742;1,001037;-0,07748;-1,66355;1;15,416261;2,404983;1,022089;6,463913;2,468253;2,534231;-0,706121;-0,422799;0,970757;-7,965896;0,996729;0,982245;0,97805;0,980766;0,980541;0,94901;-4,86489;0,983381;0,983955;-1,132408;-3,08122;0,998915;-0,963174;-0,273185;0,99338;-0,053066;-1,177257;-5,592247;-0,671935;-5,340287;-0,992303;14,297285;0,54808;0,975882;1,006542;1;2,324398;-4,721259;0,904202;0,976417;0,982245;-0,102475;11,189177;3,68449;-6,797575;-0,604332;-3,428201;-1,153465;0,949775;0,990559;0,963409;2,971312;4,963002;-6,067809;0,332306;-12,100863;-3,914116;0,968209;0,540945;1,386056;-0,826986;1,610439;0,998049;-0,266378;-5,732038;2,063214;1,005269;0,983651;1,061524;-4,718981;-0,454162;1,305645;0,997069;0,99525;0,902025;1,005015;0,85186;0,962504;0,99012;0,930884;0,987093;1,978776;1,013731;1,001374;1,043152;1,024327;1,000767;-0,525691;0;0,985828;1,009454;0,995307;0,987681;0,998441;0,983341;0,987581;1,029424;0,986344;0,937063;1,008622;0,998648;-13,78428;-4,745968;0,913595;0,987775;0,980909;0,986893;0,94676;0,996104;1,011016;-1,948746;1,14293;-0,385907;-0,244923;1;0,984067;-5,378794;1,026073;-4,453322;-18,46597;-4,831098;-0,123686;-4,17634;-6,812047;0;0,999652;-1,133383;1,050596;0,999842;0,980426;0,94095;1,009172;0,644454;0,989122;1,006985;1,003243;1,016945;1,016945;1,023401;1,023401;0,998009;-0,584531;-0,661162;0,996563
1990-02-28;0,997927;1,010534;2,735694;1,372624;-4,981494;1,338394;0,993573;1,004917;-1,172803;0,998769;0,088806;3,588767;1,001678;1,028812;0,94215;-0,740387;0,993277;-0,979041;0,951432;-0,069313;1,008608;0,433366;5,040546;1,007331;0,459341;0,994662;-1,416785;-2,027558;0,202741;0,555251;1,006345;0,48548;0,991283;-0,170016;1,063442;0,997536;-4,850442;0,89373;1,005651;0,988186;1,21873;-0,085231;-0,477222;0;0,990826;1,000045;0,995086;1,000066;0,985439;0,999117;0,959972;-6,2032;1,023183;1,010643;1,425036;-7,084516;1,111712;1,000528;5,834748;0,271553;1,006755;0,004609;2,580479;0,994804;-0,064168;-2,96193;1;-2,905074;-1,485526;0,993613;0,24312;-0,690665;1,493266;1,479356;3,728603;1,006466;0,582333;1,003016;1,009773;0,998047;1,013799;1,017164;0,988233;6,316205;0,933597;0,89003;-0,155653;1,192806;0,98823;-0,167001;-0,235166;1,015653;-2,993582;1,24989;-1,865746;-1,085964;2,452419;-1,519005;-14,771758;0,021659;0,935622;1,01021;1;-1,498821;-0,138402;-2,774334;0,985962;1,010614;0,133449;-3,109485;-1,619715;6,653051;-2,925008;0,684432;-0,299647;1,006293;1,001724;0,974835;-0,668561;5,921913;2,226932;-0,165116;21,104014;3,552358;0,937678;-3,5596;0,98713;1,41973;0,870387;0,999204;-0,900205;1,583745;-4,598528;0,999279;0,91764;-2,283623;0,911249;-0,781721;-0,869421;0,998283;0,99713;0,908849;1,305499;1,051026;1,17612;1,013138;1,025483;0,984144;-0,827172;0,964145;0,988017;0,953966;0,98636;0,993398;1,190878;0;1,161477;1,032943;1,002198;0,972043;1,003832;1,014093;0,996112;1,005463;0,992782;0,95371;1,006145;1,007673;12,763193;1,851981;1,119683;1,025099;1,013897;1,037296;0,948208;1,005251;1,012927;0,104638;3,486508;0,435129;0,804968;1;0,980619;-0,724604;1,004595;8,88838;-11,485783;0,083194;-0,105511;-2,697473;1,85872;0;1,018692;0,866413;0,986039;1,001739;1,023999;0,955429;1,010744;1,002312;1,122805;0,929665;0,990458;0,909464;0,909464;0,813565;0,813565;0,99847;-1,160205;-1,641826;1,000482
1990-03-31;1,021535;1,010246;6,490331;0,323561;6,647946;1,057637;0,996961;1,01517;-0,103687;1,009238;0,974509;2,996877;0,998427;1,059636;0,990629;0,590682;1,005544;1,381417;1,021673;-0,040427;1,009792;0,158852;-6,272181;0,993119;1,444612;1,011867;-1,370062;0,349731;-0,077473;1,312617;1,017622;-1,786295;0,95788;0,730332;1,007481;1,029741;3,904243;3,413644;0,989234;0,964729;0,880143;0,097691;-1,458562;0;0,984043;0,980963;0,982795;0,987131;0,920461;1,006907;1,004575;6,230393;1,026751;1,007663;2,512177;4,990407;1,018215;1,003397;0,44732;1,247702;1,01305;0,742877;3,74899;1,001248;0,049377;2,630644;1;-1,34983;-1,404075;0,959867;-2,974792;0,395369;19,738055;-0,736762;4,970975;1,022769;1,342626;1,01831;1,078741;1,018234;1,025645;1,02346;1,050172;-4,487912;1,044198;1,08446;3,508891;1,254369;1,088038;0,765532;1,009079;1,003034;1,288291;-1,592319;-0,175681;1,204601;-1,400222;0,424945;11,286596;0,722816;1,00398;0,997671;1;-1,325223;7,324796;3,546742;1,002376;0,967064;-1,275364;3,319569;2,194035;7,709078;-1,152901;3,004187;1,585879;0,979229;1,013166;1,046551;0,036416;5,59214;0,21272;1,890321;-0,401157;-1,019927;1,02435;0,65202;0,972931;7,485467;-1,95769;1,008528;2,472616;3,933079;0,65571;0,994055;1,001413;2,039549;4,396339;1,755855;0,754248;0,999316;1,001392;0,942151;0,996426;0,937899;1,014213;1,015998;0,99948;0,983152;-0,774397;0,968087;1,110267;0,962543;0,950064;1,001641;2,050645;0;0,966948;1,012825;1,001566;1,032126;1,021419;1,002807;1,001277;0,986439;0,990879;0,965246;0,995689;0,988487;5,942071;-1,552359;1,053563;1,035457;1,008792;1,027977;0,948367;1,031728;1,025613;2,625392;8,24055;-0,792636;-0,651866;1;0,966387;5,353034;0,980781;7,714854;18,850993;1,622262;0,091035;0,720452;4,488574;0;1,003048;0,561757;0,823446;1,004282;1,006082;0,944879;1,002847;0,996942;0,97682;0,982682;0,9882;0,973271;0,973271;0,972858;0,972858;0,999793;1,520913;2,833966;0,998256
1990-04-30;0,999;1,020953;-5,236515;-2,630034;-4,338557;-0,996036;1,014238;0,977596;3,630375;1,005695;0,182631;-3,847361;1,007284;0,97093;0,832698;0,833034;1,006956;-0,278157;1,027273;0,253456;1,005975;0,386642;-0,950804;0,985868;-0,700419;1,00398;3,002602;0,618505;0,623468;0,236771;0,921399;-0,350587;1,021466;-0,943083;0,983676;0,979982;-62,010286;-9,524597;1,002562;1,001147;1,033971;0,265717;3,087916;0;1,024511;1,015358;1,01133;1,010426;1,021371;1,021256;0,934928;-0,262593;0,980527;0,972682;-1,321593;-3,462188;0,972906;0,998649;5,965228;-0,823054;0,985521;3,361945;-3,84415;1,012726;0,29078;1,35718;1;-16,610746;2,105771;1,027759;-1,547692;-1,34746;-5,29516;0,754087;1,106358;0,972595;-1,344605;0,988747;0,988989;0,985139;0,986867;0,988427;1,014793;0,042922;1,013883;0,996624;-3,139112;-0,171643;0,977434;0,475161;1,384527;0,992031;0,05523;3,330155;1,741644;-10,950287;-11,977376;-0,48769;-5,429981;-0,989153;0,983974;1,002014;1;1,21125;3,776309;-3,134169;1,014783;1,012016;0,85785;-11,75603;-4,779396;-9,150916;-5,579885;-3,131115;-0,355327;0,96841;0,978616;1,024404;-2,118787;-5,743276;-1,23432;-2,018976;-0,764877;-4,119889;1,026249;7,487007;0,999183;1,981442;1,544793;0,998592;-1,030358;-2,442425;1,464792;1,004689;0,974384;-1,889684;0,941684;-1,084468;-2,110526;1,003311;1,001842;1,11986;0,932291;1,026127;0,987641;0,983276;1,031905;1,010199;-0,733923;1,001686;0,966222;0,89997;0,931152;0,999215;0,797464;0;0,999763;0,971154;1,001182;0,997931;1,015743;1,007153;1,020733;0,998044;1,017684;1,079405;0,994181;1,004537;0,09975;-1,71938;0,983337;0,978899;0,999193;0,981641;1,048878;0,968091;0,959189;0,06538;-1,903849;0,843737;0,630966;1;1,151953;-1,159953;0,990394;-7,704488;90,103076;-1,125584;0,302581;1,403591;-5,343419;0;1,007282;-0,3419;1,016298;0,998711;1,015105;1,028248;1,004326;0,977924;1,006322;1,062777;1,025404;1,028325;1,028325;1,135878;1,135878;0,999577;-0,669561;-1,11497;1,001665
1990-05-31;0,98771;0,986239;-7,672044;1,447708;0,363589;1,799098;1,009045;1,018294;19,647254;1,019945;2,929523;0,114065;0,998893;1,037042;1,01112;-0,152146;0,997272;0,01003;0,99691;-0,526187;1,020562;0,526419;53,390216;1,002562;4,025444;1,017281;1,475436;3,635382;0,636616;1,109892;0,95808;2,54675;0,993172;-5,017179;1,062026;1,075001;25,373313;1,158588;1,040635;1,031937;1,010475;-0,676309;0,65855;0;0,997734;0,994065;1,014336;0,998587;1,030102;1,002303;1,102749;2,967422;0,964935;1,033481;-2,062701;6,625912;1,024044;0,997906;-3,198532;1,018963;1,01182;3,084472;-12,682712;1,027327;-0,494486;1,330843;1;2,035928;0,304808;0,999405;-1,390301;1,197028;-5,584726;-0,972531;-3,66471;1,01862;2,174057;0,981446;1,016142;1,027959;0,993372;0,980304;0,993888;-0,128377;0,997056;1,02694;7,989293;1,084847;1,040382;-0,581736;-2,024556;0,998991;1,498646;-0,854737;2,388489;2,396129;-16,451881;4,266249;5,470793;2,33802;1,041427;0,9974;1;1,202428;1,951046;0,893199;1,017385;1,052443;0,096793;-2,803112;3,614084;1,956628;11,21839;4,118854;-0,281314;1,025624;1,061864;0,970387;1,606684;3,28256;0,73161;8,464816;-1,326198;7,088706;1,031139;1,085984;1,026979;-4,982279;-1,448082;0,987977;-0,620904;4,296811;1,288029;0,999176;1,028915;1,111135;-2,724723;1,534472;-0,635623;1,005656;1,008012;1,085028;1,155771;1,034976;1,038812;1,020136;1,023942;1,001042;1,313688;1,063938;1,005791;1,077175;1,120222;1,012167;1,221785;0;1,056434;0,868415;1,000884;1,021805;0,991759;0,986205;0,988402;0,96381;0,99924;1,016578;0,985937;1,00571;-4,439788;-1,481769;0,986592;0,962442;0,982342;0,962214;1,051864;1,000739;0,993698;0,767284;-2,137862;-0,583516;-0,335177;1;1,052282;5,878068;0,975159;-24,78529;82,626325;4,939189;-0,576457;5,295586;1,581977;0;0,970018;0,290888;0,982305;0,991533;0,965579;1,244471;0,971375;1,002627;1,023756;1,000903;1,000131;0,990846;0,990846;0,985757;0,985758;1,001357;1,483171;0,708974;0,998613
1990-06-30;0,988306;0,882741;3,778609;-0,936154;-4,187145;-4,322604;1,000397;0,989989;8,715069;0,993434;-0,928117;-1,228792;0,986228;0,784637;1,056587;0,884401;1,008838;0,729299;0,973673;0,095484;0,998495;-2,173225;0,129185;1,006837;0,062292;0,993641;-0,744033;-1,331084;-1,561849;-2,728108;0,968312;3,86296;1,0209;1,253251;0,953063;0,936997;1,024381;-5,057089;0,994469;1,040617;0,89123;0,295527;2,930148;0;1,020803;1,006796;1,016221;1,021876;0,909245;0,946886;1,143612;21,07111;0,971496;0,974463;0,427525;1,741093;1,008911;1,002125;-1,33106;-0,755499;0,993619;-1,185105;-3,805289;0,955581;0,216624;-3,628857;1;3,356676;-2,055436;1,022946;2,059489;-7,761746;2,924738;-1,276841;-2,314366;1,053351;0,083901;0,999904;0,97298;0,986291;0,995917;1,013107;0,958511;-1,577655;1,008232;0,999012;-5,400118;-1,908432;0,992314;-0,224061;-1,996767;0,979362;1,042856;-1,030391;-1,604953;-1,091163;11,844856;-0,93355;-12,157148;-4,536318;1,028863;0,966746;1;-1,855006;-1,198835;1,740463;1,042801;1,003842;-0,575534;0,824186;0,101966;4,172837;3,037332;-3,00543;0,749138;1,062084;0,912597;1,119008;-1,847825;-6,653785;-1,737347;-2,046089;-0,596835;-6,216125;0,93884;-12,702706;1,018879;0,05078;-0,746526;0,99184;1,510049;-1,830455;-0,115231;1,001111;1,053862;-0,344511;12,71932;-1,244266;0,490343;1,009501;1,010287;1,236789;0,74599;1,017314;0,847321;1,075246;0,988982;1,000834;0,135569;1,009939;1,004179;0,965862;0,989263;0,994936;-0,011997;0;1,030077;0,920255;1,009731;0,947479;0,997802;0,999956;1,007766;0,946905;1,021774;1,080488;0,985171;1,014274;-0,793348;16,606933;0,943306;1,012155;0,983446;0,976802;1,057734;1,010097;0,951188;-2,349291;1,112561;0,678636;0,272936;1;1,146206;-3,577994;1,009095;6,424926;46,600102;0,968914;0,244428;2,891973;0,434693;0;0,989829;-0,615938;0,983812;1,000347;0,995494;0,991055;0,986352;1,002769;0,981749;1,015751;1,014416;1,012363;1,012363;0,995086;0,995086;1,000436;0,895997;-1,193205;1,000969
1990-07-31;0,849857;0,112574;-2,894355;0,740002;0,286359;-0,661552;1,009889;0,994118;9,74747;1,001384;1,227329;-2,209152;1,005638;0,988919;1,250088;2,991443;1,020501;0,883277;1,036625;0,149699;1,021778;1,567707;3,140538;1,001838;-1,221128;0,993484;-0,565242;14,609423;-8,235601;-6,655161;1,052809;-1,712865;1,043491;0,68991;0,936203;1,041141;-15,610606;-1,330109;0,989323;0,983307;1,138375;0,144535;-7,354765;0;0,939413;1,002732;0,981915;0,986972;1,116161;0,96504;0,95143;-7,736528;1,017322;1,014033;2,42099;3,299261;0,96277;0,999532;-8,276638;6,08753;1,001756;-0,617598;11,654317;1,017806;0,156242;-0,36669;1;1,373617;0,049503;0,947064;2,972963;-2,73147;2,360288;2,856711;-6,748376;1,016948;-1,197764;1,024651;1,022191;0,98789;1,009593;0,99764;1,022987;20,268625;0,991345;0,98809;-0,131834;0,830302;0,990316;-0,205481;-0,672583;1,019049;0,404359;-0,089762;-0,723057;7,449146;7,72088;15,359483;58,471251;-0,859552;1,246249;1,039509;1;0,946722;0,384128;0,984281;0,963825;0,959774;1,97421;-136,726259;14,793709;39,479522;5,440533;-1,386379;-8,174411;1,038873;0,989135;0,815431;8,270303;-1,059558;31,575398;38,11765;1,253498;11,365757;1,153718;9,192787;1,004616;-6,958922;2,692161;1,017241;-1,21892;2,777843;-6,268687;1,028705;0,991813;0,269799;3,369944;6,78206;7,798355;0,989696;0,990697;0,944681;1,018459;0,993499;1,010972;0,906636;0,980899;1,021026;-0,19729;1,002874;1,003527;1,084525;1,04015;1,007291;-2,916674;0;0,952898;1,124266;0,992357;1,028345;0,884609;1,009762;1,0073;1,053804;1,008997;0,986917;1,01285;0,980383;-1,657625;0,404146;0,840172;0,979495;1,013914;1,033168;1,017366;0,989725;1,060109;6,405181;-0,122462;0,718196;-0,493265;1;0,840559;-6,937786;1,026661;-4,864396;26,64668;-1,926011;0,252404;-5,480094;1,739206;0;1,009896;0,585138;0,987144;1,002975;0,970439;1,025923;1,016414;1,004847;1,024349;0,998185;0,985732;1,00187;1,001869;0,991734;0,991734;1,000221;-1,746516;-0,815234;1,001506
1990-08-31;1,002247;0,603097;21,995745;-2,149881;0,573187;2,618592;0,989202;1,019586;6,819144;0,980277;-1,156381;2,387877;0,998938;0,997103;0,964182;-2,1388;0,993494;0,311019;0,973622;-0,294938;0,988085;-15,013353;-13,125923;1,01433;0,818433;1,004156;-2,544672;-13,378882;-0,769073;0,204485;1,028406;3,070543;0,979227;0,00479;1,047301;0,975291;-92,346505;-13,375228;0,974168;0,955811;0,819651;-0,401508;-17,371587;0;0,845291;1,002172;1,004913;1,002819;1,009702;1,031874;0,95031;-42,522222;0,992268;1,014534;-2,057087;-18,664331;0,919988;0,997887;-6,114671;-1,457349;0,901095;-3,122253;-2,174342;1,070001;-0,343542;1,750998;1;0,047007;-2,576672;1,002492;-1,853553;2,055928;-1,038785;-1,096435;3,511665;0,955643;-4,138116;0,932284;0,985882;0,998675;0,967467;0,988391;0,861121;7,508992;1,012776;1,009559;4,582596;2,87991;0,964796;-4,292943;2,203246;0,993245;-1,544;3,117921;0,709274;-3,153489;28,288926;-12,301213;-11,634428;0,308734;0,687519;0,99081;1;-2,40121;-2,464561;-4,055965;0,960686;0,966616;-3,174471;47,404271;-22,168352;-45,206306;-5,852404;2,102302;0,117833;1,009623;0,997589;0,963887;-11,253022;-1,500889;-27,95547;-51,457572;2,198627;0,196366;0,839626;-3,269044;0,9911;-16,010275;-2,715771;1,003158;1,200381;-23,411412;3,462311;0,985914;1,035363;-10,407981;-3,71954;-7,323577;-2,406896;0,973701;0,981812;1,013396;0,950104;0,991175;0,964833;0,997248;1,49205;1,025031;-2,880995;0,953426;0,942864;1,010941;0,997405;0,965803;-3,567383;0;0,880364;0,982865;0,998254;1,049764;0,909221;0,996344;0,96836;1,034525;0,96995;0,932381;1,014416;0,985416;-4,778507;-18,367163;0,631792;1,000976;1,015609;0,987001;1,023047;0,992828;1,260849;-0,281338;-3,974975;-1,789701;-0,256901;1;0,809472;-0,245482;0,987856;-4,954319;-4,634009;-2,231318;-0,492104;-3,433377;-12,865581;0;0,953985;-0,951915;0,917167;1,008544;1,014134;1,012136;1,007046;0,994054;0,999853;1,001069;0,992533;1,00992;1,00992;1,011293;1,011293;0,998461;-0,707517;2,542779;0,99586
1990-09-30;1,008792;1,082176;-19,733694;-0,175371;-3,18722;-34,678704;0,994854;1,003279;5,141925;0,996242;-1,081665;0,459777;1,005289;1,00125;0,97876;-1,700753;0,976525;-1,250016;0,988165;0,301617;0,967933;-3,34028;-39,285241;1,00441;-5,135714;0,986753;5,540661;0,420025;0,888689;-0,665181;0,97657;-2,039167;1,04621;-0,068119;0,988666;0,960829;-14,267722;3,747556;0,979635;1,02375;0,995882;0,444523;0,008866;0;0,997191;1,0051;0,995346;0,992463;1,029693;1,025412;0,8702;-5,86632;0,992153;0,98475;1,551099;-5,948102;0,977075;1,00224;-10,340384;-4,952413;0,995106;-2,26754;6,204077;1,000612;0,421567;2,935144;1;0,615288;2,986201;1,032022;-1,550279;-1,0868;-5,376297;0,114523;2,824965;1,024701;0,554563;1,023134;0,983796;0,991307;1,019006;1,042876;1,008355;-0,86186;1,002782;0,993398;-1,512759;-3,453249;1,039725;1,455056;2,209935;1,010502;0,094113;-0,868891;-0,891946;1,877996;0,195592;-8,158057;6,073362;-0,760123;1,194086;0,990418;1;-0,194854;-10,431254;0,428229;0,982252;1,017179;2,677907;3,844265;-0,132965;-19,46649;3,798754;0,95453;-4,050741;1,009459;1,009824;0,953868;1,371638;-5,913473;-0,953287;-0,695773;-2,389177;-17,769225;0,990426;-0,367845;0,982258;4,075103;1,918363;0,997097;-1,253164;-5,239163;-0,534974;0,993094;1,017245;1,501686;-17,757606;-0,682583;1,845925;1,045918;1,062035;1,057057;1,052665;0,960975;1,029637;1,012992;1,313467;1,030544;3,064443;1,037661;1,006599;1,006135;1,021134;1,001679;1,885853;0;1,004554;1,001048;1,000415;0,967313;0,866871;1,050472;1,026441;1,028463;1,023133;1,172487;1,017978;1,004045;5,192021;-4,258888;0,573269;0,995899;1,017772;1,033059;1,041132;0,9949;1,041;-2,481625;-0,915808;1,39961;1,07031;1;0,870435;4,607462;1,002146;1,68141;11,856576;-1,840718;0,487419;0,620487;-1,992644;0;1,00668;0,164513;0,920144;1,006454;1,038979;0,955153;1,03647;0,991694;1,013154;1,003133;0,995845;0,984335;0,984335;1,01996;1,01996;0,999124;0,253892;-0,747946;1,002998
1990-10-31;1,000076;1,02234;3,302566;-1,112186;6,202101;1,979628;0,995688;0,972198;4,05931;0,993845;-0,261689;1,025655;1,001738;1,017694;0,975411;-0,039824;0,997432;-0,571902;1,027628;-0,221346;0,99072;3,106032;3,124608;0,917348;-0,093551;1,002226;-2,060463;-1,720356;-0,664755;-0,767206;0,916411;-2,933445;0,952111;-1,156715;0,993334;1,036358;19,347866;7,477778;1,027789;1,024523;1,009969;-0,362659;10,45482;0;1,090125;0,990249;0,994883;0,989964;0,960589;0,962341;1,048964;6,154534;1,023973;1,002646;-3,279547;27,462152;1,038428;0,997523;1,192484;-0,752264;1,004512;-0,25572;0,859138;0,938624;-0,326571;1,017636;1;-4,277968;1,855174;0,979557;1,860861;1,277417;8,866514;-1,141319;-1,550789;0,938685;0,559781;0,97163;1,023928;1,029775;1,001332;0,989942;0,985539;0,508392;0,992159;0,997961;-2,253278;-1,402574;1,072019;0,007832;-2,55849;1,008281;0,771908;-1,654501;-1,626792;1,206355;5,756033;0,612933;26,53082;1,598624;0,973561;0,999358;1;1,779314;-0,876329;0,416797;1,024034;0,997229;-1,212307;-2,722074;-2,543186;11,831528;-13,872447;-3,100729;-0,590624;0,913123;0,994523;0,949105;0,538466;-2,222637;0,216631;1,314003;1,932545;19,376508;1,006979;1,475071;1,480308;14,91629;-0,862702;0,980996;0,504088;1,200058;9,107548;0,999583;0,971828;-0,693044;-13,510927;2,033967;2,312982;1,000669;0,998595;0,917804;1,021799;1,010809;0,993409;0,976673;1,237845;0,972333;8,48651;0,980739;0,989719;1,006654;0,995309;0,990372;-0,342331;0;0,902312;1,043693;0,999168;0,986313;1,127646;0,966959;0,986553;0,964236;0,974785;0,851442;0,991014;1,014763;11,217538;10,955969;1,134139;1,027302;0,976906;0,965826;0,899583;1,005011;0,995362;1,087364;5,316776;-0,741038;-0,333835;1;1,021738;2,719941;0,992447;-4,712048;99,157117;1,824362;-0,299831;14,928137;0,11783;0;1,00469;0,644475;1,077881;0,99051;0,992987;0,928553;0,977677;0,993865;0,99841;0,982537;0,996256;0,944282;0,944282;0,786579;0,786579;1,000244;-0,144267;-1,595853;0,998797
