;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;1,013026;1,077333;19,731004;-15,603303;11,933165;4,351626;1,077844;1,036548;5,230953;0,894512;0,95011;2,104454;0,479486;1,115335;1,122341;4,358166;0,738032;5,294329;1,014884;0,088927;0,840414;12,463823;43,706956;0,813409;1,24722;1,029348;-0,224774;0,250044;8,026852;25,988404;1,123198;-27,669986;0,802454;3,068359;1,002797;1,145798;-11,614991;26,046838;1,054648;1,551242;1,072163;0,234499;-14,534931;-0;1,100887;0,985395;1,130369;0,939604;1,253567;1,076648;1,250324;8,737993;1,026397;1,155832;12,003436;9,272503;1,032996;1,000956;1,78882;6,300607;1,070724;13,562678;51,238655;1,037042;0,124176;-4,520547;1;11,896848;-4,240994;1,03484;-23,29685;3,048504;24,768649;5,567097;6,113329;1,559572;-4,745615;0,917423;1,085218;0,657793;1,013399;1,124315;1,111192;19,850956;1,206387;1,050898;14,854;7,121734;1,081204;3,915423;8,327705;1,041938;-0,338133;3,580995;4,65654;1,37542;11,582845;12,505036;29,70168;-1,869551;1,068303;1,144354;1;-9,019437;8,254101;-9,628853;1,004977;0,278518;4,272341;12,931145;32,602608;58,299225;5,778803;15,772065;9,076781;1,101312;1,081907;0,952347;15,099835;18,315693;11,962431;16,787459;-4,903536;0,44689;0,978975;-11,173514;0,905059;-6,596798;7,798473;0,895211;0,184571;-8,896048;3,814834;1,063535;0,974649;-9,098437;-0,351078;9,747536;5,632801;0,973437;1,004736;0,87732;0,495452;1,063619;0,518645;0,892917;0,351977;0,869091;-14,767475;1,371769;1,235358;0,349524;0,73416;1,007629;-27,218173;-0;1,026135;0,837735;0,98068;1,063793;1,038562;0,723828;1,02281;0,774848;0,969284;0,844515;0,737314;0,824276;14,507807;-23,329643;0,720245;0,979712;0,726267;1,09587;0,705191;1,019772;0,907159;8,373014;-1,629991;-0,664655;1,210961;1;1,251467;30,775986;1,248326;-136,3766;-105,154779;-1,515189;0,174596;-1,034559;-9,083295;-0;1,144484;-0,626166;0,891973;0,846254;0,772877;0,713195;0,833753;1,002148;0,898045;1,228818;0,920763;1,365767;1,365767;1,643336;1,643336;0,988548;2,566748;-7,369074;1,002159
1990-02-28;0,903241;0,998209;0,564794;-13,901676;-1,672778;-3,531704;0,896896;0,894963;3,491309;0,891268;2,403384;-4,627997;0,412263;1,044927;0,955373;-4,040661;0,773483;-2,300867;0,9163;0,045578;1,045428;9,828187;39,279125;1,065382;-8,371244;0,954447;-3,928088;-0,760748;-3,110705;5,213326;0,952382;-36,668152;0,768077;-8,113455;0,786537;1,064085;-71,822812;10,773545;0,968451;0,786692;1,144179;0,100853;-17,291729;-0;0,97185;0,962435;1,091843;1,653017;1,488833;1,001526;1,096795;-23,313343;1,083548;1,110022;-0,173354;-6,365035;0,910447;0,998838;-5,381833;-3,63495;0,982231;0,102456;21,798213;1,050803;0,081299;-14,344165;1;-5,171125;-4,405797;0,989326;-26,245314;-0,2256;21,081712;-1,373711;0,91137;1,32628;3,680521;0,925754;0,957238;0,644546;0,974679;0,980719;0,934449;14,740338;0,965872;0,981733;9,918349;4,058999;0,998942;2,600857;0,667424;1,015469;-5,946327;2,119152;-1,998172;-2,115811;10,398249;9,43611;10,748262;-3,244998;0,990133;1,067353;1;-7,291162;2,096158;-7,527621;1,085683;0,510031;-0,784063;4,042029;6,44767;16,48808;-6,472001;6,920568;1,349929;0,984024;1,065395;1,293793;6,559258;1,416809;1,747748;7,039922;-7,996891;-13,682638;0,896187;7,782585;1,051659;-2,347379;-0,324084;0,814352;-4,110387;-10,01305;5,593257;1,045254;1,010704;-8,61037;6,607135;3,669734;-2,408279;0,995547;0,865194;0,690226;0,710138;0,847138;0,650396;0,947699;0,552647;0,796159;-32,280978;1,347935;0,784619;0,72461;1,029808;0,940962;-32,276523;-0;0,950494;0,977745;1,021006;1,010464;0,970085;0,964818;0,999825;1,000849;0,804824;0,531092;0,867796;0,919281;3,681747;-9,454399;0,420233;1,012077;0,883939;1,01849;0,841638;1,141777;0,964312;-4,314196;2,563414;-3,044386;2,440498;1;0,764862;1,057112;1,142502;114,744177;25,060611;1,850298;0,118662;-7,810254;-0,543295;-0;0,980551;8,836482;0,866669;0,883935;0,870417;0,834721;0,805969;1,596303;0,838887;1,094207;0,853213;1,186761;1,186761;1,508605;1,508605;0,898999;7,114798;-5,960098;0,998251
1990-03-31;1,030705;1,108295;28,626744;8,29393;-3,298319;10,612491;1,016468;1,022641;6,947658;1,087471;12,549655;4,556772;0,40704;1,109306;0,989673;6,238844;1,161184;4,572784;1,003579;0,011417;1,055852;13,741319;57,31581;1,066914;-5,905158;1,045522;3,263683;12,98306;4,629694;13,81886;0,767371;-20,307249;1,018072;-0,48648;1,011311;1,149473;80,296633;38,043744;1,151138;1,025002;0,954927;-0,098751;5,251811;-0;1,02852;0,965943;1,04796;1,492049;1,308253;1,136073;0,850828;82,319905;1,098119;1,235326;3,066945;17,949879;1,031237;0,996034;2,4554;10,314936;1,07414;6,171976;29,088908;1,173845;-0,037486;0,657424;1;-5,741797;-1,090627;1,135766;-5,099252;0,214115;45,12399;4,726599;5,473663;1,331355;14,058483;1,086289;1,035919;0,998315;1,099415;1,119884;1,03496;22,434374;1,223828;0,992224;28,8445;15,454865;1,086562;8,988154;8,222772;1,109078;-1,126963;6,593745;9,153187;3,867068;25,334487;22,085923;43,400171;12,593441;1,042334;1,157692;1;23,448994;11,557625;12,637015;1,079887;1,216988;13,837911;29,489992;24,801333;36,766215;21,302127;13,226501;8,683155;1,089525;1,129001;1,14072;20,429926;25,160903;11,933316;20,433504;8,616013;2,92109;0,894493;0,274977;1,038557;22,470051;10,620991;1,08874;11,73168;10,727678;28,48165;1,102798;1,089482;-2,036285;21,155159;3,575979;13,250667;0,995582;1,014519;1,22975;0,978911;1,098737;0,791253;1,186731;1,270201;1,083026;-8,444597;1,413882;1,216051;0,616021;0,959781;1,010711;-5,716186;-0;1,129767;1,06442;1,014362;1,135223;1,082963;1,057718;1,127651;0,844095;1,038421;1,140551;1,085319;1,075723;31,174218;1,126186;0,831035;1,03635;1,022612;1,217383;0,898809;1,163285;1,386953;14,657991;6,42197;2,290905;10,139489;1;1,078311;-0,62;1,242717;-65,95915;121,796725;18,518614;-0,088672;3,43076;22,705026;-0;1,114235;-0,131693;1,173962;1,041352;0,978893;1,100495;0,903985;1,29007;1,007172;1,072879;0,960576;1,119261;1,119261;1,256522;1,256522;0,977786;-4,060605;12,359883;1,000627
1990-04-30;0,991572;1,056248;-0,012051;5,227731;1,683117;-3,012332;0,99029;0,9969;9,304989;0,970376;11,7315;6,667181;0,335969;1,003555;1,016493;4,799421;1,480782;-4,699917;0,903026;-0,283676;1,030535;-4,739007;19,459794;0,944535;9,160993;1,17394;4,214021;8,030788;-1,789653;0,556119;0,990137;-22,206924;1,120392;-1,147778;1,102399;1,064444;3,92075;41,048461;1,083463;1,176124;0,846241;-0,273635;8,307888;-0;1,02537;0,90195;0,833455;0,894438;0,930487;0,874798;1,39766;14,270775;1,182218;1,044166;1,658092;11,295112;0,914348;1,000785;-4,347478;2,093088;0,991671;0,655099;17,400015;1,134503;-0,278845;-14,270607;1;-12,413714;-1,031355;1,007587;11,981809;2,152392;-3,266001;0,441811;4,763959;0,788023;10,674009;1,008468;0,974984;0,712795;1,098944;1,017053;0,947803;13,474261;1,131474;1,029438;1,421252;4,669522;1,072599;2,428863;6,209083;1,036322;-4,437157;3,899063;3,382458;1,233166;9,973667;6,217125;46,272403;7,797393;0,987819;1,021384;1;15,17296;3,127758;2,519296;1,037933;1,193536;5,978089;13,367609;5,61443;18,006845;3,524224;7,581542;5,261014;1,037225;0,993213;1,050889;8,104721;18,280413;7,265321;7,122471;5,951531;1,920228;0,885018;-4,912265;0,948596;-3,751174;6,742251;0,882269;1,715872;5,058245;13,547875;0,988032;0,929147;-9,480365;21,874469;3,81571;2,444703;0,949689;0,828675;0,526661;0,938322;0,984801;0,824481;1,091221;0,623555;1,326119;-10,674059;0,973273;0,730478;0,452431;0,702099;1,023128;-21,200466;0;1,049669;0,819006;1,02414;1,068061;1,042622;0,966316;1,015613;0,715704;0,965413;0,808558;1,103825;0,920101;21,487121;-16,262256;1,322198;1,010525;0,90207;0,810034;0,910103;1,074203;0,876396;2,319418;14,626542;0,874187;5,756222;1;1,165799;-6,174122;0,939476;71,585346;124,346661;-10,737278;-0,30295;-4,702873;4,554731;-0;1,000473;1,212958;1,013038;0,974593;1,103607;0,671296;1,586442;1,054545;0,882439;0,985645;1,022601;0,992401;0,992401;0,985514;0,985514;0,971552;8,951955;3,607441;0,997365
1990-05-31;1,02604;1,069635;-3,870985;8,676914;-17,31913;2,139552;1,009461;1,046278;6,078743;0,951714;7,495422;14,248082;0,425742;0,948233;0,837273;9,579456;1,58928;-4,136218;0,942589;0,493023;1,020318;-7,809079;-46,649419;0,839466;13,77416;0,993578;6,602831;6,64239;0,091187;-2,515219;0,921556;-7,238353;1,307984;2,89991;1,352585;0,902018;47,260735;9,020179;1,073149;1,140876;0,979632;0,657941;-7,746296;-0;1,045763;0,778252;0,805915;0,523467;1,094512;0,823686;1,007849;-8,09603;0,980525;0,931553;5,116754;-2,227822;0,937241;1,001558;6,040419;4,645068;1,011944;0,871545;7,255094;0,961499;0,502737;-2,544002;1;4,037715;1,554112;1,002358;12,76475;-4,521338;-41,888828;2,135095;3,335315;0,693288;16,993075;1,013313;0,983878;0,79622;1,069867;1,060988;1,093577;20,482633;0,937434;0,952031;-5,999278;1,950911;1,036191;1,470299;4,276159;1,051166;0,60285;6,449828;7,126279;3,649255;15,656016;1,12282;22,135747;5,602076;0,988057;1,025874;1;13,0531;-0,304463;4,374515;0,983174;1,315432;7,784704;-1,005174;1,13935;10,602662;3,046375;1,534223;3,276838;1,023692;0,971775;1,039605;2,314277;3,068071;6,65196;7,910817;-0,648826;6,912139;0,789255;15,353771;0,912871;-22,355297;1,058177;0,945858;0,008883;8,265933;7,833213;0,989419;1,031167;-1,499676;5,224122;2,794743;-3,778762;1,03676;0,966912;0,881156;0,824698;1,043872;0,806155;1,115231;0,784079;1,496369;-4,320947;0,864074;0,717312;0,582105;0,82947;1,08376;-7,373318;-0;1,005202;0,940029;0,97332;0,989623;0,948996;1,025349;1,052129;0,719711;0,948311;1,116723;1,032175;0,897874;-6,551952;-13,91209;1,95757;1,053132;0,998952;0,86658;0,878326;1,28591;0,860604;6,845403;3,009302;4,347526;1,230776;1;0,991039;12,117472;0,869526;44,521621;72,442599;-18,754489;0,570313;-11,123254;-15,813892;-0;1,051569;1,675398;1,024323;0,996575;1,140086;0,763831;0,996383;0,739242;0,918326;0,897407;1,072888;0,803668;0,803668;0,607657;0,607657;1,011106;-0,510295;4,846688;1,000518
1990-06-30;0,982687;0,731107;6,253941;16,048576;2,30256;9,989047;0,964627;1,02728;4,69611;1,154679;13,100717;6,970336;1,212043;0,867609;0,96963;1,083255;1,668646;-1,468083;0,947533;-0,126664;1,07392;6,90592;21,814064;0,87698;-11,502128;1,10699;8,683819;8,618364;-5,441778;-0,013599;0,916775;-12,69044;1,573993;0,771848;1,279781;1,081727;7,206876;33,421581;1,087639;0,985111;0,948748;-0,318462;23,67114;-0;1,004775;1,311524;1,008627;0,768509;1,237188;1,164752;0,761664;65,734066;1,020866;1,118057;5,040114;43,100011;1,061078;0,997362;6,939587;5,926958;1,100898;3,385864;13,478556;1,040696;-0,207923;0,347849;1;-1,941316;0,490985;1,044711;6,552397;8,262092;10,289868;0,295251;-1,928324;0,677362;19,872316;1,264863;1,068808;1,108871;1,165799;1,144093;1,380747;9,001397;0,995157;1,018107;15,657756;12,107334;1,064611;4,327522;4,784892;1,110318;-3,971551;1,120331;3,236195;2,392848;29,647081;7,066958;38,261603;10,2427;1,032407;1,064645;1;24,507244;7,150236;9,9805;1,178826;1,346186;11,368373;8,202579;21,249451;50,846726;27,853211;11,97094;7,806485;1,010111;1,17264;1,016998;17,841594;19,509864;15,817502;20,806576;16,247575;28,974004;1,050099;53,607955;0,962749;10,045905;11,282085;1,638031;9,446114;6,245691;28,878696;1,096896;1,200217;14,921057;18,669614;10,374033;1,275904;0,977168;1,124331;1,238228;1,295761;0,445605;1,096711;0,908833;2,307831;1,363318;41,99055;0,937063;0,845173;1,152422;0,769897;1,192892;25,734292;-0;1,068934;0,936531;1,052346;1,109904;1,229087;1,137528;1,085403;1,198363;1,095874;1,271278;1,275417;1,04898;0,357364;21,777368;3,189118;1,078366;1,192699;1,06508;1,00517;0,95557;0,994506;18,179479;12,180273;4,273281;8,897874;1;1,003124;-8,690776;0,945596;63,570169;30,601571;-2,153498;-0,251322;-4,524361;3,382581;0;1,128513;6,602358;1,042089;1,157052;1,149095;1,546173;1,10213;0,95623;1,318732;0,864836;1,070548;0,786024;0,786024;0,542342;0,542342;1,056668;6,498526;7,74761;0,998264
1990-07-31;1,006537;0,987871;9,010242;14,959337;-1,08858;31,086925;0,998087;0,956228;7,361176;1,033321;-33,54876;6,474662;1,614191;0,520356;0,835823;-3,147911;1,389398;-6,839686;0,969588;-0,180275;0,896043;-35,72739;-50,009932;0,786122;-3,891311;0,87833;1,561201;-9,225444;-5,902654;-21,986339;0,708959;-20,940817;1,160669;1,289244;1,273283;0,891887;-80,537013;-33,573834;0,807364;0,780025;0,729392;-0,171187;-4,607591;0;1,059813;1,327008;1,269745;1,132797;1,338895;0,96959;1,152331;-45,244058;0,885598;0,887345;12,813094;69,734504;1,132596;0,999973;7,318353;13,110503;1,062125;18,046573;43,252122;1,11927;-0,149648;-18,483068;1;5,945895;-0,961171;1,083346;12,770197;3,999179;-37,059125;1,600169;-13,070949;0,784037;15,595988;0,928548;1,116389;0,649941;1,202849;1,064534;0,965249;-51,842669;0,990466;0,968496;-16,918219;13,709203;1,03754;3,915882;7,012847;1,079794;2,166931;-9,124166;-12,154225;-4,143693;10,309823;9,469792;34,591924;2,130131;0,999956;0,728303;1;21,733533;1,743599;12,27962;1,246259;1,695497;3,458053;7,49094;29,864188;86,894978;44,358393;12,989154;9,070337;1,055169;1,033546;0,96076;-19,806715;-17,635673;-11,159499;-9,250314;-7,206982;44,119893;0,939557;-1,228715;1,082912;-26,832075;0,9892;0,661852;2,892722;-3,368088;10,632396;0,924335;0,979774;16,468917;8,208362;15,707475;5,338541;0,971012;0,877794;0,616016;0,816607;1,132333;0,679038;0,547466;0,632914;0,950911;5,35935;0,934973;0,836502;1,323229;1,182748;1,04713;23,454167;-0;0,802416;1,056497;0,966383;1,087476;0,909314;1,032006;0,992523;0,746836;0,973322;1,208361;0,979372;1,052077;-16,579454;13,209415;0,352065;1,053258;1,053083;1,097445;0,973421;1,238431;0,95534;8,488126;2,320516;-3,484646;-2,998812;1;0,79772;-14,946914;0,963833;165,457912;-14,144531;-5,21944;-0,259801;4,930559;-8,125464;0;0,920924;4,960733;0,930515;0,97474;1,180759;0,803814;1,115312;0,882264;1,022759;0,886396;1,117557;0,805239;0,805239;0,4836;0,4836;1,127823;8,143956;5,655644;0,997773
1990-08-31;1,003661;1,056328;-48,450807;-16,293685;-36,454964;-63,303268;1,051642;0,963381;14,392642;0,866019;3,829179;2,011092;2,13432;0,993601;0,94021;-5,71649;0,809224;-4,127226;0,98048;0,271092;0,83306;-11,171686;-154,503678;0,886691;-9,211384;0,743575;-8,29267;-17,851879;-1,047307;-11,313968;0,980221;-28,95029;1,099419;1,220075;1,22976;0,426023;-465,234385;-94,209987;0,347204;0,234175;0,635739;0,379101;-26,706899;-0;0,407025;0,635519;0,686277;0,602404;0,514885;0,455081;0,575202;-215,838129;0,573096;0,59439;-41,30099;-130,725219;0,837515;1,001649;-2,399;-39,456394;0,68952;-28,284652;-124,987682;0,592678;0,35319;-16,645483;1;5,028065;-4,29516;0,682043;-6,784072;-4,281099;-15,598978;-12,529266;-9,350731;0,390036;-29,449084;0,882919;0,868003;1,696621;0,688247;0,861033;0,975905;-91,158507;0,622865;0,837446;-62,23733;-67,806832;0,782096;-16,729651;-33,448314;0,511658;-4,447801;-15,629432;-25,436231;-11,20905;-103,323537;-60,928722;-330,331829;-62,132032;0,497172;0,948724;1;-55,133248;-31,59058;-16,032811;0,360115;0,550235;-36,021749;-54,907326;-136,344294;-313,733803;-59,25731;-69,394976;-40,246044;0,656175;0,52506;0,252995;-79,942408;-124,306119;-59,005392;-87,657397;-21,536824;-86,059573;0,636222;-47,591555;0,804473;-17,101524;-49,077451;0,961657;-38,978186;-48,41166;-117,285007;0,633117;0,867762;17,116748;-44,669929;-48,808272;-52,535149;0,819454;0,786873;0,513737;0,924945;0,595199;0,595023;0,755771;0,503281;0,553648;-49,996365;0,764885;0,820708;0,815778;0,939003;0,825591;8,814668;0;0,500114;0,986959;0,863832;0,580595;0,772571;0,840798;0,750787;0,95447;0,710986;0,299074;0,720729;0,656555;-49,110074;-25,601365;0,186951;0,64331;0,893154;0,540311;0,964596;0,754586;0,781975;-78,36119;-50,617422;-5,009;-28,169237;1;0,19781;-13,627605;1,021536;-147,322087;-95,101342;-62,486425;0,492359;6,754988;-104,511973;0;0,709013;-48,58668;0,848061;0,714691;0,761224;1,050692;0,954418;0,722414;0,863926;0,823652;1,007249;0,732692;0,732692;0,376864;0,376864;1,066014;-40,211656;-33,649524;1,003443
1990-09-30;0,986212;0,907945;20,943567;3,275599;16,620414;3,482861;0,953761;0,961301;-16,682705;1,074941;6,98469;-12,894058;2,276765;1,104858;0,992054;-10,667722;0,728227;-2,986329;1,082194;-0,318977;1,234797;11,08835;16,195268;1,198157;5,041148;0,919635;-3,806481;5,767083;-6,948982;1,515842;0,986968;-1,390508;0,821324;-1,364189;0,754399;1,126915;107,800735;-11,377444;1,08794;1,236677;1,025985;-0,464883;11,354744;-0;1,056148;0,817613;1,383003;1,012128;0,675154;1,116997;0,979679;41,257453;1,063261;1,044125;9,809462;0,262291;1,095729;0,997269;-1,733219;4,024668;1,070206;-3,175223;-16,130304;0,991667;-0,411717;6,480447;1;-8,132957;3,084433;0,992013;10,938318;-5,076364;20,134133;1,344876;4,4318;0,681242;0,945716;1,08229;1,0052;0,939453;1,060092;0,957168;0,920487;4,49794;0,787604;0,997932;13,155282;8,644677;1,033163;-0,630248;-1,060972;1,06485;3,740911;-8,982032;-1,585217;1,145824;-4,034369;-3,737278;29,202889;3,099611;1,0912;1,020535;1;4,150135;9,768168;-1,289843;1,016466;1,497881;4,218666;-19,173765;19,339497;24,426917;5,404598;4,653264;3,085432;1,013185;1,045128;1,105301;8,013987;29,098472;9,834471;14,401757;6,320364;11,496083;1,154385;-10,924779;1,008374;-5,254731;6,50484;0,856317;6,629932;17,708043;10,165331;1,000211;1,02137;17,62822;-9,099939;-2,801849;5,918647;1,099281;1,204273;1,131104;0,83451;1,217413;1,140207;0,735224;1,62349;0,521263;28,917633;0,927434;1,067526;0,661087;0,821958;0,890997;-1,348713;0;1,099658;1,242305;1,03343;0,990064;1,069276;1,034284;0,961315;1,201338;1,095496;1,173467;1,047348;1,054544;-6,40246;14,908017;0,312156;0,882213;0,878638;1,077164;0,914922;0,603515;0,956114;8,489551;6,348951;1,260156;2,986243;1;0,921737;-3,580689;0,949601;-0,355282;-8,06971;11,09356;-0,482039;36,271496;31,078742;-0;0,955634;4,041762;0,898368;1,058498;1,037333;1,461441;0,917728;0,858321;0,965511;0,886845;1,056517;0,797605;0,797605;0,581364;0,581364;1,013692;1,91465;7,635556;0,996225
1990-10-31;1,044302;0,95365;21,079626;19,874857;6,103293;14,312754;1,099908;1,092666;-7,175339;1,010523;1,749029;-6,242096;1,320833;1,192933;1,26735;1,110898;0,59898;8,872291;1,154939;0,212323;1,114561;14,403379;52,596378;1,375404;15,206035;1,153909;1,73496;5,857541;6,652743;9,798346;1,17714;25,106849;0,93618;2,183009;0,756702;1,215663;275,741505;39,274239;1,271891;1,296003;1,397092;0,34897;5,346942;0;1,359929;1,110133;1,084116;1,321798;0,815728;1,201195;1,260068;67,619747;1,142214;1,073275;19,537059;40,445992;1,126068;1,001935;-6,077085;8,291823;1,146362;11,757265;35,987499;1,043961;0,337342;25,45242;1;1,54878;6,443428;1,124204;12,621989;8,647934;11,776003;3,780303;0,628639;1,12767;7,554188;1,165559;1,142746;1,265578;1,059296;1,050197;1,079757;20,340396;1,288466;1,152118;28,204046;17,654549;1,121793;4,897664;11,424472;1,132731;7,916033;0,439175;7,080763;2,956706;15,666809;14,092226;67,409292;19,844452;1,138225;1,164385;1;24,175006;11,108486;15,119343;1,091705;1,057055;9,589562;12,480029;35,07805;71,642585;22,936863;20,720512;9,653693;1,135853;1,159007;1,429994;29,773906;44,197265;18,464834;27,404455;17,628163;32,420933;1,517436;-18,1849;1,063843;31,043678;14,710308;1,003422;14,138469;23,690986;42,525264;1,142571;1,179701;11,201416;15,890568;16,170682;18,860774;1,040761;1,005978;0,763413;1,200395;1,73728;1,293787;1,217527;0,568837;1,164512;22,779782;0,796434;1,415153;0,760324;1,059946;1,08358;15,218938;-0;1,424967;0,955975;1,07836;1,150024;1,001015;1,162675;1,097188;2,154739;1,095488;1,821567;1,008793;1,072034;9,159113;10,699259;0,780822;1,200129;1,053838;1,115784;1,180267;0,72341;1,052896;18,416412;12,096466;3,964735;10,604398;1;1,093804;-5,053964;0,975196;3,646294;-3,266629;34,81052;0,313896;12,288876;55,079999;0;1,048158;34,684903;1,121737;1,09229;1,069477;0,846698;1,039342;1,144876;1,005731;0,991186;1,077106;0,986813;0,986813;1,079045;1,079045;0,993561;18,519396;23,52883;1,000279
