;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;390,802062;2800,928949;228,40282;111,120645;96,702306;113,551406;103,175145;79,867479;64,391504;79,54359;86,674783;35,695884;100,43489;33,823566;439,879809;80,850494;81,577886;79,473322;35,9083;99,924142;107,367924;93,78903;140,960654;99,518006;92,577424;80,188766;46,650654;72,992938;92,222328;105,79235;117,388855;79,674674;95,87922;87,76338;75,0727;730,883116;1266,201634;267,614716;571,567056;548,221814;205,983191;108,628675;121,018305;113,044911;290,497357;2393,492235;3466,426991;4707,097637;5264,828611;550,949784;973,828867;503,814502;242,377835;1149,086428;91,700886;226,526909;97,6214;90,201902;112,536975;114,702649;112,823984;90,606559;436,126421;297,767496;125,425009;143,734513;92,005506;136,299555;73,374299;340,087049;134,453191;87,464212;244,573167;62,738253;80,136917;88,421265;108,35403;117,483003;36,332921;66,152171;74,135611;109,418841;34,778065;184,662174;47,664284;32,30138;206,612761;95,975424;73,133989;61,299592;59,315636;64,279164;78,836148;81,112155;117,543155;55,384566;174,545606;168,985496;490,267302;116,361622;326,856363;452,796088;72,199682;166,87047;61,028443;105,621569;139,398268;164,085933;107,562238;184,199312;209,074601;406,279956;221,755099;96,149329;89,145557;184,200873;423,855014;81,187919;148,12317;225,641756;106,59113;178,275309;154,391867;220,141105;128,574955;99,093181;117,97322;175,970261;104,450366;92,751401;92,709418;153,302776;276,315444;192,230187;157,706465;81,719864;181,569304;71,787782;110,754134;39,931652;24,163479;112,699949;268,516717;48,462495;94,916153;3622,727419;34,220511;21,124619;115,891809;128,074056;140,743808;42,955924;90,923486;129,802943;126,734828;99,770136;145,169145;97,793528;61,817944;80,710393;104,266652;102,557316;117,204292;207,148411;96,50074;61,669449;73,736396;63,996091;138,026652;140,314606;153,953974;479,222458;112,763532;118,128167;156,316334;60,314717;188,920458;121,564015;91,112287;27,651959;66,653313;98,282874;15,780403;28,700205;60,024834;373,522663;330,680098;227,10324;78,930914;142,394859;258,262621;138,864941;51,639856;101,79816;60,551604;91,385744;38,134133;71,36042;115,768491;44,624925;70,90502;68,946448;106,65242;63,027686;63,027683;71,004326;71,004327;77,385475;102,176216;144,018327;57,886913
1990-02-28;380,621356;2833,644145;232,051959;110,918465;84,488981;115,567018;105,461162;81,010733;70,304555;82,361655;89,45166;42,165638;100,559394;35,974462;388,252714;82,26595;84,537463;81,147485;35,888012;99,967491;111,209586;95,426454;238,581324;99,806447;94,986419;82,707372;47,113849;75,958675;93,098244;106,495936;104,727185;82,735614;97,583967;89,630142;82,175587;738,851049;1237,428682;265,605573;582,459861;549,763008;259,73924;108,76232;120,999741;113,044911;283,977153;2364,267815;3439,787456;4666,881403;5324,632901;523,245961;964,296965;498,143551;245,455985;1178,646927;94,212258;221,596175;115,712974;90,393195;112,740599;116,126808;115,639793;92,845659;435,26155;288,434213;125,467886;142,456381;92,005506;120,414203;68,800782;328,553679;127,78244;82,705032;243,300961;65,185728;82,684017;89,811799;116,252953;118,403098;37,391188;67,743052;76,614351;112,785952;36,959725;198,694336;45,577534;29,380054;206,627317;100,638055;73,068283;62,568952;59,405975;65,635582;76,741421;83,191335;121,938324;55,157552;183,826025;169,067596;460,757534;114,728385;313,762901;451,392826;72,199682;162,611539;65,911382;102,399187;141,830908;169,416242;108,582209;168,799415;200,635079;416,457361;223,394238;101,101209;90,215663;196,025069;429,21564;81,646676;143,351767;223,828211;113,983438;176,484829;186,965564;229,958342;128,460245;97,211444;84,935282;176,736555;102,657464;93,319328;92,024755;160,263843;269,631838;190,723712;146,764717;78,92835;187,611926;71,429826;109,308693;39,854474;24,147823;114,003981;343,435303;60,450533;116,095244;3623,04241;38,085595;21,002298;112,747398;125,625244;140,616054;39,689867;88,391919;128,81653;127,487223;99,770136;173,508661;98,146131;62,035449;79,973704;104,741251;105,832793;118,644902;201,65713;97,208142;66,41296;73,48693;64,267032;160,640927;148,040876;183,651898;485,928976;116,494462;121,864411;154,609387;60,153378;188,094024;122,638472;90,602558;28,740422;67,216997;98,282874;16,165593;34,276842;58,8826;380,696802;341,514902;233,354084;78,986848;144,265876;268,168091;138,864941;52,838436;103,767331;55,95116;91,380432;39,703666;73,332989;115,876354;69,418374;80,460186;64,415802;105,616226;56,738091;56,7381;56,584388;56,584404;77,811602;101,930452;143,352819;58,11351
1990-03-31;383,682034;2824,731449;236,119726;109,964796;95,473175;114,992042;106,578943;81,863842;70,692893;83,252182;90,401113;41,150755;100,108025;36,880911;405,235696;84,271181;85,529084;84,846743;39,447588;100,001652;111,187329;96,012672;227,871572;98,035984;96,365987;84,28399;48,001051;81,002913;92,757034;107,344483;104,301464;80,003105;94,61105;91,835605;77,11037;758,534002;1227,144976;263,819948;570,056764;546,003288;189,132475;108,961924;119,689866;113,044911;280,385837;2308,416297;3390,491424;4575,896003;5117,040471;521,633145;1015,904878;508,223736;245,277442;1179,328306;94,405397;233,660127;103,471747;90,647656;107,209678;117,007131;116,628168;93,404604;433,264936;283,173344;125,586671;147,870577;92,005506;124,831162;68,026967;315,047547;124,269965;82,364865;261,831112;63,189624;82,590892;89,92414;115,884107;120,211576;39,903828;69,376626;77,556306;112,375187;40,005886;191,772721;51,307234;36,027228;209,390801;101,116371;81,166927;63,967486;60,964405;64,678473;81,681147;79,901592;124,329738;57,317746;181,573569;171,539002;485,995076;114,251131;337,453982;442,319666;72,199682;162,249266;73,67566;108,957189;144,672459;162,190829;107,850852;174,820345;200,682531;413,190901;228,790427;104,386329;92,276458;191,690075;434,582311;87,300414;142,817735;221,27088;110,881555;177,08057;165,017413;227,927844;144,678391;103,623725;84,717815;181,257625;98,387842;94,781309;95,408057;162,675103;275,342112;189,128455;159,734754;83,879877;190,829847;73,855829;111,68408;39,650467;24,114388;118,239194;259,385289;54,522575;100,451676;3519,796913;37,330126;20,975487;112,336466;130,107949;159,6592;40,608217;86,282003;129,621318;127,303623;99,770136;146,706376;94,248328;61,75523;85,440216;106,584805;104,557985;119,222667;198,093289;97,201124;70,623028;72,614796;62,629549;148,727236;145,064737;168,573523;477,276549;115,570814;117,883749;153,131332;60,839376;189,148679;123,647366;92,027533;27,619074;65,11622;98,282874;16,386696;41,160737;57,617476;371,714054;375,338664;235,82423;79,194182;147,692708;271,949618;138,864941;52,243244;103,267836;46,051798;91,42937;38,945848;73,78108;114,999197;69,074386;70,008198;69,114053;105,717366;61,283939;61,283942;68,063841;68,063833;78,389238;104,885215;148,342637;57,975509
1990-04-30;369,244144;2852,012098;225,187457;107,146161;83,825185;112,585146;109,165468;78,840159;73,767621;83,020138;89,711335;33,795157;100,872471;33,544981;338,335736;85,068134;85,569114;84,498593;40,539152;100,296745;110,673544;97,201036;233,80669;96,897553;94,616911;83,801054;53,12011;83,863583;93,333601;106,379359;93,262019;80,889127;101,222187;91,581151;74,520177;717,494706;1139,054643;246,043013;572,544542;576,404758;223,495644;109,136808;123,663597;113,044911;289,839169;2377,621757;3476,005377;4645,505872;5851,187918;523,862024;949,702221;498,117165;234,095171;1142,052534;89,570565;225,17975;96,094923;90,217268;112,548778;114,746162;113,622877;95,717482;422,563923;279,434177;125,828031;146,405185;92,005506;112,832993;70,737557;334,809528;125,846496;79,240173;237,661052;64,977175;77,302933;84,271172;111,763176;116,858738;36,482295;67,297385;74,59059;107,264081;39,28841;200,602866;50,165985;33,328355;201,636753;99,858912;73,61226;64,138682;61,815062;63,857238;80,938405;84,355082;126,78733;44,85494;172,570789;170,830349;468,592297;111,248979;330,792613;441,020703;72,199682;164,291868;70,346785;102,528963;146,218344;169,280012;110,768904;160,752955;189,665723;390,725302;228,075987;99,101362;90,390448;190,340466;419,984971;85,224634;139,573289;207,636275;108,235676;171,539017;164,327046;227,464612;148,826873;112,771807;88,115947;174,224538;100,466793;94,570129;91,84899;156,015766;276,600862;190,417634;154,963005;80,733872;186,658308;70,784783;109,538367;39,494267;23,939493;140,437218;240,621998;60,162792;98,228719;3277,058722;38,491452;21,563249;112,020604;139,094761;140,404727;38,386244;85,446777;128,925969;124,916036;99,770136;153,836817;88,594388;61,470592;82,916037;105,920011;104,811593;121,290367;200,84466;99,99612;82,269209;72,382146;63,139555;137,242646;145,005073;152,823702;437,001785;114,060902;109,75554;167,620372;56,145161;176,270513;119,083905;78,431945;29,35225;65,670438;98,282874;20,038785;35,217616;58,290581;347,614583;449,136736;233,421407;79,40846;148,306792;263,15052;138,864941;52,705665;102,066587;56,099523;90,755579;39,266398;81,508646;115,241605;67,818835;72,177294;76,046579;110,010706;65,448839;65,448843;80,169992;80,170008;78,898007;102,852845;144,881408;58,165142
1990-05-31;359,831238;2776,803039;224,495284;111,413995;88,017387;115,154331;109,315385;82,141453;89,112032;84,255091;92,558904;37,423798;99,966148;35,497494;408,045714;84,377497;84,656364;85,87664;40,042124;99,520046;112,10293;98,267778;288,813615;98,124894;99,722833;85,055757;52,054181;89,035346;93,14988;107,397034;95,788549;83,096868;98,671457;88,907091;79,578931;781,524281;1201,5545;251,812316;585,447394;602,037925;218,793775;108,205232;120,338556;113,044911;279,744861;2315,19373;3462,636708;4543,049984;6072,688702;509,517779;1123,273581;495,937384;232,002386;1216,899419;87,758842;235,052113;97,956465;90,147652;103,450044;116,274954;116,680258;95,114275;411,322855;276,046697;125,046448;146,176383;92,005506;134,740483;68,321058;323,048281;126,614623;80,673506;239,041078;63,627957;71,110225;86,857368;113,49726;116,306945;37,306857;70,388703;75,055631;105,030673;38,975103;205,196153;49,674591;34,556961;211,61689;100,941545;79,079909;63,531767;59,238815;64,29514;82,47081;79,714151;127,639965;57,615368;169,605978;175,135525;479,037151;113,313966;349,893739;436,574341;72,199682;163,817655;68,737094;106,653416;145,02324;174,594124;110,817165;172,626193;193,87962;394,854921;247,803069;107,074609;90,318034;202,288136;455,738547;80,444434;142,519928;214,548055;109,014335;180,351214;163,736249;241,228935;152,233586;108,45122;91,47072;165,719217;96,169198;94,410843;92,116231;162,42507;276,940652;188,687762;162,954444;84,624384;181,673416;73,051013;111,785838;39,186712;23,83307;135,513772;295,470271;60,816671;103,638407;3248,790643;37,768632;21,361622;113,842738;152,150421;147,711055;46,477751;103,9507;129,975681;124,228489;99,770136;163,88314;78,108216;61,180674;84,849698;103,371249;102,340744;116,886041;194,409428;98,314436;79,22325;71,690227;62,60768;127,055845;145,377285;149,745973;415,890662;111,726074;105,202157;165,904862;57,030789;183,279298;117,269481;74,946155;27,958841;63,934853;98,282874;18,62078;42,892602;57,518693;321,533651;442,246324;238,806486;78,535196;152,078055;270,818031;138,864941;51,01591;102,298102;53,751994;90,009261;37,484618;100,134925;111,58884;69,608494;73,458702;72,928165;107,422609;63,733526;63,733532;70,437628;70,437649;79,580316;104,937943;147,167979;57,981838
1990-06-30;356,441688;2548,05085;239,430534;109,279248;83,065657;109,267744;109,048881;79,801441;77,45035;82,12265;88,807423;36,308652;98,773371;26,627573;423,12751;85,318819;85,530374;87,194358;39,655632;100,139733;109,420076;96,562309;236,512696;98,08819;96,137506;83,201679;49,907093;85,299555;90,753973;103,753279;95,826355;83,603827;101,558711;96,330136;70,628579;676,157026;1151,815331;241,312394;548,613577;610,969326;192,637993;109,181636;121,679749;113,044911;283,695795;2327,978175;3430,119347;4584,742932;5475,781871;477,228212;1166,601539;507,304936;238,880157;1148,487763;89,098217;229,843655;93,692441;90,526908;105,741538;114,17944;114,546972;90,493284;419,310883;249,499518;125,757108;140,936928;92,005506;138,453323;65,860126;327,094424;131,061809;71,280365;250,586765;63,801005;71,147895;88,232196;109,569152;118,882482;35,556811;67,69117;75,232258;107,220671;37,9894;208,33292;50,553048;33,813628;197,104764;97,259771;76,163626;64,367612;60,522761;63,193615;81,429641;79,031557;123,365752;53,484281;199,193487;168,666818;461,168591;105,575768;344,722742;422,529722;72,199682;160,560536;65,717877;107,497446;145,775222;164,372583;110,817663;180,448108;186,046889;389,727307;240,281702;100,41065;90,999536;209,725698;391,571554;92,338408;138,769403;202,695362;105,535984;168,488724;164,763934;230,133635;139,285355;96,014572;90,987364;169,293894;95,720729;95,682205;94,016192;155,908908;276,280013;188,357467;165,839838;84,148643;195,244952;69,993474;113,728975;38,8644;23,564534;153,098619;188,780656;59,367195;84,745038;3248,428643;35,763588;21,32616;112,6717;147,482309;149,025156;42,116052;92,769547;126,865282;121,890819;99,770136;159,298591;82,838221;61,435623;78,105796;104,018288;103,377548;118,157606;191,531941;100,60933;83,788063;71,545959;62,56224;126,224061;163,510514;147,996826;425,964769;111,411571;105,077829;163,995448;56,659153;177,251657;111,324022;75,870137;29,104864;63,771028;98,282874;20,407014;34,013799;59,684892;344,624512;403,879929;233,080476;79,356832;149,418822;269,981539;138,864941;52,342644;100,990295;53,841302;90,723336;39,081054;80,721237;113,454897;69,708255;70,428264;75,189302;108,916628;65,564358;65,564361;72,126426;72,126443;80,049713;104,071286;145,634295;58,11278
1990-07-31;305,260256;337,495687;238,347501;111,338727;87,215506;113,875577;110,72862;80,007328;77,715794;82,87946;91,11795;36,227395;100,976539;33,374267;496,925349;86,925311;86,382217;87,37652;42,698251;100,193344;111,77401;101,47667;241,022738;97,10311;95,239179;83,316417;49,874228;101,261029;84,081812;100,065265;103,41953;77,145029;103,741193;96,524758;68,672444;745,713894;1112,734407;241,942496;535,439616;574,548367;245,619035;109,03436;111,00074;113,044911;260,134065;2291,973854;3260,256245;4355,063686;6779,141634;483,271629;972,256995;471,500029;260,802872;1192,448678;90,031199;231,054716;87,722218;90,290527;99,817187;120,987735;115,528305;90,759257;435,726833;257,720161;125,698833;143,829358;92,005506;137,156777;68,429257;297,617374;133,034686;76,799444;254,336517;68,622312;65,535609;83,644051;107,050373;122,214173;37,250805;67,923564;76,275162;104,581307;41,102454;233,133303;50,017888;33,633116;201,408904;98,908627;76,709024;64,830936;63,551977;66,02911;79,335334;79,464067;123,683288;61,537405;195,951332;183,204861;531,797076;109,170993;415,286627;456,73573;72,199682;163,761257;67,398636;106,849241;131,696995;155,224032;113,681674;46,588738;196,453776;418,649565;239,76861;102,319612;81,725564;204,880182;424,617627;67,056173;149,031585;206,804636;138,211147;207,964998;166,949014;248,625234;169,647982;118,245767;89,333524;160,906762;98,237185;99,08527;90,990573;160,093511;270,973448;192,85674;154,714907;85,837155;184,227478;77,908917;121,871579;37,617789;22,761008;115,330457;255,364018;57,15559;101,399834;2581,944275;34,733445;21,705949;112,626105;147,92684;150,533141;47,729646;98,489094;127,349054;117,921552;99,770136;145,826168;103,137949;60,077244;83,585459;92,298985;103,939646;116,74051;214,038716;99,446583;73,880021;73,465141;60,0746;122,942299;147,224744;150,17916;405,936392;114,392056;110,411192;154,458519;54,965976;198,907578;117,205282;73,887229;28,886087;62,259016;98,282874;14,944471;31,102681;60,929054;328,140808;378,517379;227,685525;79,365311;140,60463;271,327237;138,864941;53,734858;101,858941;54,70969;90,74137;38,827514;84,479616;117,146339;70,065388;73,450034;74,76378;105,833004;65,108062;65,108062;73,047141;73,047171;80,58205;101,108054;146,259178;58,141386
1990-08-31;360,248318;1877,11569;269,951938;108,921123;87,360503;118,639674;109,043273;82,002352;73,962878;81,293219;88,965484;42,4073;100,721362;33,696327;380,490589;81,12189;83,945937;86,428851;40,488263;99,741977;108,046275;86,1424;226,719097;97,781885;97,692881;84,35342;47,573514;72,499575;91,845572;107,221042;100,573262;80,897931;97,05027;96,139551;76,174859;693,169743;1018,010908;228,179131;520,364466;550,202582;177,163714;108,484072;101,480089;113,044911;235,288244;2252,250444;3275,604026;4355,538708;6095,90668;514,860527;973,787265;430,219714;268,789092;1186,830975;84,855829;208,576801;83,502558;90,139497;103,566541;113,9578;104,119164;87,984031;424,377672;262,636443;125,195995;145,425952;92,005506;134,935205;66,525227;307,590084;128,656149;82,812961;254,836084;65,571368;74,776432;77,384885;103,78944;111,386176;35,971747;68,71978;73,070666;103,033682;35,288503;221,137171;51,385728;34,541073;205,589858;99,747611;75,287089;61,054621;68,394926;64,53775;75,412888;82,132734;124,64009;50,581935;217,034076;154,054107;461,920857;110,926797;227,300803;440,422908;72,199682;161,184645;64,628103;102,169581;128,76514;155,038946;108,400111;231,949916;155,47463;329,629233;222,411329;106,177602;89,936662;198,439698;429,453853;79,260628;129,767822;205,377456;78,494201;118,138927;168,199637;236,986717;121,071972;105,117152;87,403242;150,431382;91,988999;98,592291;93,041327;133,322467;280,782511;184,118736;159,653126;76,117676;176,421394;63,949471;112,448405;36,53658;22,213893;121,37883;236,577251;56,089132;97,089474;2671,951249;52,295507;21,726785;110,414806;140,540793;142,914921;44,783946;95,141726;121,014076;116,246096;99,770136;133,181239;93,008071;60,118094;83,846128;95,011665;102,191011;110,826349;211,221059;95,714557;66,020361;73,470866;60,231;119,575369;127,974959;136,897771;412,670498;113,983539;105,412502;151,64287;54,980726;235,636772;108,021468;70,845255;26,067819;61,774467;98,282874;14,397626;38,089476;58,823376;326,256942;339,416783;224,729764;78,61315;142,048537;256,559387;138,864941;51,115214;100,131363;51,862053;90,854189;41,557725;84,050707;116,362394;69,786414;71,604508;75,611401;106,819313;65,777663;65,777672;75,668708;75,668674;81,002251;102,026297;149,773043;57,812841
1990-09-30;363,179358;3449,970281;234,363705;111,482279;83,589264;82,719969;110,184192;80,854085;71,473068;82,868505;89,370417;42,29487;101,877969;34,084173;383,578793;81,007711;82,366222;84,479061;41,434299;100,332046;106,050839;98,907128;203,028041;96,310758;92,14598;83,043638;55,61105;85,626312;94,037378;106,733232;95,230188;74,682076;103,21311;96,096277;71,321981;677,174175;1081,241876;244,603305;521,167346;576,869112;216,550422;109,328057;120,043355;113,044911;280,923458;2213,401687;3200,882061;4263,899127;6122,106971;511,456345;892,602277;461,676893;284,150423;1142,259572;88,061936;220,582246;89,293815;90,535389;101,549338;111,503888;115,365085;88,659853;435,575958;238,361372;125,960902;145,97942;92,005506;134,16643;72,736852;308,497011;128,337354;81,238221;252,080067;67,755444;73,196153;81,894541;108,741749;122,373022;36,085136;68,148607;76,890326;108,331392;42,257412;211,298517;51,139964;34,145318;199,406843;92,300608;81,361724;66,89024;70,156542;65,575249;75,004503;77,690426;123,001256;55,300229;189,055299;157,935569;479,623332;110,56229;390,725955;446,58046;72,199682;164,043009;56,802247;107,166814;130,436307;162,494391;113,727916;186,85421;173,898168;353,405232;224,593242;105,424939;86,136163;197,628728;437,350761;78,698457;142,388038;200,624419;105,537051;168,580221;163,593137;217,566128;139,905671;106,938966;86,06893;169,009535;95,603269;98,698855;90,138876;150,859263;275,171027;184,673221;154,676098;88,664345;162,717402;70,920636;117,350372;38,728431;23,663922;123,394204;260,984652;53,746691;103,982997;2562,997197;46,326719;21,772547;116,89008;151,82953;154,041085;44,646293;97,746235;124,556017;120,79522;99,770136;151,132069;97,758082;59,932251;76,164512;90,879575;107,569993;116,169953;211,340534;101,147815;78,646249;73,591199;61,434612;130,542006;140,909001;148,501651;409,341538;113,447799;109,948006;150,54943;55,145813;191,632446;103,941759;75,49484;28,975409;62,356135;98,282874;15,651672;43,072807;59,840172;333,244993;347,783328;222,911632;79,587548;145,488619;267,024816;138,864941;54,365743;101,210217;53,054042;90,160748;43,518786;80,017954;120,224793;70,411273;72,463779;76,282074;107,937384;64,320937;64,320943;77,435341;77,435354;81,639143;103,245178;146,50612;58,231716
1990-10-31;359,821653;3270,259752;261,672075;111,244897;93,089462;120,034449;110,722866;78,839893;69,676877;83,017736;90,613191;44,189669;102,102078;34,910546;380,27086;82,329656;84,00855;85,020018;43,299133;99,800746;109,046519;106,221905;248,183294;87,550368;97,59182;84,527007;48,580328;83,363885;93,174648;107,118585;88,994357;72,641897;93,381502;94,998088;71,17612;723,942985;1100,614871;247,853311;548,824171;564,419751;221,596442;108,514203;131,825958;113,044911;311,277919;2136,051098;3192,14767;4245,544942;5609,381439;480,976688;1074,106824;469,699147;307,907575;1149,591371;82,902218;253,188496;95,898757;90,113768;115,754842;116,928611;116,879173;90,651845;432,524142;217,93544;125,211843;143,406496;92,005506;128,705213;72,048086;287,037347;130,136441;85,235697;264,462543;67,350559;68,045969;74,304221;109,012977;116,413114;37,812737;70,596804;75,417855;102,348789;41,962177;208,911188;50,83202;34,445859;199,028814;93,368912;83,555513;65,29305;66,659118;64,995635;74,048887;76,582052;122,730639;54,29485;194,248721;168,005471;499,477943;113,32308;314,753864;456,702407;72,199682;166,463719;66,681403;107,841915;136,02499;159,032743;109,186606;177,250218;168,386079;383,583086;200,145989;101,377412;90,253238;178,32892;433,413516;78,907252;141,213045;204,67062;106,545892;169,669349;167,5746;252,183994;140,178175;107,83985;129,826316;178,375131;91,685686;97,485989;91,43088;156,707072;280,933307;185,05218;145,416395;86,638888;167,801657;73,92572;118,321347;36,539125;21,921151;103,933569;252,948954;56,54068;100,628655;2350,55866;44,454212;20,476076;122,905503;142,185244;152,611941;44,532256;95,236735;122,423379;117,879425;99,770136;136,458221;104,434473;59,56375;77,061449;118,787404;99,182622;110,636154;199,273851;96,540711;55,143141;71,465014;62,400237;137,790459;154,04709;330,382745;417,891564;107,910146;101,293991;127,030969;55,722464;179,603466;106,270263;83,45081;26,618334;60,206974;98,282874;18,873583;41,260871;59,332787;326,700585;428,869758;225,067172;78,791613;159,259226;268,206357;138,864941;54,708243;101,698325;63,123707;88,233741;42,171874;78,506997;114,010536;71,656685;71,308053;75,251934;109,257528;62,122575;62,122572;60,650391;60,650372;82,329731;103,499599;145,442326;57,995681
