;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
1990-01-31;394,487523;3017,533674;243,56823;90,405146;108,63547;115,719947;105,504056;79,239835;66,805861;69,053937;85,160128;34,630826;47,730601;37,724607;471,845778;83,365044;58,501773;82,840151;36,442744;99,719449;87,708012;104,241275;184,66761;80,94883;91,669786;80,390242;44,160783;71,280301;97,57108;129,026532;125,927184;48,093074;74,345687;90,453815;72,076975;837,444114;1244,195534;289,894339;585,911007;826,896951;219,512912;108,026662;104,38437;113,044911;315,879508;2358,535059;3918,342275;4422,808273;6488,155771;593,178717;1217,601577;508,592506;244,358445;1290,752485;99,598746;229,246254;97,086133;89,899838;114,325794;120,317523;116,23952;100,426434;483,961188;299,299998;125,165326;135,585249;92,005506;148,196403;69,133304;334,384546;111,156341;90,512716;266,975967;67,070812;86,250247;132,707279;99,080521;104,761825;37,530929;43,514411;72,09383;119,879251;37,723921;204,51313;55,671129;32,808262;218,621046;100,036455;76,58382;63,13229;63,848414;65,104007;78,498015;81,051178;122,279466;56,759986;183,241145;181,490532;519,968981;113,318376;349,181699;496,672879;72,199682;150,927625;68,278294;91,371483;136,041537;44,629196;110,957909;192,232349;235,757862;455,33037;223,423019;107,163271;95,936061;197,239433;453,58395;77,319069;161,052797;240,621478;115,277208;191,59326;145,287652;216,068915;122,361643;85,937886;106,77274;167,434899;108,04618;81,10862;89,944763;140,733248;274,489667;200,443069;148,061683;68,499451;176,004448;79,776803;113,499727;38,345598;23,876577;98,750469;133,106486;49,904757;48,095219;3234,796602;12,04483;18,359211;96,591941;170,289538;172,584522;14,67691;65,697455;127,132413;96,052583;99,770136;144,65142;80,363957;60,62359;83,154753;108,287406;72,144301;116,855225;160,508474;91,461763;48,188912;54,366845;52,750431;148,561286;116,984963;110,884637;469,094332;78,656576;123,70934;110,232798;61,507264;171,380941;125,819397;87,429873;24,677769;65,911087;98,282874;19,021706;58,279638;72,176082;237,146063;225,525318;223,423774;78,273298;135,592453;243,139807;138,864941;58,189255;98,790742;53,536122;76,418377;28,96447;50,89392;95,037183;44,72077;62,538975;84,722631;98,201569;86,081127;86,081124;116,683947;116,683963;76,499294;102,718781;133,191762;57,798849
1990-02-28;346,862399;2828,569346;234,986556;97,922533;82,816204;112,207532;95,432213;73,14897;74,425622;74,061753;92,584604;38,137194;41,827105;37,590674;374,237926;79,014967;65,972111;79,36266;32,884195;100,011359;117,29964;105,957908;277,860449;106,331995;87,113575;79,644651;43,389884;75,42213;90,800157;112,052817;100,630788;46,807409;75,621189;82,374482;65,211192;786,200359;1167,48587;277,679886;569,120018;436,355558;299,841762;108,860704;104,619551;113,044911;278,447473;2275,453522;3755,709071;7714,436588;7998,270677;524,044655;1057,63597;474,85301;268,338087;1320,005873;94,618869;216,400814;106,29117;91,094278;107,358766;113,512539;114,599096;93,787064;457,958778;305,793634;125,548954;128,630728;92,005506;115,243078;64,394984;327,949042;101,537126;82,479432;266,189185;64,730751;83,595387;120,179146;120,411496;110,590819;36,111824;43,663503;75,341135;111,598873;34,845353;213,434674;44,415122;29,100901;217,811718;105,911274;73,64269;65,864266;60,854974;67,246017;70,795094;86,475732;120,912273;53,04174;194,517853;178,503706;471,505796;112,355237;310,66709;486,09701;72,199682;156,186142;68,706732;95,762712;155,358279;87,17899;108,837917;173,17103;208,43588;435,740672;218,803418;108,634139;92,375387;194,615588;461,366917;105,633886;151,47961;226,507154;117,218995;184,187521;179,148686;217,696848;116,152274;106,047481;89,32296;175,516685;103,429043;76,673313;88,355931;151,204254;275,233152;201,134696;149,66011;71,131902;194,597825;76,566891;107,600543;40,031266;21,079087;79,39112;246,064063;51,667165;76,182094;3433,55464;21,047881;16,721172;80,844815;170,846531;111,31511;29,016446;91,839472;122,29375;95,578411;99,770136;166,391468;96,818701;63,338553;81,532036;101,607872;103,021091;119,683266;201,828409;78,934016;35,586308;63,771682;59,079442;165,842959;138,586477;77,176587;496,188393;103,893431;125,225873;130,125147;68,681772;181,381257;119,693738;93,767368;26,425933;70,344307;98,282874;12,474841;36,009039;67,874147;495,440979;366,575513;236,345812;79,109012;137,945221;269,315698;138,864941;52,273362;113,347839;48,924112;81,495587;34,867306;61,212602;94,226559;110,812744;68,099672;70,484209;90,113161;67,334537;67,334543;85,363518;85,363531;69,952537;109,049022;138,112564;58,529849
1990-03-31;394,155291;3130,635347;264,971417;118,91255;92,174856;123,891302;111,7035;84,920819;78,398613;91,394626;103,731876;46,685958;40,987603;40,91221;411,337539;90,530808;99,292805;89,070553;39,182855;100,106818;118,936126;108,294354;285,187382;103,72159;91,286219;88,107736;51,276061;94,232114;97,560995;122,201211;81,213909;60,258766;95,794799;91,650169;78,587261;871,914491;1306,167299;302,981502;655,089713;567,833167;181,574563;109,535916;124,252889;113,044911;287,239935;2190,574787;3553,09807;6773,148335;6727,946199;592,613505;864,360225;590,913724;271,803186;1459,914022;98,324378;252,173268;107,861173;90,924703;109,665078;127,538554;126,011548;100,658157;462,076902;330,801752;125,735896;148,324906;92,005506;119,089366;66,93634;360,891672;119,170713;82,578981;307,266676;68,445734;88,064555;122,868175;130,124838;129,45885;42,220785;69,259733;85,656957;128,081334;41,857838;214,207094;63,213892;36,290208;235,234269;115,58101;88,509941;73,397686;69,058218;71,327324;80,554184;86,213496;133,161839;61,184814;205,234877;190,914021;524,89866;126,587385;351,739733;514,234727;72,199682;185,900647;83,83442;122,069073;156,946369;195,780337;121,850855;202,005972;224,710335;444,769268;245,605898;118,302674;101,568012;211,016108;489,882694;97,49802;163,422418;246,703012;123,707002;198,385022;175,10942;231,295871;127,942995;102,27557;87,984244;203,075733;108,697639;102,640117;108,150357;174,65207;304,9641;206,455782;176,44374;81,977849;212,26471;77,049687;125,022261;39,522342;24,52692;146,717992;259,260997;60,344948;81,224026;4177,053516;47,416751;22,717005;105,323696;185,525099;194,411698;25,135034;81,167467;131,15152;122,216759;99,770136;166,522573;100,645331;62,642187;97,885187;115,427449;111,55871;135,645882;167,209626;101,82965;86,733072;77,453851;66,073736;180,018335;142,561111;140,090455;489,963746;119,736924;144,181377;137,63576;70,773513;262,340258;136,006958;98,632647;27,980771;73,353015;98,282874;18,056468;41,952209;70,644656;305,754903;497,135389;253,480041;79,713671;153,19303;294,725716;138,864941;58,032469;103,391826;54,235864;95,813852;38,40899;81,195712;104,651845;89,110811;70,711496;74,151004;101,226285;68,592743;68,592749;85,523742;85,523736;76,647892;102,273068;161,401058;58,136669
1990-04-30;366,93257;3012,432439;229,224047;115,553829;85,508302;113,858277;108,720719;80,155382;84,775594;81,639541;102,687937;42,326691;34,012349;33,664231;349,851332;91,431965;128,886138;81,870419;36,987119;100,239027;115,150552;97,08014;253,266484;92,294645;104,580441;99,916004;59,197786;93,541462;93,515958;108,881971;93,019569;61,453952;116,466453;90,383655;85,07851;763,73306;1153,848178;289,391956;635,206607;688,894071;193,302975;108,850364;133,627552;113,044911;301,048324;2182,89331;2897,095512;4188,436937;5487,889975;458,273426;1327,361077;514,966102;276,65691;1219,204913;93,647993;241,485762;89,090655;89,97448;108,201301;117,230352;115,090239;97,943739;443,983837;322,101059;125,733576;134,530939;92,005506;100,41928;69,706202;340,798595;137,828305;81,392565;237,262613;65,908732;82,066892;68,029741;126,034663;121,760364;36,097866;47,96925;83,561566;109,656677;37,597979;214,077127;57,867222;34,798475;208,337049;107,451823;80,59415;67,991414;70,479215;67,965208;76,501248;90,999819;130,419405;46,088106;185,370576;179,758378;519,361287;120,70929;326,763094;459,943382;72,199682;184,471661;75,850768;108,210761;155,73511;209,663808;117,595904;175,559903;200,644993;416,814077;238,411997;108,106334;96,314211;199,268398;428,032804;91,479061;150,439993;229,493592;118,462576;181,454191;171,625281;231,949166;135,97546;112,012706;83,586419;173,014984;110,037918;85,123411;94,148338;162,129969;293,651687;193,911885;146,916727;73,912576;211,563548;75,73189;113,92865;37,951019;19,863354;74,873238;222,026365;59,994386;81,514442;3575,994274;24,001536;28,595437;102,60578;137,437007;102,939052;18,063146;62,295817;135,010286;106,644947;99,770136;161,367547;73,104362;62,954497;89,906666;110,434582;100,79165;124,15204;143,74527;96,530927;64,926101;81,296413;59,236304;161,673116;132,372629;202,063202;449,337434;103,996098;91,019068;152,551732;60,311278;154,482794;126,718501;93,585252;32,782756;74,739655;98,282874;23,56209;29,515518;56,662092;419,199929;573,483398;225,595297;79,175836;145,524627;272,254835;138,864941;53,452804;104,93076;57,296314;88,693889;43,513626;54,71643;182,688851;71,518024;64,685121;74,95493;112,856238;64,951467;64,951473;79,008647;79,008661;76,653511;111,760928;150,16906;58,034735
1990-05-31;369,430819;2970,165061;213,87884;116,257175;70,698257;113,989241;106,104975;82,645258;92,351566;78,110558;97,677135;48,447185;42,117857;33,659902;332,798116;91,907307;130,919418;79,239851;37,743274;99,604634;112,229236;85,579206;242,164195;82,372545;111,918573;82,429035;55,691681;92,765435;89,912655;100,955089;84,16661;71,579892;126,838016;91,587426;103,944344;704,949064;1240,149999;257,286717;609,065407;660,89992;211,638663;108,123776;112,001686;113,044911;288,715081;1801,803611;2790,592339;2378,135892;6624,880504;419,682677;1132,09039;484,266012;225,536872;1091,856235;89,468039;225,828137;88,674046;89,95079;109,490463;121,193516;114,138103;93,194402;414,49042;261,011978;125,050242;140,75681;92,005506;138,778197;69,87517;318,351584;139,379373;76,152168;193,875998;64,520201;74,44554;58,694735;126,513784;114,677764;35,709705;56,044916;78,120066;109,272244;41,752821;225,678786;45,011795;32,108219;202,624503;100,286749;79,601954;62,667702;60,568725;65,353997;83,073659;83,111701;134,69958;61,264623;183,444274;176,258345;501,172898;116,840082;345,715007;436,334165;72,199682;171,120464;67,213623;107,234123;140,32834;220,067506;117,638734;167,451272;190,386974;401,356602;246,645575;106,903155;92,126205;200,960286;433,260946;83,630428;142,118862;213,57471;111,300429;183,30677;160,949779;244,376392;117,437958;120,364449;83,500963;142,730845;94,136018;87,09218;89,83701;167,968034;280,523303;181,823037;161,103934;80,462281;183,33377;74,047812;105,846793;40,127228;22,953638;114,67814;241,651681;62,428465;82,309983;3623,15128;29,613609;31,964863;107,782268;128,564873;105,983427;26,26029;85,178326;136,819028;114,159881;99,770136;163,942553;72,880159;59,548352;81,898416;98,098883;104,35906;120,830498;139,918699;92,446005;86,994264;73,996831;56,213798;117,663576;131,465195;293,138179;430,992116;110,534217;90,494159;145,718581;73,336466;157,730965;120,664062;76,954689;31,266209;63,82496;98,282874;18,092069;54,22918;49,069871;366,055272;514,688923;216,855914;78,273769;136,969491;249,563162;138,864941;52,906178;102,149415;54,285568;88,872666;42,296474;76,486197;109,669602;51,457517;66,23968;65,446273;115,252407;51,22061;51,220616;42,801907;42,801921;80,464104;102,783336;149,538433;57,688329
1990-06-30;349,289349;1862,89823;251,41803;127,463854;85,368217;119,767329;107,804025;83,590565;83,282684;96,059372;103,040229;44,63933;120,538924;23,10233;414,038687;86,887311;144,192393;86,62212;37,575001;100,195546;118,619538;104,802027;258,32676;86,02137;85,411262;93,685749;59,692587;95,183129;86,668596;105,719913;91,467977;72,42026;158,383326;97,371276;90,379634;731,417081;1160,953569;277,153236;605,01428;615,544445;181,100819;109,61538;145,642524;113,044911;285,134137;3053,199377;3459,710893;3523,416471;6743,01475;555,852567;888,557868;575,458212;246,054475;1316,191777;96,682932;276,737892;101,512626;90,710271;112,681125;119,441802;128,460519;95,837916;434,641326;259,870816;125,863737;142,889965;92,005506;136,512007;66,351111;344,060732;137,614206;79,542457;261,285324;64,849361;69,219571;59,853301;131,159236;152,090823;38,811534;75,060774;89,65604;124,457109;53,032913;217,334317;51,051595;34,778396;213,299186;110,517181;82,366255;69,605628;66,659711;71,08485;77,45809;81,148687;127,144898;55,877129;227,832169;175,733776;499,430194;116,23151;355,894337;456,136605;72,199682;188,444538;72,630289;119,593267;170,1533;227,451847;122,300261;191,381095;209,187558;443,708762;269,493774;114,515374;99,611939;216,279695;457,411032;93,907937;157,936065;224,189861;123,651216;192,766838;182,911969;261,789746;147,616064;150,495801;87,597958;179,089345;108,53176;158,858768;105,166933;163,821611;307,450163;209,273699;204,929714;100,027925;216,30499;81,644617;116,120589;38,369296;26,739694;194,990869;250,832777;26,56743;93,729907;2952,277712;82,536316;29,074348;155,142538;139,204149;125,457497;48,07733;70,800804;152,228559;147,391025;99,770136;171,220279;77,576745;64,65156;87,549996;127,847573;118,818034;129,511491;229,524781;111,200967;107,038769;91,250935;65,626563;128,751795;185,287883;471,979393;458,764757;132,746523;110,129383;164,843382;54,141807;176,277863;129,649357;88,524412;33,612978;72,688134;98,282874;20,70217;25,631894;56,652144;408,194681;434,4815;232,833755;79,866923;146,959062;276,159011;138,864941;59,086946;108,518464;56,445077;105,658295;45,187571;124,809006;126,864099;66,657127;93,900455;65,026445;116,600475;51,535162;51,535166;39,117156;39,117164;84,58597;112,853885;155,177376;58,314289
1990-07-31;307,968804;333,40216;247,41212;125,668995;86,126927;145,628787;110,198461;76,446137;85,696041;86,224302;57,922462;42,605611;163,598774;17,366486;414,103958;84,342345;120,419004;81,168568;41,399731;100,072646;100,331797;67,109095;191,012806;76,334902;91,470169;72,952226;51,19651;92,493262;78,991785;78,489183;72,90947;57,000476;121,12208;97,596687;87,909843;665,09269;1031,589582;207,353943;432,674731;447,945448;179,587731;108,529342;107,298388;113,044911;276,119296;3041,468401;4139,694119;4933,403732;9182,625263;468,575571;1120,361788;425,074825;229,919737;1056,796221;101,893037;300,533077;98,453313;89,98724;107,13554;134,683609;122,636553;108,332338;477,983258;290,466523;125,550788;125,680606;92,005506;143,102672;67,468086;325,233935;145,804883;80,798622;217,391004;69,697994;52,46466;65,878648;122,519613;113,301768;41,343319;44,146288;91,449166;110,528549;39,419693;181,290634;49,536477;32,730992;184,983769;113,706026;79,824181;68,83354;70,519376;71,784932;81,502265;71,656213;111,159095;57,393712;207,376508;192,674653;566,389;111,970741;415,268384;335,769863;72,199682;185,05193;70,310955;118,806109;162,475296;258,428544;116,84353;55,48599;225,189839;505,002973;285,065454;114,818505;91,144963;215,396805;442,419563;64,424874;130,09426;188,996238;127,236489;197,374539;158,972808;291,490945;158,122966;116,744079;96,740308;134,793713;99,210542;65,82347;93,41035;156,446303;283,73299;177,322611;150,303357;102,49939;190,997633;93,317002;127,496548;36,426166;19,845793;68,78408;209,585252;63,464355;68,784607;1413,526149;21,983284;20,640426;117,638798;139,876346;125,945683;63,432538;116,586874;134,648489;141,136504;99,770136;115,465413;110,183279;58,057653;91,002097;83,928802;106,594427;115,292801;159,851728;96,741877;91,543479;71,949728;63,20313;105,21827;160,434158;52,872783;419,302515;120,626364;122,915026;150,353096;68,071595;190,024333;127,409791;76,771687;26,114734;59,595175;98,282874;11,755106;16,00947;58,738609;493,59872;364,372848;222,739955;78,899863;145,249747;264,141451;138,864941;50,029902;106,768505;50,763254;88,382594;45,962346;67,905898;129,893803;61,816181;75,180842;66,270297;118,274449;52,42753;52,427528;35,325588;35,325603;90,882256;108,066638;151,364027;57,978551
1990-08-31;361,081266;1982,850133;216,271232;90,537528;50,905539;51,163819;111,219028;76,810285;85,942744;68,926079;91,265379;41,997545;211,5758;33,480712;352,250383;73,775073;67,078307;80,147603;39,697928;99,800735;88,464094;73,144136;72,215419;86,70229;87,469551;61,814549;38,170334;51,547766;87,182605;93,879283;97,720373;49,442719;104,61293;97,53801;91,719059;295,306027;550,535358;131,21949;176,230582;123,964402;112,523443;108,785739;72,368571;113,044911;93,949602;1431,347589;2247,973022;2623,793988;3048,721491;234,303355;560,123928;212,574859;151,688998;691,699298;41,180491;74,822437;68,716174;90,328854;101,167541;73,98879;69,641239;56,753084;296,231698;153,737462;125,301844;126,073315;92,005506;139,96327;62,230067;206,762453;121,872077;78,531862;239,954812;52,395875;65,425701;29,464771;71,568466;96,745002;30,443785;116,591399;48,975623;87,315401;34,22327;129,978664;31,579592;28,038965;141,745107;28,625605;57,525874;42,619452;33,168798;32,01931;70,965087;64,620858;99,136054;39,372885;114,196261;93,125385;131,589028;47,918863;113,007553;407,457457;72,199682;102,750438;32,282839;82,984203;45,93045;83,541195;72,397963;174,556128;17,350909;11,905652;159,095894;34,160481;47,517601;128,662323;215,754073;20,052547;46,165227;77,475124;16,544618;29,051851;144,569282;148,72329;76,476819;56,323567;70,313519;129,58685;40,371284;92,517795;52,128989;84,259642;157,445959;114,849095;134,1496;90,487614;129,693224;12,274163;57,058677;29,407502;17,149997;63,268101;206,175771;33,445427;55,990996;2019,384029;26,319323;12,029001;59,134202;104,71176;114,421621;35,10758;85,946402;97,543771;123,528168;99,770136;64,962191;89,399656;51,931938;47,119212;73,403225;84,839597;81,797032;201,604109;66,237294;18,520622;52,952556;39,544971;68,094123;102,373594;25,593154;264,562842;100,935366;56,304095;146,274121;41,487682;184,262007;27,171004;18,180233;19,243991;32,009819;98,282874;2,785713;20,997374;58,712544;178,934855;244,315441;159,241139;78,857763;145,889747;147,0273;138,864941;35,424977;50,047944;43,685425;63,916547;30,816405;88,311421;109,076461;50,414665;61,114711;62,277465;107,593603;48,194761;48,194767;28,516829;28,516812;86,349571;59,980714;114,691957;57,810864
1990-09-30;360,289465;3132,384342;261,786702;120,452996;100,209678;92,114086;112,092198;82,398396;58,642599;92,240312;99,214776;34,109186;235,518998;37,658155;395,424209;73,228203;62,320943;84,824477;44,839964;100,365696;135,061895;112,861039;219,223309;115,395376;99,406242;79,219598;55,407767;95,752188;92,395261;111,582961;98,393842;78,348929;89,439108;94,847901;56,651497;763,117517;1199,418094;238,465675;594,671606;751,956571;222,009187;109,438208;134,328143;113,044911;306,941895;1809,706032;4426,827893;4315,613066;4257,232121;571,294963;874,463508;508,090095;310,941955;1238,914197;102,894162;228,310748;103,255597;90,534976;99,816119;115,925045;130,814288;90,827134;425,496217;246,402725;125,992071;157,538537;92,005506;126,033473;75,821286;321,229628;139,275672;76,161856;273,437157;70,976062;77,627953;57,602188;115,593054;137,622781;38,173032;64,022429;85,923936;106,999877;39,919243;215,796457;41,886495;35,65484;216,700606;105,755434;87,62136;69,519469;73,981837;73,546392;78,745414;72,508145;121,369224;56,446053;187,98034;154,198291;508,826221;115,299069;426,360162;476,864275;72,199682;176,024683;67,640102;112,014636;138,60611;255,666618;118,937756;175,963067;200,214034;389,684477;237,748275;115,407352;92,723429;207,03685;479,825306;86,985475;153,816562;235,036448;119,62165;187,041379;174,391422;235,110637;167,54309;99,508208;86,78968;167,7112;107,911604;88,064199;101,114512;171,921781;292,217186;191,003096;167,273232;111,878909;160,190557;72,815287;127,735856;43,584978;29,463492;140,987831;225,130815;68,29296;122,65084;1884,376048;75,210968;11,349234;150,539173;146,221888;169,563495;31,13459;85,065348;115,689954;124,053067;99,770136;176,998474;125,309591;61,935796;79,615768;97,175323;115,661587;116,080428;253,89152;115,464434;99,85524;77,075614;64,785488;129,238182;155,817018;46,355718;373,342431;103,183008;123,009268;137,740928;33,281333;183,222483;117,610019;85,196729;33,824848;68,467139;98,282874;15,197241;42,887991;60,040462;332,889712;339,713618;238,138742;79,782952;188,657618;306,248944;138,864941;53,561135;108,172515;48,394479;97,571199;46,687239;116,941499;114,000929;60,435507;71,257774;67,65037;114,037664;51,302672;51,302674;45,018099;45,018115;82,75694;108,158965;157,883536;58,336285
1990-10-31;374,428884;3118,683881;278,186107;126,007558;99,192755;132,164119;115,539847;82,455138;59,684942;81,416775;89,897456;34,778061;133,665374;41,64594;460,607378;81,596939;48,894191;91,964808;50,007842;99,719449;118,137354;118,613705;300,779672;120,41717;110,642996;94,993674;48,050191;87,258745;97,149291;114,162709;100,052198;93,837132;84,475597;96,803173;51,565653;880,070428;1365,965268;283,360335;678,485095;711,252159;307,719676;108,026662;135,073898;113,044911;418,119982;2371,300756;3460,65888;5611,752467;4498,314998;577,746884;1353,447891;533,358905;345,451369;1199,085376;98,333701;287,081329;103,965946;89,899838;109,677757;124,534702;128,923986;98,666306;465,107753;220,518567;125,165326;165,230198;92,005506;130,253994;78,491514;306,595965;142,75843;93,883631;273,872699;69,896324;68,674608;80,635804;112,03927;131,884752;41,130119;89,345749;76,662419;104,74111;44,228938;229,251583;63,410408;38,356213;224,387144;107,962757;90,781663;68,107989;74,288663;71,566029;81,96492;73,379255;129,891174;57,251556;207,028224;182,097697;566,887236;131,993837;358,260591;509,726823;72,199682;183,715318;76,785638;118,340025;144,205465;164,164015;117,899496;184,832139;197,544782;445,976861;218,971969;117,3398;97,620654;196,940843;496,865481;112,836863;168,816743;245,531915;121,734374;193,604297;181,002084;280,085847;206,779848;87,673169;138,114823;207,480245;102,193335;95,55359;102,620123;176,724577;317,817961;207,297993;165,245641;93,718329;178,478447;88,337887;134,294913;37,514539;21,687657;79,245142;303,79654;95,100087;127,196698;2861,868217;25,287203;23,84463;141,152892;109,761541;214,373664;33,098501;99,350551;128,942658;129,63429;99,770136;188,820086;97,934281;64,231138;85,831085;118,907977;112,071164;118,328079;429,383142;103,413164;92,940801;72,093401;66,895154;142,976399;164,746349;257,969964;501,090591;109,221016;108,007498;149,930421;40,310191;189,103735;120,569043;93,494852;28,273534;68,858185;98,282874;19,884092;35,010354;55,734078;330,346879;425,603128;257,713415;78,273298;165,780254;317,246837;138,864941;56,458246;134,001975;70,186463;95,233874;44,323662;66,471701;116,672663;82,038025;70,436269;74,588698;117,681892;61,303355;61,303357;65,444496;65,444482;81,799615;119,994813;165,513666;57,798849
