;period;start;end;n;missing;start;end;n;log;adjust;lp;;;ntd;nmh;td-derived;;;td-ftest;easter;;;nout;noutao;noutls;nouttc;noutso;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;out(1);;;out(2);;;out(3);;;out(4);;;out(5);;;out(6);;;out(7);;;out(8);;;out(9);;;out(10);;;out(11);;;out(12);;;out(13);;;out(14);;;out(15);;;out(16);;;out(17);;;out(18);;;out(19);;;out(20);;;out(21);;;out(22);;;out(23);;;out(24);;;out(25);;;out(26);;;;neffectiveobs;np;logvalue;adjustedlogvalue;ssqerr;aic;aicc;bic;bicc;ser;ser-ml;mean;skewness;;;kurtosis;;;dh;lb;lb2;;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;arima;mean;p;d;q;bp;bd;bq;phi(1);phi(2);phi(3);bphi(1);th(1);th(2);bth(1);seasonality;parameters_cutoff;model_changed;tvar-estimator;tvar-estimate;tvar-pvalue;savar-estimator;savar-estimate;savar-pvalue;svar-estimator;svar-estimate;svar-pvalue;ivar-estimator;ivar-estimate;ivar-pvalue;tscorr-estimator;tscorr-estimate;tscorr-pvalue;ticorr-estimator;ticorr-estimate;ticorr-pvalue;sicorr-estimator;sicorr-estimate;sicorr-pvalue;;;method;cycle;seasonality;irregular;tdh;others;total;logstat;levelstat;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-f;seas-lin-qs;seas-lin-kw;seas-lin-friedman;seas-lin-periodogram;seas-lin-spectralpeaks;seas-si-combined;seas-si-evolutive;seas-si-stable;seas-res-f;seas-res-qs;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;seas-i-qs;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;seas-sa-qs;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;ic-ratio-henderson;ic-ratio;msr-global;msr(1);msr(2);msr(3);msr(4);msr(5);msr(6);msr(7);msr(8);msr(9);msr(10);msr(11);msr(12);trendfilter;seasfilter;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;definition;;annual totals;;spectral seas peaks;spectral td peaks;normality;;independence;;spectral td peaks;;spectral seas peaks;;number of outliers;;mean;;mse;;q;;q-m2;;seas variance;;irregular variance;;seas/irr cross-correlation;;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);;combined seasonality test on sa;;combined seasonality test on sa (last 3 years);;combined seasonality test on irregular;;f-test on sa (td);;f-test on i (td);;quality
RF0610;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;;;;0;0;;;;;;;;3;1;0;2;0;;;;;;;;;;;;;;;;;;;TC (4-2020);-29,276645;-11,6632;AO (5-2020);-19,484245;-9,9941;TC (5-2019);-19,993434;-7,9926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;5;-257,391997501;-257,391997501;775,476357249;524,783995003;525,396239901;538,005949498;2,187717015;2,784737613;2,73065989;-0,155011;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;-0,444993;0,0639;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;3,212783;0,6578;3,607171;17,871773;Chi2 with 23 degrees of freedom ;32,940342;0,0821;0,002551;15,641986;28,735274;0,002214;-0,938474;2,276236;0,39415;3,961538;(0,1,0)(0,1,1);0;0;1;0;0;1;1;;;;;;;-0,769882;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,224264919;0,216981525;0,054568276;0;0,6492826;1,14509732;;;0,982794256;0,670179573;0,978543569;0;0;0,020703344;0;0;--.--.At.AT.AT.at;Present;0,731043477;0;0,370907969;0,998725275;0,407349389;0,265401461;0,183680146;--.--.--.--.--.--;None;None;0,932817594;0,382469252;0,684842875;1;0,99451275;0,759848885;--.--.--.--.--.--;None;None;0,456306204;0,671360055;0,59499346;1;0,999545626;0,982069729;0,667890849;--.--.--.--.--.--;None;None;0,009538162;0,974654964;-0,147714429;0,002088021;0,025288509;0,017220042;0,164008586;0,05250407;0,089913051;2,673542727;2,817823383;4,72207927;3,062986795;5,988954482;3,666818783;4,233688095;5,044789507;5,593587679;3,706311991;4,944260336;5,468374809;4,226854627;12,254156054;4,52363352;13 terms Henderson moving average;3x5;1,326688204;3;0,589925345;1,257695741;0,573516657;0,288831708;0,439387945;0,83868077;0,578970172;1,095012782;1,095012782;0,980173436;0,73053195;Good;0;Good;0;Bad;Good;Good;0,165;Good;0,764;Good;0,168;Good;0,256;Good;0,026;Good;0,67;Good;0,979;Good;0,98;Good;0,731;;;;;;;Good;1;Good;1;Good;0,909;Good;0,85;Good;0,12;Bad;0,043;Good;0,379;Uncertain;0,025;Good;0,164;Good
RF0620;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;;;;0;0;;;;;;;;9;4;4;1;0;;;;;;;;;;;;;;;;;;;LS (10-2013);-420,203618;-21,113;AO (10-2013);150,620462;8,695;LS (1-2015);109,902496;7,0326;AO (4-2021);-67,68921;-4,3345;TC (3-2018);-75,373479;-4,9031;LS (9-2013);-93,696238;-5,4347;LS (1-2016);72,338804;4,6694;AO (10-2016);-53,763891;-3,8024;AO (9-2021);-69,810224;-3,7754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;12;-448,039997531;-448,039997531;31774,292459333;920,079995062;923,50856649;951,812685851;6,213255582;18,484021713;17,479188851;1,296806;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;0,20636;0,3903;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;3,888599;0,0643;5,562783;17,715849;Chi2 with 22 degrees of freedom ;12,363327;0,9494;0,349236;15,217229;11,038903;0;-1,876949;8,477725;-0,576928;4,963099;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,425742;;-0,61286;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,007131844;0,00234648;0,004239872;0;0,92828295;0,942001146;;;0,218600598;0,622001283;0,66460437;0,003728979;0,014593581;0,994249666;0,000624797;0,000119873;--.--.At.--.AT.--;None;0,591811805;0,017461298;0,129551223;1;0,15802;0,494467957;0,237159198;--.a-.a-.--.--.--;None;None;0,813031899;0,121944432;0,975189148;1;0,999051852;0,909180837;--.--.--.--.--.--;None;None;0,914798225;0,973472696;0,949537162;1;0,999998158;0,974876196;0,948544287;--.--.--.--.--.--;None;None;0,520808858;0,914515108;-0,234813148;0,657650863;0,564722237;0,514399781;0,614005553;0,601014036;0,713586878;3,086315999;3,555426375;4,546705095;3,257882496;4,444997944;3,381306901;3,864080259;5,286000062;7,214319548;8,745213741;8,160631263;2,251884838;2,914162547;13,325633473;3,826044419;13 terms Henderson moving average;3x5;2,918863888;0,086141151;0,596308142;0,571679882;0,661300477;0,218682038;1,452518121;2,195687889;1,799667123;2,803462195;2,73916932;1,26417175;1,409771037;Good;0;Good;0,001;Bad;Good;Uncertain;0,062;Good;0,723;Good;0,523;Uncertain;0,022;Bad;0,077;Good;0,622;Good;0,665;Bad;1,264;Bad;1,41;;;;;;;Good;1;Good;1;Good;0,957;Good;0,946;Good;0,617;Uncertain;0,077;Good;0,628;Good;0,565;Good;0,614;Uncertain
RF0811;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;0;td-derived;-0,028806;-1,6855;0,000165816;;;;1;0;0;1;0;Monday;0,035109;2,037;Tuesday;0,002528;0,1451;Wednesday;-0,000406;-0,023;Thursday;0,019784;1,1053;Friday;0,027403;1,5372;Saturday;-0,055611;-3,2764;TC (4-2020);-0,416338;-5,7422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;10;96,43532592;-380,17270026;0,92555399;780,34540052;782,710991918;806,789309512;-4,319835268;0,098704983;0,094337467;1,382479;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;0,170119;0,4788;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;3,643026;0,1807;3,699543;15,247102;Chi2 with 22 degrees of freedom ;12,680132;0,9417;0,275247;12,913582;10,7304;0,238894;-1,876949;6,034655;-0,899022;9,591874;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,726594;;-0,416293;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,088331201;0,604442833;0,132058854;0,056044371;0,110766572;0,991643831;;;0,175798831;0,800699549;0,070192137;0;0;0,000000016;0;0;A-.at.At.At.aT.AT;Present;0,391801001;0;0,122230198;0,871426649;0,241737347;0,417857477;0,29758941;--.--.--.at.--.A-;None;None;0,186818669;0,116114243;0,897025314;0,999670903;0,99842685;0,745677541;-t.--.--.--.--.--;None;None;0,118266988;0,893799602;0,969408662;0,986342978;0,996839938;0,977453492;0,727811068;--.--.--.--.--.--;None;None;0,425606014;0,976871726;-0,339019362;0,986005633;0,971145581;0,995181037;0,990512593;0,974764449;0,971712571;4,520496112;5,590954255;2,991451775;2,651355793;3,935907273;9,45100744;3,119345499;3,39176494;7,102528974;5,105128621;0,701565762;2,304735466;6,681130684;5,610070338;6,58909037;13 terms Henderson moving average;3x5;0,58704525;0,333008336;0,824286588;0,228671953;1,377157602;0,40341929;0,504005847;0,707062523;0,522150898;0,907204364;0,861067133;0,635383974;0,672756244;Good;0;Good;0,006;Good;Good;Good;0,157;Good;0,851;Good;0,438;Good;0,302;Good;0,009;Good;0,801;Uncertain;0,07;Good;0,635;Good;0,673;;;;;;;Good;0,986;Good;0,995;Good;0,84;Good;0,708;Good;0,885;Good;0,495;Good;0,93;Good;0,971;Good;0,991;Good
RF0812;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;Leap year;4,294212;1,1563;7;0;td-derived;-4,078583;-3,6396;0;;;;3;2;0;1;0;Monday;2,828996;2,5311;Tuesday;1,309179;1,1637;Wednesday;2,487541;2,1801;Thursday;-1,464995;-1,2909;Friday;1,570671;1,3658;Saturday;-2,65281;-2,4032;TC (3-2020);-43,129406;-9,1331;AO (4-2020);-41,699956;-7,7551;AO (2-2012);-29,926993;-5,0982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;13;-317,363856654;-317,363856654;2079,050697361;660,727713308;664,772157752;695,104794997;3,531167031;4,753775042;4,471115307;1,673813;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;-0,079609;0,7403;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;3,09483;0,8435;0,642424;19,356059;Chi2 with 22 degrees of freedom ;13,332742;0,9235;0,796423;16,457502;11,501683;0,627821;0;0,339365;-0,971668;12,187808;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,751871;;-0,999792;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,01380972;0,797827482;0,032874992;0,037019832;0,210365769;1,091897795;;;0,057792303;0,984072593;0,558187716;0;0;0;0;0;At.AT.AT.At.AT.AT;Present;0,774963318;0;0,761240265;0,671519859;0,834899821;0,639637933;0,507212615;-t.--.--.--.--.--;None;None;0,424306592;0,742789967;0,720252293;1;0,993765196;0,756174452;--.--.--.--.--.--;None;None;0,488782273;0,707493258;0,790790102;1;0,998035414;0,785076235;0,560564339;--.--.--.--.--.--;None;None;0,577944901;0,985168456;-0,457037612;0,99704161;0,992414297;0,988626689;0,84298277;0,999959057;0,995294672;6,19310303;7,779945181;4,827856527;7,802952802;5,17587089;8,106021768;2,79215797;3,923058335;6,780008976;5,041651404;3,898697793;6,266688826;8,631189023;2,811719045;3,595539834;23-Henderson;3x5;0,113136496;0,158832378;1,456847198;0,114335976;3;0,331142611;0,140935459;0,227434754;0,136255365;0,252993965;0,218704294;0,616425691;0,672982168;Good;0;Good;0,004;Good;Good;Good;0,725;Good;0,623;Good;0,166;Good;0,341;Good;0,026;Good;0,984;Good;0,558;Good;0,616;Good;0,673;;;;;;;Good;1;Good;1;Good;0,846;Good;0,795;Good;0,586;Good;0,525;Good;0,704;Good;0,992;Good;0,843;Good
RF0893;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;;;;0;0;;;;;;;;2;1;0;1;0;;;;;;;;;;;;;;;;;;;AO (12-2012);-47,255336;-4,8685;TC (4-2016);-25,410424;-3,8163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;4;-391,618378563;-391,618378563;9510,036619016;791,236757125;791,636757125;801,852598526;4,639112952;9,655861076;9,51692058;-1,823883;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;-0,056429;0,8134;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;2,641418;0,4532;0,224558;14,733884;Chi2 with 23 degrees of freedom ;11,855998;0,9726;0,421194;13,046562;10,097555;0,366084;0,311305;1,677129;-0,778181;18,222413;(0,0,0)(0,1,1);0;0;0;0;0;1;1;;;;;;;-0,800278;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,042725883;0,617572568;0,166371318;0;0,095580374;0,922250142;;;0,429344291;0,002825886;0,09092397;0;0;0,000000064;0,000000001;0;a-.-t.AT.at.At.AT;Present;0,030386705;0;0,593551581;0,810100521;0,628562921;0,567036747;0,552338992;--.--.A-.--.--.--;None;None;0,896166954;0,641870518;0,994540162;1;0,999972402;0,993295862;--.--.--.--.--.--;None;None;0,030591983;0,994683877;0,996551597;1;0,996727189;0,99482148;0,99505959;--.--.--.--.--.--;None;None;0,823202143;0,997642682;-0,511613633;0,165906399;0,612015806;0,11707355;0,620491917;0,399714081;0,820640201;7,018780843;10,25415754;4,654383305;4,361668816;4,996670402;6,553576449;2,668590939;5,253157755;5,454792728;4,794445845;5,057860705;4,198693689;8,110830978;5,64924208;3,083127989;23-Henderson;3x5;1,448168135;1,108072526;1,886877516;0,200087959;3;0,261753322;0,469211945;0,660289631;0,399406582;0,784598791;0,714160665;1,046162175;1,038510334;Good;0;Good;0;Good;Good;Good;0,894;Good;0,904;Good;0,248;Uncertain;0,1;Good;0,017;Bad;0,003;Uncertain;0,091;Bad;1,046;Bad;1,039;;;;;;;Good;1;Good;1;Good;0,998;Good;0,969;Good;0,905;Good;0,987;Good;0,985;Good;0,612;Good;0,62;Good
RF0899;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;0;;;;;0;1;;;;;Easter [15];-9,705908;-2,3634;2;0;0;2;0;;;;;;;;;;;;;;;;;;;TC (6-2017);-47,126209;-5,3801;TC (5-2020);-37,294073;-4,2597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;6;-390,981206573;-390,981206573;8601,887182375;793,962413146;794,828392527;809,828758541;4,638634023;9,321359843;9,094528777;-0,371887;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;-0,164142;0,4944;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;2,721043;0,5614;0,631472;17,555643;Chi2 with 22 degrees of freedom ;9,584618;0,9897;0,222945;15,105762;8,151251;0;0;3,101908;1,052302;5,188426;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,582828;;-0,999999;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,25469664;0,462279277;0,175372642;0,011307677;0,225925334;1,12958157;;;0,463731184;0,526695572;0,178291028;0;0;0,000005209;0,000000001;0;--.AT.AT.--.at.AT;Present;0,530856929;0;0,34157853;1;0,39345016;0,477689314;0,454868854;--.--.--.--.--.--;None;None;0,337243841;0,324334532;0,997990017;1;0,999947315;0,998044731;--.--.--.--.--.--;None;None;0,383922055;0,997728349;0,999460489;1;0,999996676;0,999896196;0,998708297;--.--.--.--.--.--;None;None;0,334407181;0,999388033;-0,385880115;0,068152487;0,057546667;0,108658976;0,130363957;0,219421951;0,104834553;4,469976855;5,918153042;6,041174349;4,045187794;10,508733916;7,163718715;14,315332747;7,295758129;6,282970432;7,224888747;4,456025044;4,860051698;2,347563703;4,171862747;5,590486468;23-Henderson;3x5;1,607220521;1,400562683;1,251588429;0,142919971;1,220393732;0,81646974;0,445675305;0,673702322;0,269364257;0,518840189;0,3701937;0,849064243;0,780901515;Good;0;Good;0,001;Good;Bad;Good;0,729;Good;0,732;Uncertain;0,01;Good;0,479;Good;0,017;Good;0,527;Good;0,178;Good;0,849;Good;0,781;;;;;;;Good;1;Good;1;Good;1;Good;1;Good;0,888;Good;0,829;Good;0,903;Good;0,058;Good;0,13;Good
RF1011;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;1;td-derived;-0,039538;-9,6135;0;Easter [15];0,033069;3,7619;1;0;1;0;0;Monday;0,021141;5,0703;Tuesday;0,017899;4,3364;Wednesday;0,014366;3,5531;Thursday;0,003906;0,9393;Friday;0,013466;3,172;Saturday;-0,03124;-7,7237;LS (1-2018);0,08559;6,3238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;11;261,159857096;-221,296309374;0,03066597;464,592618749;467,462183966;493,680918639;-7,682416549;0,018061941;0,017171636;1,520422;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;0,452083;0,0598;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;3,01579;0,9738;4,117603;15,414554;Chi2 with 22 degrees of freedom ;27,885013;0,1795;0;13,51138;24,719373;0;1,407711;3,960316;0,138296;4,637834;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,717481;;-0,999906;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,031862893;0,226838308;0,039978938;0,316714555;0,397104443;1,012499137;;;0,246546339;0,342014934;0,336941271;0;0;0;0;0;--.AT.-T.At.AT.at;Present;0,070791923;0;0,953088588;1;0,958707943;0,964577693;0,958459027;--.--.--.--.--.--;None;None;0,006528073;0,955154274;0,99841433;1;0,999897519;0,995751742;--.--.--.--.--.--;None;None;0,000178617;0,998437022;0,999585822;1;0,999925227;0,993525493;0,999377118;--.--.--.--.--.--;None;None;0,001277161;0,999395655;-0,455839959;0,999893923;0,960931079;0,999999913;0,988272492;0,999521609;0,984769414;6,753570681;9,159662663;7,695586237;7,398260957;4,97026501;6,457646286;10,748068778;6,615663912;9,007062337;10,975723443;10,234850982;9,656317752;4,61180837;7,256090691;4,852746486;23-Henderson;3x9;0,717457215;0,546015982;2,089714802;0,028583994;3;1,478234495;0,36028687;0,18000863;0,138267464;0,169510262;0,153452851;0,859016852;0,902599252;Good;0;Good;0,004;Good;Good;Good;0,128;Good;0,844;Good;0,138;Good;0,893;Good;0,009;Good;0,342;Good;0,337;Good;0,859;Good;0,903;;;;;;;Good;1;Good;1;Good;1;Good;1;Good;0,972;Good;0,889;Good;0,998;Good;0,961;Good;0,988;Good
RF1012;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;0;td-derived;-0,034293;-10,8575;0;;;;1;1;0;0;0;Monday;0,017451;5,4134;Tuesday;0,018557;5,6228;Wednesday;0,005981;1,8721;Thursday;0,012083;3,5992;Friday;0,00421;1,2434;Saturday;-0,023988;-7,6486;AO (3-2014);-0,081744;-5,0287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;10;257,355043663;-223,123580031;0,042768217;466,247160062;468,587585594;492,786763564;-7,407009502;0,021106925;0,02018208;-0,954287;Normal with Mean = 0.0 and Stdev = 0.23904572186687872;-0,371817;0,1198;Normal with Mean = 3.0 and Stdev = 0.47809144373375745;3,226425;0,6358;2,653479;21,571006;Chi2 with 22 degrees of freedom ;50,034214;0,0006;0,6605;18,18461;43,671926;0,574079;-0,389132;0,868581;-0,489424;10,0764;(1,0,0)(0,1,1);0;1;0;0;0;1;1;-0,7557;;;;;;-0,632621;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,090725381;0,49880991;0,042650463;0,313619733;0,017833075;0,963638563;;;0,424688579;0,239182015;0,313731513;0;0;0;0;0;At.AT.At.At.AT.--;Present;0,322921366;0;0,588248531;0,718744062;0,400352539;0,655578133;0,689358023;--.--.--.--.A-.--;None;None;0,278212293;0,578999008;0,728599601;1;0,996803765;0,656311059;--.--.--.--.--.--;None;None;0,147365046;0,714728037;0,652597435;0,969638695;0,99937957;0,739823743;0,660092568;--.--.--.--.--.--;None;None;0,025696879;0,958313492;-0,048247611;0,990897782;0,990094885;0,99105975;0,991133624;0,986360027;0,956435337;2,232540248;2,601495256;4,981512653;5,808183189;7,334532256;5,831415105;2,715336643;5,925022979;3,619915906;4,611534832;9,900947092;4,569464101;7,718400245;5,617382113;2,752249514;13 terms Henderson moving average;3x5;0,429416333;0,252766635;0,424914252;0,743183847;0,566320253;0,392605061;0,273793671;0,464325575;0,356741141;0,50390624;0,477875416;0,420276627;0,440980109;Good;0;Good;0,005;Good;Good;Good;0,265;Good;0,486;Good;0,355;Good;0,483;Good;0,009;Good;0,239;Good;0,314;Good;0,42;Good;0,441;;;;;;;Good;0,97;Good;0,892;Good;0,849;Good;0,795;Good;0,968;Good;0,956;Good;0,743;Good;0,99;Good;0,991;Good
RF1013;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;1;td-derived;-0,028415;-8,5886;0;Easter [1];0,023002;3,5783;0;0;0;0;0;Monday;0,011144;3,2942;Tuesday;0,01233;3,6887;Wednesday;0,007616;2,2727;Thursday;0,00472;1,3729;Friday;0,007059;2,0508;Saturday;-0,014455;-4,4224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;10;279,842865816;-196,288787587;0,026127598;412,577575174;414,943166572;439,021484165;-7,887235595;0,016583948;0,015850139;0,662135;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;-0,036505;0,8792;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;2,966947;0,9451;0,226428;22,316694;Chi2 with 22 degrees of freedom ;30,908721;0,098;0,542993;19,3303;26,877206;0,42609;-1,173093;5,394769;-0,061465;11,234248;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,81385;;-0,629433;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,024012445;0,642886414;0,050357208;0,26450968;0;0,981765747;;;0,402110195;0,669477691;0,836690079;0;0;0,000807631;0;0;At.AT.at.At.AT.--;Present;0,800982543;0;0,454898091;0,762238095;0,313177023;0,203654305;0,492473075;--.At.--.a-.--.--;None;None;0,134361908;0,441951397;0,93982946;1;0,991577877;0,832646848;--.--.--.--.--.--;None;None;0,338186271;0,939156607;0,931399441;1;0,999995328;0,942945526;0,740249338;--.--.--.--.--.--;None;None;0,48395828;0,875667365;-0,42974564;0,61420687;0,752962348;0,996970061;0,883245433;0,969170165;0,945013103;5,89312166;6,494010243;4,605423713;8,494993661;4,643820238;3,094424843;6,838291108;2,714470343;2,488508324;9,261511529;3,348387841;6,101775863;5,481361211;7,165412579;3,464776356;23-Henderson;3x5;0,343129527;0,301812338;1,494743858;0,314423935;1,212516157;0,242169485;0,220112919;0,458481848;0,268669967;0,525727163;0,462846323;0,529798228;0,55797626;Good;0;Good;0,003;Severe;Good;Good;0,893;Good;0,441;Good;0,33;Good;0,104;Good;0;Good;0,669;Good;0,837;Good;0,53;Good;0,558;;;;;;;Good;1;Good;1;Good;0,985;Good;0,995;Good;0,876;Good;0,912;Good;0,939;Good;0,753;Good;0,883;Severe
RF1020;12;2012-01-31;2021-09-30;117;0;2012-01-31;2021-09-30;117;1;1;;;;6;0;td-derived;-0,031892;-4,3239;0;;;;2;0;1;1;0;Monday;0,014135;1,901;Tuesday;0,011892;1,5848;Wednesday;0,017131;2,2652;Thursday;0,001277;0,1646;Friday;0,004742;0,6089;Saturday;-0,017284;-2,3544;LS (5-2020);0,253738;7,3909;TC (5-2020);-0,146411;-3,4123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104;11;185,156640557;-296,866995611;0,168327388;615,733991223;618,60355644;644,822291113;-5,979659309;0,042316863;0,04023099;1,135707;Normal with Mean = 0.0 and Stdev = 0.2401922307076307;0,414868;0,0841;Normal with Mean = 3.0 and Stdev = 0.4803844614152614;2,917154;0,8631;3,655314;30,779671;Chi2 with 22 degrees of freedom ;21,492326;0,4905;0,021585;26,622515;18,748627;0;0,234619;2,383684;-0,587655;2,802115;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,76636;;-0,388083;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,025553082;0,415938214;0,039977485;0,057756318;0,476058963;1,015284061;;;0,093163124;0,191495153;0,776178961;0;0;0;0;0;-t.aT.At.AT.AT.--;Present;0,014399876;0;0,461549303;1;0,397704649;0,274890576;0,514226154;aT.--.--.--.--.--;None;None;0,375011943;0,474167382;0,819938992;1;0,988895529;0,796932895;-T.--.a-.--.-t.--;None;None;0,913712236;0,813654624;0,887006926;1;0,999933101;0,762034649;0,65957155;-t.--.a-.--.-t.--;None;None;0,729698724;0,868595866;-0,364602454;0,962708292;0,999690576;0,99849443;0,991275516;0,997978734;0,989597414;7,130955704;8,116272443;2,972761375;1,173031066;2,851195062;9,62381297;7,09339599;2,782344169;6,762656718;6,630565642;1,761329597;3,206547702;2,324612208;1,370695207;2,875511435;23-Henderson;3x5;1,261531052;0,624467832;1,941338555;0,400175918;3;0,41089545;0,416069884;0,829718446;0,70188518;1,084965204;1,04918143;1,059552739;1,113327278;Good;0;Good;0,005;Good;Good;Good;0,161;Good;0,101;Good;0,309;Good;0,306;Good;0,017;Good;0,191;Good;0,776;Bad;1,06;Bad;1,113;;;;;;;Good;1;Good;1;Good;0,795;Good;0,793;Good;0,865;Good;0,719;Good;0,705;Good;1;Good;0,991;Good
