;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
2012-01-31;-1,785199;46,91045;1,263802;1,67219;2,666078;0,015518;0,989982;1,01076;1,002078;1,031912;-1,022625;0,994202;1,010801;4,69563;0,878147;1,000118;1,06451;0,998658;1,015643;0,469815;1,008266;1,075658;-11,090263;0,991161;1,018546;3,603825;1,033975;0,99649;1,005066;0,999399;2,709788;-2,011094;5,483739;-0,096893;0,988975;1,025469;3,345951;0,398972;1,026114;0,973363;-0,684763;-0,152502;1,719131;2,45145;1,020406;1,114216;-4,434146;1,014683;-20,059706;0,787263;-26,607081;2,716067;-0,178419;15,79604;1,410711;7,371652;1,020933;1,044141;3,632936;0,98904;1,013443;0,997244;1,153866;1,049782;0,979176;0,526683;3,779743;8,458924;-0,359253;1,006832;3,406182;4,392331;3,445639;0,998133;5,987857;0,871991;0,553047;1,250723;-1,589084;8,112572;1,102191;1,018155;5,979372;8,62354;-4,005069;0,954718;-0,96114;1,85952;1,020545;0,884523;1,536767;1,134991;-0,890869;8,95739;0,726509;-0,58717;0,978931;0,947638;0,854453;4,280059;-5,672326;-8,67758;52,969957;-3,635931;9,402305;1,658736;-0,527382;-1,937449;0,112708;1,016596;1,032014;0,976225;-0,184824;1,003471;2,097539;1,058312;4,031751;-0,306435;6,798088;5,807775;-0,954024;2,630571;-0,728715;0,214994;-2,231013;0,984593;-0,677479;-3,68058;3,208949;0,178614;2,138365;2,886693;5,420264;1,02383;0,844128;0,990473;10,529422;1,919694;9,674873;1,190212;2,652609;0,971867;1,086171;0,121785;-0,495614;-5,393445;0,994747;1,076066;-3,602853;1,048063;-6,314535;1,107721;1,005026;4,136092;11,031221;0,603519;1,583629;0,822644;1,030648;1,023562;0,969982;1,00731;1,820338;0,787093;2,00597;-16,013607;1,772327;1,005923;-3,708213;-3,469924;1,071944;1,074292;0,998268;-3,074647;10,112562;-4,767263;7,552975;3,411524;6,213156;5,87526;2,713109;-0,528067;-0,0103;2,054702;4,33181;5,589514;-5,171763;0,437445;45,84837;-6,161536;3,105481;-1,096851;1,0032;1,047673;1,055864;-0,998295;1,019516;0,957121;-0,902822;1,962648;-0,505954;-1,067345;0,049276;0,996732;0,996731;0,973174;0,973174;0,988954;5,244287;1,936799;2,630997
2012-02-29;0,324161;0,032159;0,839433;-31,283844;0,480472;-8,598107;0,999255;1,00437;1,004222;1,021255;1,044044;0,98564;0,883509;-3,56503;1,02556;1,004413;0,967941;0,999523;1,000854;2,496711;1,012364;1,002851;6,396675;0,939884;0,980062;-0,973145;0,98219;1,009386;0,997247;0,96578;2,418986;-1,086164;-0,490086;0,581169;1,03517;1,007665;-3,644658;-0,569673;0,977753;0,950677;-4,138554;1,220694;-2,163082;-0,259231;1,054479;1,049713;32,205175;0,859135;4,787523;-1,615582;15,223042;4,417878;-0,482861;7,534039;-2,551029;-2,004046;0,978452;1,011511;-8,38169;0,947766;0,998353;0,993704;0,996217;0,937738;0,999928;-0,259736;2,992403;-1,343783;0,226194;0,956721;-2,539044;-4,84617;-4,288223;0,943464;-7,430261;0,962351;-5,421299;-2,482942;1,677704;-4,113243;0,965594;0,991866;-7,121231;9,56124;-5,630159;0,986912;2,166417;0,710525;0,97052;-0,939736;-1,06771;0,580909;4,044699;1,627917;0,911671;1,646316;0,960518;1,050164;-3,165969;-2,633341;2,109884;0,704765;37,332335;-36,885596;-1,291225;-36,745586;-1,639812;-14,876783;-0,836199;1,030422;0,864131;1,0524;-4,269725;1,008596;-0,330966;0,879334;-2,864013;-0,679412;-3,707084;-5,282836;0,2211;-0,269692;0,844379;5,265589;-0,243975;1,014438;2,661805;6,433857;-0,783888;-1,142246;1,330567;-5,103035;2,167529;0,987905;-0,332814;0,986628;-13,180108;-1,262981;-7,429282;0,994214;1,024456;1,07367;1,007858;-6,885399;1,460631;16,402369;1,016412;1,203116;-1,633745;0,985528;2,622131;1,371624;0,977809;-1,146488;0,449304;-2,221264;1,037787;0,969032;1,044698;0,968983;0,989574;0,991146;-0,270709;0,870213;-1,439542;9,703811;1,804219;0,952165;0,948495;25,454517;0,625917;0,923339;0,945576;3,680674;3,391615;11,203475;2,016727;-0,27053;-1,135544;1,039281;-0,10471;0,76574;2,400891;-0,530722;-1,098048;4,522915;2,889238;3,33079;29,430114;-1,562985;-0,600884;3,416719;0,982137;-1,662156;1,037781;1,027665;0,978527;1,042638;6,154901;-0,493002;-0,216618;6,09537;0,557841;1,232198;1,232197;1,238571;1,238571;0,999513;-7,762911;-16,79659;2,019061
2012-03-31;0,436344;-0,297051;1,004397;2,266465;-0,654636;-12,575989;1,002155;0,995298;1,007294;1,005753;3,517011;1,060943;1,012371;1,135826;1,020919;0,999939;0,974385;1,010645;1,046021;-2,715272;1,004569;0,987524;-5,765388;1,012673;1,034926;-3,768538;1,008344;1,005977;0,998148;1,008742;-2,956704;0,913839;0,441803;1,407343;1,068064;1,014176;-1,814936;0,724723;1,016969;0,949898;7,078589;-1,667253;1,65626;-2,849987;1,010581;0,942987;13,189243;1,072538;22,893492;6,290883;1,432723;0,656333;3,151522;-8,898639;0,298569;0,72802;1,033918;0,977846;0,016124;1,012274;1,00063;1,007095;1,011097;1,025238;0,984008;1,247674;-5,023032;-1,530703;-0,807683;1,042654;-0,744559;-3,6228;-1,399827;0,991043;0,515947;1,109503;2,498246;0,108831;1,825189;1,38229;0,857593;0,993017;0,859791;6,322269;0,97888;0,974393;9,617943;0,060137;1,017661;0,330744;2,082036;4,171883;-1,997617;-0,367298;-1,445492;0,018933;1,048539;1,063152;4,019206;4,72027;3,042429;4,098793;17,79462;2,928349;8,951614;9,346737;1,252589;4,193066;2,075276;0,992733;0,967199;0,959682;4,206023;0,973972;-0,434548;1,018811;-0,851745;-6,112138;-2,141345;5,832791;9,616609;0,594685;1,201275;0,585286;2,912749;1,01506;2,019105;3,035995;-0,113488;9,893501;0,746282;6,265236;-5,518296;1,003754;0,846109;1,00296;6,118823;0,63016;1,162354;0,977578;-0,568027;0,894722;1,027642;5,504387;-0,30303;-2,989093;0,994513;0,760232;2,159094;0,837081;3,157982;0,950698;0,983004;-2,000319;0,615061;-0,864432;0,962516;-1,897454;0,671699;1,012429;0,97499;0,97131;-6,239514;1,300133;4,593685;8,768681;-4,173913;1,023974;4,170052;-1,071488;0,938404;0,97277;1,046457;0,550841;-2,311891;25,546665;-1,282837;2,647843;1,533657;-0,02917;-0,357219;-0,776606;0,010095;-5,998561;1,882557;-2,302344;24,933684;-2,91845;18,667035;2,583371;0,918279;-3,265557;1,024579;3,55988;0,98082;1,246396;1,046455;1,071346;1,608335;4,876361;0,718436;-3,440918;-0,692951;0,967811;0,967811;0,854882;0,854882;0,99723;1,790251;1,639144;1,56724
2012-04-30;1,599762;-7,763036;0,969674;-11,052644;-1,087504;1,805975;1,004901;0,990914;0,965542;0,979245;-5,927856;1,011326;0,988404;2,021506;0,961259;0,998536;1,098269;1,008479;0,981812;0,421277;0,971796;0,989949;1,458431;0,977668;0,941363;-3,127312;0,985688;0,991973;0,995734;0,993631;-2,568237;-1,818996;0,762399;1,051721;0,998121;0,961478;1,498235;-1,432767;0,968607;1,067616;-2,199577;-2,463452;-0,619167;1,128646;0,946865;0,949073;-0,689953;0,993851;-7,696001;-2,748084;-3,522727;-2,688141;-2,23451;-24,650413;0,93435;-9,136382;0,984454;0,99174;-18,568476;1,013727;0,956097;1,008464;0,898109;0,994221;1,026866;0,888239;-3,731063;-4,068242;1,419095;0,978299;-0,456334;5,518497;5,71931;1,056377;-5,088432;0,978019;0,137256;0,486179;-0,993169;-4,283327;1,023683;0,982894;-3,393727;1,515839;5,021186;1,007497;-0,347964;-2,185735;0,995206;-3,074182;-1,811891;-3,05888;3,380165;-1,394361;1,331095;-30,72974;1,380061;0,952144;-2,876454;-1,429018;0,638289;0,74127;15,224866;0,273762;-3,944232;-14,613069;1,43182;-6,387167;1,580487;0,93993;1,037735;0,9881;3,164759;1,027871;-1,338124;1,006911;-1,043181;-3,80137;-4,145616;-23,33856;1,294421;-2,866491;-1,133413;-4,742714;-1,362992;0,957905;-2,787495;-2,521066;-1,045356;-5,759557;-2,680395;15,911644;0,065037;0,939079;0,629702;1,007023;-2,338324;-1,21293;-2,133148;0,970933;-5,902205;0,954608;0,937081;0,417307;1,357851;-4,069116;0,999698;1,801588;2,198359;0,991775;-4,071135;0,957744;0,893888;-1,576245;-2,109733;0,589988;0,955663;-11,099833;1,027555;1,082799;1,074233;1,02209;0,313212;1,021363;-2,587898;-3,564122;0,360368;1,00916;-0,295523;-2,016637;1,072657;0,995671;0,823357;-1,952206;-39,626343;13,895878;-5,66201;-3,871206;-0,842163;-2,14824;-1,680822;-11,418381;-16,651493;0,992009;1,048051;-6,900429;-3,261198;-3,395313;14,426195;-2,068797;-2,618584;-0,158254;0,991075;-14,965763;0,962456;-1,052864;0,991185;0,990298;-13,567971;-1,493896;-0,222064;5,519421;4,084297;1,065312;1,065311;1,102584;1,102583;0,950165;-2,062626;-6,406071;1,131996
2012-05-31;-0,513014;-0,939087;0,998063;-0,112091;6,214641;6,528045;1,001552;0,99775;0,995563;0,973409;2,841385;0,978444;1,000274;-3,334371;1,00562;0,99256;0,987084;0,979145;0,988173;-0,239877;0,986303;0,926416;0,403658;1,028426;1,00115;1,251993;0,986498;1,005662;0,996144;0,999704;-3,979697;2,409241;-2,241957;0,544743;0,943298;0,976928;-3,39632;2,349127;1,004636;1,077904;-3,343996;3,093329;-0,341729;5,180929;0,958895;1,029373;6,781325;0,967267;-17,762674;-3,098888;5,885479;-0,326131;-5,51349;7,852288;-4,49385;-0,831556;0,98416;0,996298;0,7243;0,987159;0,994088;0,995834;0,983856;0,978043;1,025831;-1,851985;3,119879;-2,202312;-1,292094;1,019723;1,320616;-0,128824;-2,615992;1,016327;8,585698;1,066815;-1,953292;0,874856;-0,854514;1,082664;1,031697;0,992038;2,253364;-8,209656;2,363615;1,011035;0,522228;-0,419974;0,997359;0,372195;-0,20255;-1,196939;-1,355959;-2,987669;0,436504;-25,329087;1,221215;0,888171;2,334203;-0,115149;-1,023526;-11,150457;16,340307;-0,354307;-10,090487;-2,921711;0,310501;2,459875;-4,36768;1,07609;1,031426;1,036597;-3,820188;1,031453;-1,012878;0,942173;1,703394;6,105729;6,837697;-5,979468;-0,018379;0,145219;0,326512;-3,062975;1,012009;1,027814;0,742555;-4,387625;-1,678828;0,081702;-1,228593;-1,963814;-2,346868;0,997142;-2,119289;1,030766;-5,33477;-0,182997;-1,762033;1,043469;-1,403511;1,059833;0,939237;-2,523969;3,478672;-5,123432;1,022935;1,034028;-1,010413;1,004884;1,172168;0,914411;1,007807;0,804593;-0,930877;16,598401;0,951489;-0,331192;0,957541;1,006821;0,993782;1,043603;0,348256;1,049185;-0,131084;-8,783431;0,953226;0,999919;-1,727116;-2,905032;1,028268;1,056735;1,130293;0,315011;47,329442;3,330261;-4,69054;-1,13901;-2,42656;-9,357209;-0,747721;19,579159;-2,482785;-1,846989;-1,194517;-1,847004;0,177137;-0,56013;12,18783;1,062115;-2,152054;2,306315;1,007846;-1,500956;0,97788;-1,41808;0,980648;0,993676;1,138025;-2,839123;-3,429271;-0,402544;3,173973;0,998849;0,998849;0,930354;0,930354;1,010181;0,878405;-0,873896;1,22151
2012-06-30;-0,165378;26,751819;1,072687;-1,053507;8,17986;2,115281;1,004419;1,005356;0,995134;0,988435;-1,763341;0,986265;0,959977;13,051366;1,007997;1,007741;0,989152;0,998337;1,034189;-0,565607;1,037382;1,008779;25,822252;1,009821;1,021955;6,966206;1,093331;0,976083;1,008068;1,011192;-2,247985;2,111118;-4,160636;-1,071904;0,983364;1,005003;3,250724;-0,598385;1,012679;0,945446;4,47345;-0,727513;-0,284111;-3,563604;0,966152;1,030683;-16,318257;0,711087;3,169785;2,272428;-0,582685;-6,686358;4,518815;-5,40413;-0,077803;2,179662;1,030151;0,971403;7,188013;1,042337;0,995529;0,986481;0,995749;1,006775;0,98513;-1,588776;-1,545613;2,978259;0,849215;1,035124;1,224828;2,315628;-4,956316;0,984665;-0,368688;1,100752;-0,818655;-0,296441;-1,776489;-8,790863;0,967287;1,016935;1,320188;-9,765717;1,105687;1,024998;-2,458719;0,662615;1,001831;1,495079;-1,015824;-0,026505;-2,811122;1,033973;-7,323625;-12,102986;1,148376;1,068989;0,376767;1,15774;0,315657;11,162179;5,5356;1,406334;0,565665;1,096701;32,798679;1,226006;-0,16397;0,906347;0,947079;1,04537;1,803889;0,967785;1,262198;0,96394;1,58884;-2,694543;-5,951542;10,609156;0,382124;-0,70277;-0,586199;0,669252;-1,634743;1,075295;3,790256;2,946084;1,228361;1,2182;-0,218435;-4,100412;3,427012;1,007037;0,387934;1,012413;14,665959;0,645401;2,058519;1,004344;2,878121;1,015664;0,987488;1,680835;-5,148806;-8,034056;0,994894;0,871843;5,562749;0,98505;8,443224;1,081802;1,032928;0,581626;2,282885;5,425124;0,986143;6,788093;0,627565;0,957108;0,984879;0,958883;-1,075771;0,831328;-4,07744;14,407363;-14,720556;1,019894;2,556569;-17,676023;1,01303;0,975994;0,954342;-0,26566;-3,272236;-30,682176;4,001859;0,481665;-0,345647;0,043511;0,169523;-0,645836;0,221867;1,271849;-5,544187;6,144193;3,240621;1,791789;-3,640634;-0,471694;2,697068;-10,569916;0,986881;0,13757;0,980193;4,287578;0,964673;0,952811;-5,748181;1,392698;3,393561;0,026678;-0,561653;1,004288;1,004288;1,017375;1,017375;0,979761;-0,702619;-0,165359;1,143273
2012-07-31;-3,912829;0,360511;0,949824;0,723735;-8,120724;-0,001666;0,99276;1,009253;1,000838;1,000221;0,437403;1,002358;0,824858;-21,698447;1,034506;1,000339;0,786717;0,980797;1,001232;1,865989;0,991672;1,006532;23,504772;1,161642;1,041542;0,314713;1,016215;0,998393;1,006431;0,99989;4,40168;-1,117306;-4,854648;-1,469035;0,971135;1,025694;-0,266415;-3,420573;1,078886;1,24563;-4,511434;1,696626;0,580562;0,010573;1,107228;1,063881;-10,70055;1,219895;-6,22036;-18,71441;-16,093427;-0,903389;-3,260937;0,802699;4,643493;3,535923;0,998516;0,973489;-4,456576;0,989084;1,011083;0,998578;0,998268;0,80923;0,98003;1,796328;9,799945;9,501316;4,987765;1,014747;-3,321353;-7,843478;2,603132;0,9871;2,665686;0,897965;-1,038955;-1,322827;1,053631;2,919751;1,016099;1,009985;0,91017;-20,563654;-0,446748;1,031785;-3,753328;-0,447442;1,006077;-0,47341;1,330753;-0,041658;10,186645;1,093831;-0,904233;-7,589901;1,125431;1,05105;-3,728679;-1,651346;2,486116;1,63138;5,213872;0,868368;2,407776;2,462663;19,561517;1,236749;6,567636;0,963269;1,069332;1,226958;0,313185;0,996157;1,639488;1,045057;2,601077;1,590676;2,859181;0,204437;-1,599638;1,738392;-0,40742;1,801679;-0,886937;0,987358;-4,665445;1,065262;2,025441;-1,600081;0,069331;1,558645;1,53631;0,981817;6,181514;0,962749;3,939782;1,730611;3,36809;0,997391;2,358914;1,020616;0,992083;1,734856;-1,144258;10,725226;0,967007;1,070289;-8,866463;1,034068;-2,05632;1,064249;0,996561;2,622137;-2,00176;3,524296;1,096433;-1,853491;1,039263;1,01962;1,201568;0,958034;-1,335164;1,80719;0,905195;-12,582119;1,250032;0,991739;-1,294367;41,791556;1,036963;1,069039;0,999608;-7,039736;-11,222191;-29,693762;35,189687;13,006338;1,321925;3,107816;4,927216;0,100116;1,868305;7,880164;0,298328;-5,563015;-2,802316;7,191219;1,327203;11,339766;4,063499;-15,807207;0,98192;-9,58034;1,016653;0,073748;1,214081;0,951834;10,161956;-0,984368;2,304329;-2,644046;0,281626;0,988372;0,988372;1,016099;1,016099;1,010344;0,027509;-1,004833;1,132019
2012-08-31;0,841669;-0,594676;0,917672;-2,282943;-9,634111;-3,137701;1,002715;0,980748;1,002783;1,002401;-1,627604;0,99102;1,043612;1,440818;1,11769;0,995996;0,889317;1,028421;1,003133;-0,943755;0,970957;0,997823;-25,893355;1,048387;1,002036;-0,124624;0,934346;1,014262;0,99731;1,002541;1,454606;-0,792202;1,749768;4,874389;0,999508;1,024685;3,70684;10,029218;1,253598;0,992633;5,998191;55,760951;0,047556;42,997702;1,201176;0,803957;-0,812678;1,059855;-1,600689;11,197006;-27,115116;0,098207;0,47423;5,874943;0,685661;-18,224532;1,002408;1,13081;-1,658049;0,938564;0,996597;1,000115;1,035632;1,763802;1,271429;-1,18947;17,004673;7,817406;-3,496301;1,387171;0,230651;-3,187333;1,20323;1,010746;4,022296;1,035945;1,388397;2,614486;0,980146;20,505181;0,985486;0,98105;-1,125159;10,220785;-4,549391;1,025757;2,155881;8,889788;0,981325;-0,667641;-0,977825;1,268779;0,003211;-0,147614;-1,729952;-12,492652;0,67629;1,051073;-18,310542;-1,003579;-2,899424;-0,906645;46,66656;-3,797427;-0,755955;-2,288455;18,336662;11,818823;-2,615079;1,146376;0,878717;0,948798;-1,888577;0,958011;-0,249524;0,98341;-1,030645;4,591444;3,824282;-25,125131;-7,629106;0,596569;0,45756;1,95269;-0,893602;0,96099;-0,149413;0,223022;-1,519451;8,323787;0,100504;1,220523;-4,10659;1,005188;5,833011;0,945737;-3,589487;-1,333179;-0,983498;1,045473;1,021319;1,054001;1,070534;0,482512;7,820436;4,840517;1,021525;0,96562;-5,938636;1,007592;3,073546;1,094784;1,02647;-1,243632;-1,398394;37,917153;1,24528;0,230313;1,571341;1,00701;0,995534;1,046611;4,653917;1,107831;13,589816;-0,122108;1,349586;0,975554;-5,508068;9,625744;1,017935;1,302924;1,121581;9,117296;10,945806;12,419416;23,451119;0,219178;-0,665599;-2,560199;-0,759917;54,887237;4,595741;-1,247881;3,764051;2,521816;-0,911254;11,081347;75,003139;1,193494;-9,994678;48,867684;1,015433;2,456798;1,019631;-0,045035;1,021344;1,036786;3,001719;6,160287;-8,081946;-1,302692;-0,021733;1,012181;1,012181;0,996599;0,996599;1,112053;2,776572;0,946238;1,728361
2012-09-30;-0,958854;8,152362;1,030473;1,371328;-1,587876;-2,90512;1,003032;0,994439;0,999896;1,013324;-7,960696;1,040353;1,023469;1,96958;0,993244;0,997388;1,10648;1,005729;1,000481;0,925153;1,061608;1,017573;5,798479;0,872185;0,96988;0,697019;1,003605;1,011888;1,003319;1,011522;4,662735;-1,483829;2,205998;-1,500584;1,033133;0,99255;2,630405;1,087645;0,988275;0,927694;-2,552095;-1,181987;0,318041;1,329259;0,879977;1,013019;-8,766201;0,912889;9,142107;-2,231122;11,072076;1,731016;4,952755;-5,126794;-0,727187;-2,408018;0,999471;1,042329;1,187401;1,037953;0,990311;1,001654;0,991467;0,944864;1,027174;0,112876;-6,934324;-3,689329;1,61878;0,943808;0,59117;10,301806;-2,440139;1,029221;-11,695989;0,869343;0,9919;-1,600227;0,786974;7,827956;1,037144;1,030002;1,637377;-4,675538;6,260861;0,982327;0,633748;0,002144;1,027126;-0,156338;3,148132;5,031569;-0,701875;7,151731;1,574333;-3,323087;1,078946;0,932926;-0,219762;-6,073368;-4,022867;-16,424469;8,737645;2,678985;-0,959495;3,620595;12,684122;-7,61476;2,650732;1,015983;1,026314;0,952671;7,781522;1,0293;-0,604806;0,975133;-4,917157;2,328524;4,007426;4,32508;7,852294;1,771425;-1,438048;-0,094409;3,217492;0,942869;-4,104141;-4,63603;1,715014;1,447372;6,937804;-5,181049;-1,767006;1,009128;1,765599;1,004278;3,409582;0,882023;-3,062346;0,949316;-1,053185;0,940286;0,835795;1,833708;1,630466;-22,747668;0,988567;0,891174;3,310214;1,012951;-2,839632;0,852012;1,020515;0,573269;11,996113;-4,864005;0,942169;15,011821;0,622516;1,003125;0,956713;1,071983;1,946746;0,90427;-0,638567;23,935348;2,631642;1,023695;2,415236;-3,685605;1,067721;0,918685;0,999261;-2,240014;19,760563;7,282938;13,014373;3,63457;1,602789;2,333094;1,763645;0,398821;-13,23357;2,3322;-1,423858;3,072082;7,232146;-3,014825;10,685618;-4,346492;1,386828;6,707017;1,002208;4,552787;1,016456;0,485801;0,961402;0,944022;-3,501751;2,735512;2,513554;0,0327;0,058721;0,986428;0,986428;0,950746;0,950746;1,022696;-2,847263;-0,036707;1,047191
2012-10-31;-0,11498;-3,109197;1,016009;1,474101;2,284841;6,939825;1,002967;1,002617;1,001243;1,007927;2,780172;1,001726;1,19286;-5,131442;0,944377;1,002405;1,043664;0,998376;1,000738;-9,445006;0,968492;0,964272;-6,702114;0,974621;0,942891;12,058814;0,998629;0,988364;0,998631;0,986151;-3,241574;3,061066;1,246848;0,228475;0,992999;0,956537;-1,686099;-0,80992;1,014205;1,058096;-3,124318;-6,736464;-1,625868;-7,677488;0,968491;0,997894;4,264557;1,072141;0,381553;-3,734706;4,255272;3,274264;-0,170923;-4,559392;0,466412;-0,041726;0,994823;1,039977;0,591088;1,005026;1,010874;1,02861;0,996424;0,964674;0,954222;1,855614;-4,485386;-3,547927;0,222436;0,880467;3,391274;5,004489;2,338474;1,005474;-8,376528;1,057255;0,002339;-2,012133;-3,184937;4,05704;0,969366;0,976633;-1,141285;6,244388;-8,2796;0,898521;3,518719;-0,253748;0,989088;0,221302;-0,034166;-0,389701;-2,209279;-6,83142;0,787978;-5,367815;1,059203;1,074618;-0,272153;0,737253;2,449342;15,837926;-1,110574;-2,055535;-0,678791;-1,665661;8,287712;1,006532;-1,363435;0,951846;0,975556;0,992111;-3,614263;0,979803;0,204856;1,024264;2,406573;8,150294;-12,340196;8,04172;-0,802378;-6,485735;2,087275;-0,433888;0,72654;1,014991;0,844503;-1,458063;-4,978633;-1,513206;0,186434;0,942546;2,971811;0,993471;-7,036816;1,003129;-0,085024;-5,366736;1,75451;1,023488;0,188694;1,022864;0,986235;-9,729812;-9,24465;11,534648;1,008857;0,903465;-0,636895;0,982103;-5,751934;0,919675;0,972111;-2,232633;3,775829;-26,140607;0,997814;-11,078971;1,014468;0,980288;1,004001;1,002497;-0,544155;1,143913;4,234636;-29,07916;-2,581236;0,991679;16,070318;-3,389684;0,858446;1,064738;0,983397;2,321702;-30,950356;-19,308617;10,55405;-6,193215;3,812873;0,743401;-3,779383;-22,404375;-4,625383;-2,501258;-6,868639;-3,281797;-4,188973;-2,340134;3,050451;-3,522954;-0,492334;-11,037797;0,985857;-3,281591;0,980206;-6,47041;1,02024;1,160227;-16,594211;-1,947473;0,232023;2,148025;0,132069;1,022263;1,022263;1,035565;1,035565;0,879889;0,833593;-1,722418;0,828029
