;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
2012-01-31;-3,623565;-4,998826;1,019607;-18,939594;17,45478;7,286167;1,016476;0,995949;0,980593;0,902316;-3,778074;0,974373;0,623904;4,73112;0,985798;1,047785;0,856493;0,980722;1,028431;-2,710239;0,904959;0,979353;10,657693;0,889449;0,953387;18,93122;1,044847;0,99599;1,038214;1,064776;-9,665747;-37,757512;-22,43852;2,938124;0,90724;1,050108;5,409055;6,723915;0,969277;1,064351;0,048103;6,527945;1,109477;2,208909;1,151581;1,079362;11,946248;0,883881;13,391093;13,956447;37,126644;-5,749934;12,008626;22,093102;14,781397;-2,055244;0,959603;0,998011;8,893031;1,024676;1,044454;1,052888;1,072223;0,898154;1,04715;-1,006299;-3,033628;1,040822;-0,860299;1,071683;-14,466918;10,105125;16,354015;1,014817;11,945853;1,414147;0,120047;3,897918;9,429516;-5,81671;0,966106;1,077999;4,840226;0,706536;0,17724;0,946615;6,140987;6,433076;1,026838;2,389943;-0,636729;2,74778;2,493379;4,76229;-0,590711;5,507944;1,032551;1,039811;-7,294279;-1,355585;5,587199;-9,470494;-28,399239;-13,604671;7,429398;-22,832799;2,13236;-69,221164;3,15163;0,851101;1,069158;1,08806;6,436981;1,052435;4,165167;1,046616;10,062336;-0,123374;8,98375;-0,812958;11,346545;11,894413;-5,616008;0,679399;7,425001;0,865711;3,500023;1,223438;6,799958;2,759243;2,722499;1,34544;22,259986;1,044826;-3,90251;0,895651;0,148327;8,774875;-4,763009;0,903371;-4,876346;0,859223;0,703661;4,96962;-17,030856;-7,909242;0,553769;0,615164;-9,764342;0,999419;-3,484466;0,890501;0,955341;0,212231;-8,116479;-2,727503;0,906548;-1,860963;0,882006;1,006253;0,955955;0,872435;-1,082937;0,573314;-16,935623;5,675305;-14,108808;0,871152;4,065846;-14,04899;0,85543;0,968333;0,74204;-6,13866;-33,430322;-12,083243;-3,039993;-1,342977;-0,693076;7,28539;4,862041;4,675991;15,349322;8,093079;-6,359107;3,402905;-22,532723;-8,697121;-22,929854;5,368419;2,928968;-2,80905;0,989816;5,933343;0,881089;-9,065155;0,808591;0,814799;6,759736;2,496811;-17,689854;26,075308;4,284192;1,346947;1,346946;1,696266;1,696266;0,935466;-3,859127;-17,352342;0,621441
2012-02-29;-8,544978;-19,831003;1,015041;-5,843424;6,585976;1,182926;0,968289;0,940233;0,955556;0,959616;-3,588333;0,958798;0,617734;-2,048081;1,002394;1,01014;1,11169;0,990028;0,948496;-4,42049;0,990542;1,073536;14,623354;1,104684;0,990696;2,35851;0,912163;1,002982;1,002313;1,021297;-18,777742;-38,893364;-16,134393;-7,631765;0,92444;0,964692;10,127601;10,689048;1,042255;0,998355;21,41505;5,077694;3,691072;5,652351;0,961626;1,112501;31,040866;1,051666;10,552819;-1,844023;7,83902;-0,473201;-2,322058;19,315623;5,09231;3,342026;0,893871;1,051337;-7,883879;1,000471;1,013028;0,976177;1,030838;1,025954;1,019565;1,951907;-1,62721;-1,839775;-8,049464;1,04252;-23,81209;-1,214973;14,983875;1,014341;0,064941;1,546429;1,359692;4,075923;9,969485;-7,548258;1,002512;1,055816;12,851905;5,152334;9,205156;1,009393;5,581052;10,511564;1,054634;1,831158;-4,117746;3,56508;-5,986389;4,046131;-4,75473;-1,888661;1,02915;1,028034;0,464597;3,305991;14,073923;12,257223;-12,050754;2,888046;2,401213;-7,73838;1,141624;-44,65091;4,008284;1,013757;1,106445;1,070215;-1,668421;1,184722;4,213442;1,017041;13,755214;-2,243905;10,327475;-7,375589;11,109584;7,021507;-3,824385;-1,656513;-2,41751;0,942414;-2,041442;1,750292;6,495127;4,016076;-0,209002;-4,542189;-1,814898;1,081777;0,105226;0,925171;-0,237603;6,090343;1,560322;0,915494;-4,714426;0,805487;0,741659;13,941105;-6,079313;-7,494375;0,731139;0,770804;-10,476399;1,019708;-0,699438;1,04645;1,01059;0,935438;-8,857342;-0,599839;0,826286;1,771044;0,842978;1,017392;0,91151;0,962591;2,883814;0,825997;-3,548492;1,319471;-9,881592;0,968108;13,980974;-4,829248;0,805083;0,951727;0,732506;2,734247;-28,94707;3,507377;1,207086;10,884718;10,064182;4,782868;7,012976;3,571389;13,034555;12,839409;-1,705957;22,754668;-13,678443;2,831543;-6,885154;21,703103;11,62897;-6,464809;1,054952;11,758925;0,968248;-4,916258;0,891614;0,830425;1,692992;2,636563;-11,416694;13,643487;1,839748;1,170653;1,170653;1,589978;1,589978;0,892389;4,111622;-4,45074;0,809986
2012-03-31;2,177514;-5,280601;1,102344;7,151921;3,282179;5,21575;1,041072;1,027983;0,989008;1,050232;7,789256;1,087075;0,609981;6,890246;1,07063;1,075716;1,334358;1,036079;1,005529;1,224507;1,030048;1,143759;17,926623;1,000148;0,981651;7,993486;1,051168;1,047045;1,033541;1,039278;-5,934442;-28,971066;-0,334392;2,126746;1,103341;1,086331;20,992004;18,672869;1,139629;0,994658;0,5394;7,869473;15,37473;8,901793;1,035302;1,069772;29,503132;1,158084;-0,398928;-21,71874;3,013857;16,967651;-1,380283;19,914466;9,59606;7,649254;0,948288;1,106127;2,243503;1,03727;1,046998;0,997239;1,06102;1,0698;1,032255;11,721285;6,755738;-1,918592;0,753209;1,079516;-1,450886;3,098519;21,093766;1,089636;8,999129;1,584667;18,742224;2,897753;8,884736;0,948888;1,061199;1,105081;10,426253;14,275213;19,37589;1,054898;11,782217;17,806263;1,139473;7,085183;5,060832;10,967378;3,24433;9,664715;4,828659;4,260244;1,198106;1,094426;19,36755;19,776104;11,690082;7,949355;7,978194;14,178415;10,858172;8,767699;9,892143;-14,739329;12,701763;1,197668;1,161609;1,2326;13,033569;1,053923;8,792637;1,068251;13,958144;8,811701;19,696906;9,458184;10,078624;6,480742;6,349532;6,810706;-6,461995;1,099096;2,916581;12,783743;13,664315;11,320399;11,198262;0,929046;17,970119;1,071434;14,049659;0,980109;6,241194;9,174215;5,47754;1,087256;6,964743;1,214626;1,076183;10,531216;9,944225;-12,226224;1,208904;1,176952;7,183233;1,224012;11,066254;1,233678;1,13877;7,966952;-3,1639;-2,196464;1,011395;12,18416;1,352213;1,101505;1,159476;1,111444;9,876501;1,352245;11,247524;10,505389;11,734595;1,116189;32,940946;20,908923;1,083152;1,111047;0,962161;4,349317;-25,280901;-7,060755;6,939618;12,679788;20,899116;9,92876;12,910552;5,109779;20,21885;18,499707;15,780762;24,974292;26,790775;7,092116;3,656277;4,970397;10,437458;0,866001;1,15952;11,573975;1,11343;4,438375;1,054243;1,132674;18,837459;7,156856;0,196575;11,306182;4,821405;1,132043;1,132042;1,413047;1,413047;0,952319;2,762142;5,773848;1,032298
2012-04-30;-0,344984;-1,145123;1,113431;12,240899;-12,355913;0,344384;0,987908;0,983916;0,965121;0,977441;12,26254;1,033367;0,534211;5,090489;0,998557;1,037046;1,452362;1,011448;0,947952;-1,555564;1,059294;0,975929;12,171428;0,887831;1,029773;2,20445;0,997587;0,995548;0,96492;0,921008;-4,195114;-24,987497;14,195745;0,424885;1,074453;1,044165;-0,508919;14,988414;1,070225;1,067159;-3,188533;8,66304;3,925951;5,451969;0,970486;0,906723;-19,664584;1,024745;-16,682981;-27,534677;-5,345115;16,29224;-7,914497;0,546417;4,574056;10,976694;0,939446;1,104248;-5,99169;1,010953;1,005067;1,025548;0,999441;1,03012;0,988076;-1,18767;5,318037;-3,979891;0,470259;1,051965;7,491717;2,452696;-9,838697;0,978637;0,293301;1,194149;12,716853;1,679468;2,449868;6,132547;1,116871;1,049546;1,772481;5,942627;12,212363;1,065902;6,927677;5,801541;1,110704;4,98841;2,389295;5,845148;-0,918807;1,783253;2,42344;3,686766;1,016514;1,083141;12,518347;11,265881;1,714528;9,729775;10,67268;12,390421;7,79717;10,769456;2,440999;3,809277;4,028907;1,060311;1,04471;1,02526;9,84699;1,033935;4,419227;1,043022;1,756936;7,956964;6,442862;17,13687;6,052958;0,178831;-1,204996;4,01564;-11,91281;1,062087;-0,564736;-1,915771;5,231725;4,326742;2,216631;1,254233;-9,616799;1,038258;2,8689;0,939638;8,386028;5,872723;-0,955086;1,075172;0,000619;0,834633;0,853736;2,213874;-6,229783;0,032445;0,629532;0,665734;2,237851;0,97496;-0,895302;0,906088;1,024699;1,17883;-8,984111;-3,605472;0,967841;-3,062248;0,85889;1,049864;0,93577;0,938862;3,838081;1,401832;-1,383171;-5,862153;-2,478163;0,948702;17,51076;-13,506209;0,992994;1,148349;1,005364;5,293894;0,138834;-26,498654;7,276513;8,452213;10,148547;3,245449;3,669711;15,904934;20,934229;-4,531667;-4,053744;36,151274;13,336154;-3,317225;7,649341;-12,482553;-3,634659;-1,342399;1,013249;15,654569;1,026393;-4,143931;0,964067;0,95581;0,247517;1,217202;-5,274016;-6,843928;-0,503556;0,947353;0,947354;0,915608;0,915609;0,957312;2,122261;2,985046;1,399327
2012-05-31;3,556191;13,62898;0,997037;-0,980577;-0,82182;-2,537448;1,029636;1,018661;1,001916;0,94379;6,68;1,085142;0,559898;-1,154087;0,966056;1,073455;1,307932;0,994944;1,017498;-0,669597;1,037026;0,951331;-3,313542;0,811597;1,026726;-14,366899;1,038636;0,965295;0,98194;0,893969;-3,766581;-15,486068;19,891616;2,663977;1,098169;0,937;-0,636961;9,449438;1,007528;1,085763;-5,167352;3,068191;-2,904173;1,692934;0,991353;1,276795;-3,562196;0,847491;-14,446663;-30,265138;-14,081504;8,905841;-1,767717;-21,210525;1,409076;-4,14588;0,934931;1,100987;3,031128;1,036389;0,967517;1,003194;1,013674;1,172471;0,991692;-3,739196;-2,255095;-5,947039;0,879851;1,111213;11,448499;-2,768988;-13,035175;1,043361;3,895878;0,75797;6,723438;0,51376;-7,433877;-4,687345;1,126674;1,002183;2,987905;6,311121;-3,70253;0,968551;-3,236183;-0,487483;1,044281;2,380816;-2,03151;3,913371;1,047271;-1,892296;7,087856;3,739698;1,081393;1,053197;7,956262;12,369092;-10,916977;3,68552;9,129178;1,673238;-2,30871;-1,625077;-3,382755;-3,140702;12,069845;1,118149;1,037712;0,987752;-5,558594;0,93812;6,508854;1,004306;3,72039;-3,51357;-9,755936;-8,655731;2,790881;1,790948;-4,65375;-0,149352;-12,73577;1,037721;-9,871939;-16,716118;2,629937;-3,443263;-3,035113;-9,910047;-0,637419;0,966959;0,009587;0,91528;2,896741;-2,583555;-9,386677;0,930948;-6,272792;0,919762;0,843803;2,712659;-11,108364;-2,984597;0,765105;0,715575;-0,752224;0,899319;-16,272602;1,082493;0,96392;-4,05737;-13,080919;-18,742418;0,851084;-8,680722;0,868628;0,996588;0,873755;0,896253;0,802486;1,203557;-9,628493;3,479321;-8,569489;0,973523;-0,220156;-4,474971;0,765699;1,041218;0,841224;-4,580117;-23,017978;-29,137427;-4,31642;0,913077;0,388402;4,44548;5,456489;-14,935175;-2,964448;-13,713246;-6,558196;22,904012;2,982583;-15,203012;9,549358;-15,507651;-7,848143;-2,842068;0,979516;-8,134703;0,96371;-5,447361;0,910323;0,77583;-10,22802;-7,940296;-11,435019;-8,115882;-0,369769;0,859306;0,859306;0,665053;0,665053;1,015897;0,661332;-1,326012;1,2511
2012-06-30;-0,887982;-1,300738;1,088188;18,54442;5,990847;0,909044;0,978237;0,986212;0,979931;1,075902;8,320834;1,080365;0,984748;-13,989119;0,921857;0,966211;1,42362;1,021673;0,998097;-0,168716;1,041046;1,067716;5,774391;0,878652;0,93645;-9,015406;0,925902;1,07383;0,927254;1,01554;2,721979;-21,079314;26,80789;-1,793501;1,244122;1,076724;14,77504;12,86997;1,126128;1,145779;-0,555261;6,86623;9,962722;10,492999;1,022514;0,940207;14,407006;0,925156;11,157079;8,833541;20,185817;18,176875;18,730771;10,50983;5,671533;16,677409;1,108019;1,110079;-6,05566;1,003789;1,060761;0,997496;1,108995;1,154714;1,039811;-0,683381;1,655823;1,036052;1,191729;1,08431;5,402394;-5,563115;0,317399;1,004129;-13,396837;0,6378;20,127679;14,720557;7,059631;16,619922;1,230268;1,052113;2,178635;8,567571;9,718831;1,030965;9,057353;10,75446;1,114017;6,208159;16,558483;9,868806;-3,419773;11,687855;2,030206;2,239919;0,957294;1,091505;19,334871;15,602109;11,299261;20,701398;18,739151;23,911846;8,318546;20,510255;11,814299;28,917636;5,602677;1,182591;1,14299;1,147668;10,397143;1,111196;9,306332;1,025052;12,329149;9,53808;12,779056;16,870115;8,91309;10,70268;13,964413;20,876824;2,775602;1,167838;-0,428339;9,407733;11,443676;13,093685;8,324791;2,88785;16,925714;1,074729;12,267327;1,138638;13,614191;6,842585;8,208873;1,112135;7,555206;1,072525;1,261986;4,512005;22,106204;16,61568;1,303818;1,531975;15,926727;1,103979;5,145594;1,130351;1,15488;8,648749;7,92021;-5,267042;1,103249;16,33321;1,343634;1,101363;1,16627;1,16482;10,524388;0,669494;24,384677;6,403748;23,221622;1,134943;11,427806;3,43454;1,369442;1,193557;1,195333;21,673594;16,769035;-3,464079;8,903617;19,075618;11,428288;9,812571;11,114718;5,428646;11,881656;8,584963;13,132727;39,265117;21,757922;6,712436;24,997214;6,852744;5,713984;11,03308;1,102855;3,846808;1,055532;6,156968;1,162994;1,093007;4,456047;5,78411;13,249767;-14,042047;-2,131132;0,803104;0,803104;0,49454;0,49454;1,08723;9,490952;13,836623;1,263766
2012-07-31;4,697008;-0,287929;1,107347;22,013056;5,349748;11,018008;0,967111;0,990707;1,009294;1,038271;-19,128917;1,077724;1,50032;-14,988915;0,863019;0,927032;1,360585;0,980065;1,033294;-2,379014;0,958852;0,9749;-13,001257;0,85786;0,952974;-21,341277;1,039177;1,059704;0,959222;0,889901;10,89354;-9,228021;21,358859;1,991949;1,169061;0,890831;-2,497575;8,420748;1,045231;1,04759;5,421571;4,501353;-1,779803;6,785907;1,360948;1,092907;22,307094;1,034108;39,38328;32,305149;15,774265;11,741194;15,929557;18,737734;3,529006;27,606542;1,189985;1,070967;8,364231;1,02812;1,036018;1,031271;0,988337;1,145204;1,056002;-11,208463;-9,865463;8,341584;6,29485;1,16244;7,998172;9,339517;-10,032358;1,067608;0,649546;0,890264;17,791753;-1,921793;4,959064;10,690004;1,180432;1,074758;4,086421;-8,465051;-9,491789;1,00274;-8,592574;5,267866;1,104449;10,292026;24,481341;6,213754;0,636046;13,126641;-2,224022;-8,876569;0,919945;1,099474;10,911336;-3,788676;-3,961386;23,967508;16,847259;19,926084;12,157525;24,493461;8,049199;55,859366;1,755487;1,020863;1,168987;1,035376;18,547376;1,212339;7,481048;1,104319;6,39834;7,040212;-4,084609;5,81283;6,876093;13,366446;15,787882;29,640075;5,079909;1,266441;4,137408;6,199275;7,930035;12,251949;8,296132;9,796409;23,000721;1,023643;17,276456;1,139018;20,52145;3,922019;7,350422;1,063623;0,118253;0,943737;0,930137;3,70428;-8,575969;4,623343;0,78583;0,80196;6,221643;1,018094;-2,844977;0,882532;1,022363;3,788106;5,546902;0,287856;1,11782;-4,23263;0,824209;0,945294;0,959761;0,98358;8,85156;0,700065;16,513349;-10,810008;11,894486;1,055566;-2,41858;0,062074;1,149822;1,221933;1,263379;10,272745;-13,792074;5,560876;6,173717;-2,679357;-2,523307;-4,462259;-1,52731;4,798845;3,920197;-2,681979;-13,428802;41,761504;1,535485;6,237419;19,630786;12,869667;4,087525;17,323136;0,975265;14,005954;0,943698;3,596609;0,902425;0,983354;8,357606;2,589655;3,437605;-10,029277;1,422994;0,833095;0,833095;0,458453;0,458453;1,164794;8,599054;13,142142;1,180181
2012-08-31;2,47872;6,664835;0,733243;-20,829969;-41,635345;-26,720017;1,026916;1,003549;1,041422;0,828312;1,082983;0,966507;1,721446;-5,348203;0,929883;0,950518;0,8206;0,987753;0,993816;0,740664;1,009214;0,865858;-59,772623;0,868168;0,945231;-8,893495;1,022429;0,836159;1,015437;1,010061;1,888233;-11,664139;14,973221;0,990232;1,044421;0,768114;-50,845152;-47,738468;0,232463;0,652738;-21,960633;-49,519051;-14,943859;-36,408275;0,327617;0,446271;-57,158811;0,614549;-34,828927;-13,688292;-25,836525;-75,946908;-38,994148;-26,996343;-37,916915;-67,040902;0,800945;0,88754;2,341694;0,880179;0,870487;1,007752;0,756957;0,319162;0,822373;-8,186774;-16,416115;7,970293;-5,826558;0,789241;6,523063;3,784059;-3,151975;0,992;3,478028;0,62453;-19,616769;-10,989356;-16,671356;-45,610326;0,728563;0,888188;-4,287754;-30,554595;-17,941547;0,9574;-28,886857;-43,708584;0,683138;-11,965832;-58,82675;-31,885798;1,753605;-55,78213;-5,619855;-16,43754;0,832426;0,53386;-87,697459;-66,288988;-49,980616;-39,687729;-27,465225;-50,197653;-44,573923;-31,80217;-38,608544;-27,089571;-38,176075;0,639024;0,425241;0,459177;-44,77535;0,440628;-27,382592;0,705758;-32,834566;-45,828286;-50,873636;-54,383456;-45,293588;-47,377129;-36,41233;-71,136531;-30,547788;0,595848;-3,849253;-40,09068;-44,735159;-41,782887;-37,177793;-36,10962;-55,691849;0,616301;-17,131146;1,167218;-49,33152;-26,717006;-37,019586;0,864014;-23,638116;0,674104;0,878994;-21,025812;-28,223589;-26,005818;0,730338;0,56612;-23,181551;0,833325;-34,412012;0,758078;0,657509;-15,002542;-39,173651;-30,14861;0,838481;-37,128026;0,47643;0,933536;0,725823;0,814539;-22,185384;0,817566;-43,827075;-16,400525;-24,463521;0,798107;-78,243383;-21,272371;0,709406;0,579943;0,823193;-46,176889;-6,409447;-3,3394;-37,15935;-58,229089;-55,685925;-29,338243;-33,67013;-49,834387;-80,975725;-41,333968;-20,493186;-72,508336;-39,177759;-26,667632;-54,430632;-6,473602;-20,302709;-46,092407;0,710384;-38,367691;0,945026;-8,335451;0,956468;0,811584;-38,015704;-12,872189;-13,930479;-15,61648;-10,465082;0,778428;0,778428;0,409892;0,409892;1,114327;-40,94946;-28,407489;0,696542
2012-09-30;0,224936;1,153481;1,007179;2,236734;11,533587;4,884296;0,938433;0,932349;0,952836;1,005383;-3,187099;0,88279;1,813292;-0,161568;0,942331;0,916306;0,683758;0,968525;1,023561;-0,73332;0,983922;1,010506;-4,779137;1,211718;0,967225;4,910602;0,93949;1,035807;0,947398;1,022301;12,161297;0,207401;-15,038137;-4,000176;0,875507;1,103024;0,054734;-3,960777;1,055963;1,154875;-6,39396;7,395721;4,725316;4,964385;1,038367;0,960919;-5,352292;1,354312;25,026547;6,165997;-15,667906;1,156368;3,629026;0,216602;3,310725;3,425758;1,161658;0,936113;-2,513936;1,015117;0,981231;0,93593;0,955271;0,979795;1,026925;3,375233;8,684174;-3,379721;3,000718;0,963386;7,140869;-9,504929;-2,746526;0,992455;-4,646718;0,665156;-6,648647;-5,869854;-8,111918;-1,090187;1,004997;0,950256;-8,651978;8,4453;-3,400871;0,983597;14,964217;3,691854;1,004353;-5,217677;4,149536;-2,026738;-0,605518;6,911621;-0,732878;0,898216;0,993707;1,020519;17,210213;5,107641;4,455029;-9,251209;7,688437;4,289232;5,825158;-0,001524;3,502601;34,892876;6,854367;0,769072;0,931689;1,105607;-3,002062;1,058656;1,271215;1,133676;9,976961;8,368911;9,869328;17,761269;7,084727;4,20133;5,618089;4,55935;15,266804;0,984298;1,98816;9,418292;2,934658;0,9352;-1,188091;0,96301;15,038577;1,022087;-1,900589;1,158528;6,458031;2,067192;4,912777;1,018237;6,101852;1,056411;1,124751;-9,777688;6,419923;5,996385;1,323424;1,087267;-3,061045;1,007104;7,869081;1,047767;1,024252;-1,882937;5,946027;15,372428;1,214288;6,283157;1,453229;0,957415;1,163692;1,027025;0,696244;1,026055;3,532086;-2,358228;3,574914;0,940593;-9,429385;2,663885;1,234153;0,978815;1,170532;6,04586;14,058641;7,369012;-5,161449;12,160009;-1,232974;2,535202;3,038433;4,91647;4,74211;3,717558;1,49411;-33,61969;17,967643;16,153161;9,497966;-0,618748;-1,774762;-2,442223;1,004888;-5,559179;1,012925;1,430975;1,041755;1,219087;-2,819299;-4,105485;7,559383;-14,804893;-1,898489;0,810342;0,810342;0,540403;0,540403;1,039814;7,322186;6,747323;1,018268
2012-10-31;1,43739;10,146197;1,107331;22,446876;9,563186;20,315803;1,100149;1,095665;1,114878;1,127339;7,28911;1,031901;1,428973;8,048741;1,147361;1,027563;0,666324;1,084156;1,072107;9,953888;1,044718;1,133221;22,007551;1,399649;1,169034;11,930787;1,040639;1,075328;1,083794;1,103529;29,506594;44,203292;-3,765872;1,226973;0,933733;1,239407;24,359952;9,289408;1,270843;1,083253;7,803893;12,7264;8,771733;13,297121;1,16631;1,197633;-10,091909;1,180426;-8,599197;29,829058;-4,010589;18,092991;14,38387;-14,588337;13,939578;23,662431;1,157532;0,925193;-4,775241;1,039703;1,104286;1,068465;1,057471;1,103164;1,114201;12,680506;7,037795;4,770123;3,92227;0,86458;11,0316;-8,836283;-3,667329;1,014101;-5,122571;0,667687;3,155301;8,315876;8,958373;7,952456;1,028479;1,067702;-0,366357;9,432203;2,11486;1,109535;13,846768;10,575214;1,077897;4,875849;21,306128;7,844931;1,027976;23,057823;2,4477;3,389368;1,062671;1,056385;33,074332;22,9428;30,066743;19,327032;15,080274;22,205082;8,768061;25,534863;18,053133;51,926885;11,821138;1,032238;1,140855;1,114001;20,631935;1,196051;5,693798;1,1624;12,98543;12,002994;19,785155;27,795414;16,432545;16,943887;20,766961;21,673837;31,755034;1,084852;8,314867;21,845704;14,972594;14,580916;11,27954;20,045368;25,695022;1,109369;4,722379;1,100135;22,247807;13,74881;19,44752;1,02766;8,313913;1,139445;1,005987;13,931308;3,210752;32,906687;0,968057;1,248729;14,432865;1,059208;9,291502;0,958665;1,164961;5,010044;37,627579;37,087469;1,455228;12,056409;0,873434;1,098496;1,08565;1,024174;8,361721;1,095063;16,709678;10,564871;8,933656;1,040016;14,633071;1,986943;0,782795;0,993348;1,066282;6,199939;6,338149;17,161903;8,482407;16,420809;18,809074;12,915882;10,297084;28,052305;9,881766;18,823323;16,77471;-23,009402;9,822667;10,965938;16,765606;10,382034;13,717632;17,104914;1,033181;7,546791;1,087098;8,392755;1,070575;1,008487;18,590275;8,283626;4,043431;-7,827426;3,509137;0,923967;0,923967;0,846821;0,846821;0,983496;12,637112;22,030434;1,135588
