;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
2012-01-31;98,436763;669,179653;161,476548;106,984193;111,593614;99,869353;101,375886;100,945063;109,97901;120,115001;99,559369;91,115463;104,471922;94,715354;142,713511;97,673579;102,761755;101,876756;101,428082;102,723307;97,541239;101,730673;92,800042;93,102224;104,219575;106,886896;98,771465;101,110525;101,673754;108,439732;99,320048;96,83591;84,234446;100,049041;89,594789;324,723851;131,514358;91,74836;108,89518;123,918079;86,524499;102,335228;113,741895;110,836003;99,319245;142,334175;112,422248;166,725013;86,704326;113,818141;72,397333;119,421143;111,227335;129,564724;104,3656;135,216732;104,553492;90,468033;97,241983;117,294697;111,502598;99,960256;128,239337;102,005081;119,896033;108,149758;95,039134;100,605112;94,003853;139,162924;100,012847;106,892632;102,469935;98,900366;102,931958;83,220826;101,236678;117,983788;87,672524;144,646843;90,636147;79,266411;60,694772;112,354648;84,305842;83,178079;148,29049;96,251793;98,765379;90,866906;106,080022;97,724713;115,72384;108,992907;107,441351;97,098151;92,238059;125,801104;143,771053;128,839056;117,971142;245,889706;100,598921;112,377839;128,617635;129,71259;112,979821;112,250682;94,158424;188,417995;177,289895;198,738825;127,738163;96,106873;97,962096;120,612823;133,196932;92,802961;105,058068;180,776356;113,580361;96,835262;124,411209;121,230877;88,734254;101,082762;90,557179;95,554701;108,274608;88,928011;105,691055;80,549079;224,624351;113,842487;106,807053;98,074169;146,921616;92,640996;113,523123;112,923236;88,266233;181,814292;148,103033;70,119705;99,96354;158,328831;99,93551;84,801821;107,767545;113,184994;93,16834;99,542575;126,749064;94,214284;166,597493;102,497639;161,5313;131,667659;87,361103;130,270165;96,110279;117,026898;87,552115;56,02201;94,11822;82,623791;95,393701;100,235657;133,045036;67,281069;286,111713;188,708593;116,870304;71,119131;119,972854;70,401055;105,151027;115,707138;116,82121;110,814064;95,672299;93,606883;99,770142;103,946518;92,753935;50,992988;132,199519;108,269661;102,035364;97,155319;122,883766;141,673991;91,946409;87,766837;98,820771;103,389495;76,163642;136,976305;109,43775;106,266627;108,676971;100,520707;106,717801;97,174073;97,174083;106,367507;106,367494;101,240123;111,122032;112,037351;93,350668
2012-02-29;100,298805;621,558136;105,725233;73,200177;107,978818;93,045532;102,149529;99,938479;109,763346;117,853081;101,694328;90,615108;90,394002;86,190113;164,865034;97,984125;93,070648;101,839771;99,244803;104,433559;97,981429;94,908952;111,902309;88,806319;99,712316;102,694462;93,444807;101,995142;101,204686;105,553748;99,908257;98,016401;78,532787;100,187191;93,421783;317,552065;126,204112;90,725426;103,498905;126,387705;83,198793;103,78548;109,424611;107,392561;100,332435;129,51708;148,456578;139,196231;111,978098;109,363911;111,695236;120,753577;110,993505;120,559255;100,570562;125,941235;99,625272;85,879372;86,121045;112,18021;109,088027;99,789347;109,206279;90,229436;123,139986;106,429717;93,632716;90,824147;95,048668;130,957104;93,346937;97,111469;95,479849;93,622111;90,257287;92,339774;94,551675;114,740451;90,606696;131,869506;81,063883;77,773928;49,474592;107,59016;86,780353;86,512043;149,312361;94,11336;93,64778;89,118443;102,770884;96,000085;119,995133;100,396297;106,30115;99,182368;92,659573;136,864599;139,290018;119,792883;126,200252;254,065578;84,250436;80,255184;117,067745;90,025611;111,187871;100,397046;92,763637;187,464335;145,335522;209,332571;122,965424;95,048879;95,430562;99,263973;125,286779;92,929578;94,472273;166,934087;113,033433;93,104765;125,373181;124,778528;91,485128;102,781499;93,479;105,008795;103,168115;87,632466;103,165801;73,325911;219,130036;108,460936;104,537068;97,449043;121,773238;89,136773;96,436279;94,163721;85,884333;200,242606;129,476719;65,990606;101,065509;180,260073;101,471419;91,638548;110,916785;105,927369;101,643322;118,842066;122,507673;88,867186;154,595431;100,369975;102,361344;131,434913;87,927667;121,878166;99,558108;114,743239;84,543282;62,05499;88,627585;109,048584;95,4804;95,344876;136,801227;96,933469;166,212492;163,21025;110,011378;77,872236;112,270426;83,636944;96,615093;109,132048;107,566978;104,49035;92,1223;94,711485;101,291532;101,235587;87,55698;46,043718;139,756702;110,080986;85,990664;102,136086;118,099239;145,32975;89,826036;83,854057;96,606973;105,484371;71,785846;148,572968;115,679844;103,72325;110,368157;106,911013;106,767854;120,508801;120,508806;135,277589;135,277577;102,692246;97,887846;92,431869;71,620829
2012-03-31;100,039936;621,130868;124,644582;105,672069;105,338729;90,76896;102,207455;98,639413;109,679636;114,933095;104,25618;97,786737;102,963882;90,760571;121,355728;97,419413;92,977279;102,698998;103,049648;98,788562;97,383447;93,611896;101,253338;96,247889;104,569439;116,527686;95,677336;101,306823;101,671321;111,12706;95,170241;100,193969;79,527277;100,580372;96,158562;319,080835;130,432028;91,870206;107,695622;131,833332;94,957724;100,9937;112,781305;104,143118;94,058444;112,996489;129,381815;171,796654;130,192104;114,824641;94,868344;116,652716;114,601668;103,773768;103,699748;128,691968;104,632766;81,625504;95,023685;119,394581;108,518804;101,377299;109,366461;98,10748;121,626182;106,732798;85,249768;91,589059;94,422381;140,515579;94,590582;97,593448;99,664974;98,590379;99,570058;107,050481;101,79972;118,213386;90,373984;136,35657;73,460535;78,393697;59,583149;98,916339;97,15842;86,174288;154,413245;92,584635;97,756041;90,477633;105,123322;98,376372;113,291461;97,185261;102,304739;97,653833;103,560211;136,345178;146,127136;124,930528;126,912472;254,960033;64,221488;120,644336;126,477177;134,402559;113,278855;121,026222;95,145937;179,148398;158,022844;186,729592;130,080184;89,679403;95,336482;113,519949;126,042343;88,073029;96,570674;174,968067;120,104967;93,2005;125,035508;118,719454;95,363784;101,861128;92,654199;100,764227;102,524095;98,673102;100,804433;85,307611;208,944048;108,77158;104,397497;98,401967;139,012747;90,609494;104,938687;92,816581;83,641831;166,394117;124,316982;81,643776;98,497295;161,596532;98,823374;55,792892;115,324979;89,89206;101,606119;80,344756;122,111077;88,051012;153,252783;101,9666;91,979599;128,240271;56,186325;125,594598;99,450761;112,417003;77,73578;93,335005;92,501139;109,437819;89,868943;103,008154;138,229539;70,408078;246,548205;173,295808;121,406083;75,674448;105,786487;93,558059;90,568019;108,74219;108,070836;101,710702;91,108157;93,173095;98,177075;95,645395;90,460909;35,562547;161,526221;103,113824;75,449233;107,005221;118,419457;137,99894;93,664049;87,924957;91,229021;105,761519;75,417516;152,469273;110,346645;108,918033;112,628913;96,370743;104,932618;95,227196;95,227245;93,078639;93,078629;102,642382;107,135496;109,936437;56,196843
2012-04-30;100,587488;614,736271;118,637982;91,290893;103,411084;106,799913;102,253734;97,893517;104,679648;110,883505;94,825999;93,484804;100,16211;91,430971;112,984382;97,168471;104,39979;102,239663;96,230042;101,568632;94,261315;94,222328;109,91765;93,583394;94,474374;117,556382;93,591064;99,60832;101,902549;110,398912;96,267388;97,649634;80,1162;99,761813;89,622688;301,783419;136,714855;89,601042;102,636798;153,7826;86,132918;100,200134;110,096741;107,592943;86,660979;110,497274;115,545048;156,999343;99,68648;103,124307;86,411908;112,960718;108,951993;87,729914;104,649859;119,010267;99,078711;81,764355;77,094752;118,896231;102,942781;101,749875;95,82694;94,780609;127,064296;105,076807;86,687469;90,822817;97,099683;129,061532;94,430739;105,897681;108,434414;105,375018;95,546217;94,769525;98,771696;119,589471;87,169326;129,954196;89,452067;78,207809;57,731073;88,620272;104,653754;89,768041;141,782938;89,641616;95,225753;87,203783;100,528324;89,958916;118,009763;95,207336;103,30823;66,923123;139,525937;120,001061;138,793987;116,675193;123,654653;248,046961;61,527001;118,229827;112,746355;108,796562;112,359891;111,953809;94,168138;169,027523;164,0018;187,446183;127,261468;92,084946;94,675693;110,833752;124,484513;91,079418;95,81488;142,467637;108,960031;89,267279;121,870017;112,326769;91,764809;95,265456;87,67041;94,407528;100,4477;82,980745;95,78699;95,692568;212,274391;100,46966;102,794175;97,730069;128,473611;88,455073;101,624328;92,495999;77,939399;176,57709;106,97495;80,12199;99,585876;160,895258;98,916483;127,561243;115,532263;106,623706;94,09994;78,744083;110,151429;88,879016;149,053315;103,375607;89,202876;118,777725;85,861613;132,328907;110,630521;118,213646;83,549436;74,324386;83,118497;97,897576;95,149078;101,941058;131,373195;69,259146;278,192005;178,989024;95,076098;74,202873;68,098635;78,092653;84,132758;98,962897;103,578728;98,154938;89,280904;82,37794;80,901947;102,483394;89,701316;27,831554;132,91083;101,942745;71,456169;102,979635;113,899508;140,20734;90,56987;68,308956;89,589373;103,548419;70,12548;140,421823;94,386015;102,444838;113,208929;104,10053;109,046851;105,336581;105,336499;119,258747;119,2587;98,068181;103,018225;101,00831;41,456987
2012-05-31;97,596942;624,397085;120,800017;101,181742;109,261634;113,138063;101,647045;98,35686;107,483521;109,292932;103,63147;90,842417;101,713323;85,900433;116,785466;96,494563;93,52528;99,032818;96,627087;100,682666;95,755657;88,750802;110,221793;98,995754;99,712292;122,381782;94,159661;100,924577;102,492584;111,997921;95,64605;102,019388;77,518731;98,782931;84,496257;305,948195;135,303217;93,25944;106,531201;159,078237;85,33964;105,794982;110,042365;111,351977;87,312342;116,595393;123,032981;150,718848;89,725373;100,031744;92,085863;115,06631;105,387725;119,947667;99,516628;127,507274;98,5892;82,006559;96,983094;114,883591;106,372829;100,755712;103,754006;92,828838;126,601028;101,098728;94,260601;95,368017;94,842212;130,415489;95,919931;99,249565;102,149999;101,751443;110,402209;103,497834;96,223111;121,032191;87,047939;134,675488;91,728391;79,598282;65,831969;73,606694;104,417354;90,65053;140,037886;91,07778;95,126397;90,759129;101,677892;90,854589;112,626903;93,16647;100,633643;72,352583;126,226458;109,867643;143,514427;115,842509;120,266792;231,40254;63,070504;117,246205;105,780438;119,06904;109,912563;121,995401;87,729138;195,182919;157,067741;191,423538;118,00943;89,561173;95,499816;102,531912;125,591345;101,666155;108,882068;156,574004;104,360138;92,253572;122,440097;113,654136;94,805935;101,220877;91,039633;91,758836;98,963786;88,716725;96,17483;78,652095;207,925299;105,534134;98,76321;98,334742;123,612514;89,290786;101,952142;99,734437;82,447339;195,005871;102,701309;80,665922;101,096015;126,192611;100,738717;70,751502;111,678565;108,139225;98,942338;73,193177;123,102633;91,998408;148,981136;118,512553;87,968825;129,363444;79,779151;121,227881;102,507968;120,761691;83,144876;76,869712;83,748234;93,535958;96,979691;101,389138;126,903504;68,385344;261,497098;191,170159;129,785022;77,890549;154,747901;63,820233;84,1689;98,859283;100,234782;90,060296;90,10968;113,21805;94,734317;99,529768;87,640441;30,851282;135,938661;104,025227;69,556152;106,632111;113,722222;141,707009;92,156156;81,075226;91,158898;103,348404;68,29246;140,516227;108,337843;101,008601;111,58881;96,793793;107,42613;99,263403;99,263411;99,521038;99,521037;104,520638;105,683579;105,66468;46,368711
2012-06-30;96,881838;656,430516;129,326347;99,191719;109,800232;110,229592;101,650192;99,044223;106,981837;110,121426;99,094186;92,276434;98,937498;102,20497;115,552578;97,947592;93,565241;100,732788;101,262661;100,181785;100,876935;97,293326;136,765131;97,647039;100,563535;128,556572;105,430921;98,202887;104,207993;113,910226;98,215241;101,801056;76,162369;96,729323;87,985475;314,210197;145,196334;90,188626;107,514185;140,461497;93,132227;101,996944;109,828905;102,551912;88,850367;113,723798;100,22695;109,643068;110,906877;102,914849;82,864988;108,627212;115,212244;106,530015;104,148693;130,452064;102,73494;81,334853;104,05295;120,227266;106,135586;100,318404;104,071765;95,105073;120,742332;100,465608;90,349683;103,312678;97,455833;125,941565;95,941958;100,742816;102,498999;98,995023;101,164315;106,739267;97,31166;120,748653;86,023602;124,170006;86,909744;82,295992;67,026215;67,091432;103,921099;92,354215;135,054005;92,293394;95,332021;91,929816;100,823613;91,352156;110,541031;97,414254;91,486749;85,593696;121,315013;129,56186;141,227058;114,996935;119,084658;247,449122;53,46053;117,869351;115,645616;121,921696;140,887573;121,096674;91,442549;167,506018;138,098125;187,599463;120,773572;81,400828;98,381643;103,844281;123,327145;93,359144;98,328133;169,83357;101,240927;91,59917;120,792083;117,875109;93,017117;104,773672;93,981068;98,314343;101,211691;89,533732;96,94048;77,407466;212,485012;105,785452;100,18881;94,459096;142,239492;89,956563;105,719457;95,955939;86,867612;185,653597;106,274638;87,615701;91,826887;123,807682;97,534793;57,709675;117,006467;106,146661;105,59368;84,3715;124,910422;92,490155;151,607924;105,037178;92,045853;136,297107;52,224867;113,62797;100,885187;111,1561;81,663541;61,160502;79,005932;117,50341;82,8177;103,797232;127,927901;53,67774;246,998717;175,798312;108,908103;79,459633;104,125807;26,521498;93,063059;98,075287;101,199396;99,317851;91,194368;92,854228;97,027052;102,559204;83,595267;38,181387;138,492261;105,579751;54,108295;105,430846;118,252194;127,831861;90,479378;82,479249;91,636822;109,324518;66,758255;134,416163;100,796241;105,185215;119,801956;96,156188;102,951182;100,293498;100,293502;107,546398;107,546439;101,595259;103,806788;105,53246;45,903986
2012-07-31;92,181624;634,779567;114,828666;99,898812;92,234025;109,557492;100,139203;99,536845;107,145467;110,690048;101,38688;94,787458;86,72494;67,435997;117,044907;97,331649;74,49693;98,736344;98,481793;102,392083;96,612438;97,540478;135,328551;112,60166;100,927203;122,405638;99,445743;101,011588;104,245489;112,622491;105,72106;98,559081;76,25231;95,954375;86,951863;320,405278;143,271598;87,235674;114,706266;182,503934;83,830641;104,36182;110,547265;106,259005;104,018172;114,499417;106,57355;187,109857;101,827351;80,648995;66,705233;114,490754;107,115716;112,737364;108,892847;131,423688;98,975213;84,305253;92,926054;113,110319;107,705535;102,269675;103,546475;76,048031;118,8911;103,440334;101,870969;111,808109;102,120589;115,536546;91,831107;89,618875;113,375952;99,474543;102,92917;86,741875;97,470493;120,483609;89,131741;135,277389;91,376282;82,478419;67,998033;51,661525;101,098182;93,178375;132,386697;91,745313;95,649055;89,930415;103,589997;90,849532;122,925716;98,427263;97,203588;90,110651;121,287585;124,425282;137,187937;110,184763;118,604501;229,874699;55,352423;115,607488;116,748684;122,112732;125,891054;120,125031;97,643862;182,456199;148,090692;213,659028;116,107764;81,79494;99,219973;111,570265;121,569578;97,927599;108,537292;155,816063;95,992345;94,324918;120,552343;120,063537;94,661439;95,259217;85,470937;95,66235;101,352422;86,165058;97,663819;84,128127;210,266111;102,841678;105,02294;87,871228;130,612851;90,85132;107,005763;94,274869;86,101134;184,89547;108,145176;89,523129;95,268209;142,867783;94,418367;69,286012;101,349392;111,679875;94,375168;80,918022;119,144507;94,952528;147,592439;99,48228;104,984481;127,450892;86,433466;119,671178;121,665449;111,002088;81,648797;133,079897;84,414842;91,045965;100,122852;101,283423;121,136682;113,099697;232,191906;187,640461;113,209445;75,335284;96,722697;25,051248;125,32421;108,592389;102,156427;102,801565;96,154657;93,484029;97,875448;109,114286;89,898559;27,114198;131,829624;110,174615;59,474724;117,462211;119,329936;121,541805;90,709114;73,023709;95,5109;105,416224;84,687287;134,132455;116,239535;102,798412;119,416035;93,228966;103,038988;99,12903;99,129038;106,547493;106,547515;104,926462;104,185891;103,914706;49,155074
2012-08-31;96,234098;637,51915;111,524529;95,801365;89,808059;107,611384;100,77459;96,920406;106,938045;110,323282;99,460286;94,674683;111,900756;90,521823;124,869136;97,150273;84,546702;103,261394;99,223304;99,272404;94,804388;96,800924;86,532169;101,655484;95,555766;95,972494;92,978365;103,309133;103,138581;112,317222;103,546948;98,76508;83,791243;101,996932;89,693731;320,106565;146,010919;100,52968;133,5033;141,306301;93,779163;158,382225;109,849471;149,453186;115,595695;84,863684;117,550517;161,684269;106,677753;111,164883;57,021671;115,567145;110,171396;118,029163;104,594581;108,90749;98,552107;101,728507;96,239246;106,607328;106,209856;103,134223;106,792313;165,133332;152,666958;100,343465;108,421621;110,536932;94,07637;147,05376;95,57276;93,258055;115,113846;101,691304;102,763448;99,496036;100,358452;125,075735;89,778697;152,187927;87,982444;80,844033;66,488671;130,781418;94,228315;92,62126;137,408414;101,925706;93,295818;89,566031;101,839878;91,70505;112,327445;98,417606;96,379073;85,204074;74,017403;121,447199;123,255058;109,043899;111,132867;217,645385;99,664907;108,916022;112,841445;115,786981;122,662648;127,999921;87,93659;222,831847;114,885017;160,24926;110,858481;78,045622;97,411536;104,099636;114,985803;100,997903;109,209768;126,778293;87,398925;93,311576;121,226088;121,186008;95,402999;91,982559;90,112637;94,204549;96,942973;95,456836;98,291978;85,005049;204,009974;105,465697;103,715325;85,009685;122,244059;87,550202;102,596505;96,862211;83,754875;188,923996;120,510225;89,605083;103,846973;136,862249;99,357864;61,776794;103,708926;109,10037;98,956537;81,477247;121,119512;90,943462;149,029167;129,918746;123,491591;129,032055;130,742433;117,382766;99,850928;120,496323;88,030683;81,503939;98,584392;103,684243;101,053162;99,911152;114,704868;80,614025;200,048262;216,996661;125,71519;94,271957;119,587481;65,743869;114,630073;93,946756;99,206896;97,640955;90,449065;148,117261;99,456507;99,976585;93,941085;117,295217;133,098875;113,335432;133,536141;107,439476;104,538444;184,957348;94,874265;85,505442;96,487664;105,688978;72,944353;146,079682;108,864168;109,948772;108,775828;95,25869;101,985625;101,951904;101,951906;104,253052;104,253082;115,517141;106,584857;105,140323;83,285573
2012-09-30;94,032405;647,045905;125,485257;98,329093;97,304605;108,582396;100,398672;98,507651;106,260498;111,018708;93,208217;99,984268;111,223758;91,018648;109,725415;97,622781;105,817864;100,677009;99,30934;100,746389;103,841552;98,462896;118,444047;84,394681;91,261013;97,152157;101,420732;103,547118;103,311388;112,451141;107,344616;97,876172;85,216965;95,435415;92,958595;310,331541;140,930181;91,460741;105,444173;128,034383;84,29384;101,467453;109,847479;108,080527;86,090849;106,151446;111,034938;137,212403;117,332916;100,251625;97,403643;117,131853;113,537893;107,398358;102,505512;123,66573;97,492396;96,450036;99,449455;117,341107;105,576403;103,674171;101,955249;88,51049;122,257358;101,600068;83,321332;97,89443;99,507134;94,768562;95,497114;105,735992;113,679178;102,796048;86,266482;83,023662;100,033377;121,491564;90,519713;138,831699;91,612233;85,614619;69,323942;112,481638;102,514468;88,478973;135,248501;93,847241;97,793542;89,830269;106,313191;94,910445;111,452392;106,548309;100,144301;94,337741;119,19782;105,27783;142,723001;102,448158;108,655809;191,326748;64,511245;113,436018;111,909163;119,672408;114,970983;104,674614;92,781437;200,76783;126,623188;156,010966;118,019994;84,72482;96,683196;102,403867;108,575405;98,654396;107,576123;152,471268;101,144141;93,996571;119,097104;119,31425;99,88525;89,758953;86,412911;88,885557;98,972169;88,036116;105,31172;79,979034;204,693987;106,196568;98,595374;89,720989;128,099811;89,534788;100,367299;85,988144;80,117595;166,497462;97,06949;92,827692;97,554212;108,558889;95,836168;57,120831;113,269967;110,166084;92,920796;62,275426;118,711508;92,131312;163,284492;84,397708;97,131155;142,841228;51,816497;116,681716;96,032551;122,020635;85,487218;66,495258;86,152289;127,380129;102,456454;105,025467;121,252011;66,881265;180,516314;142,544371;110,499075;85,413317;129,072179;61,073186;104,270395;95,323903;99,846138;102,597168;92,425633;93,366404;80,355103;103,513611;89,513945;117,560573;140,651048;98,582623;69,607543;101,851315;114,61886;141,307164;94,789512;87,957991;97,123353;106,676507;70,97292;133,119666;102,346566;106,51553;118,377458;97,925554;101,343969;99,736204;99,736211;99,85684;99,856882;106,11649;100,627725;103,507927;56,971119
2012-10-31;94,701535;632,551142;122,906709;97,399559;101,179354;118,56481;99,98179;99,653434;106,085111;110,020352;103,900829;96,419107;130,333074;83,907888;103,425513;98,493221;100,274668;99,612201;99,344502;90,059181;94,82265;92,99412;105,964729;93,948432;88,302412;108,692358;102,218082;101,114613;102,261301;108,844039;99,78032;102,124974;85,144853;97,139422;89,516576;299,525108;130,90853;89,531532;108,505849;142,574185;82,441646;96,136774;107,574691;99,74779;95,149989;105,389752;125,836999;155,653525;108,010597;102,508196;92,080553;118,505594;106,936645;108,304345;102,922699;124,926011;96,651481;97,588403;98,936805;113,250667;107,727941;106,3015;102,89846;90,895913;112,68088;103,166835;84,967711;96,148134;98,339154;86,559401;97,383299;99,769196;119,38599;99,224984;90,14573;100,538155;98,287223;121,678638;87,426519;134,417157;84,712371;81,852374;66,66397;120,823553;86,650619;80,604085;137,450291;94,12224;94,567194;90,028368;103,05572;88,877677;109,974539;92,646533;99,930424;92,232938;117,238556;118,607803;144,659874;108,026621;114,107796;211,595509;57,119408;106,781139;111,511762;112,101764;108,786178;108,883716;88,48992;188,713373;114,758838;157,619987;104,992149;82,680051;96,853376;106,76079;114,2721;104,087695;88,703648;152,490046;91,46778;84,665725;122,037197;117,921709;97,009667;96,316319;91,82512;91,888065;91,01392;84,822686;98,068161;87,710855;206,826029;104,825153;88,727774;89,614994;123,069189;83,251397;104,976788;91,25141;79,813709;178,634111;117,023393;84,178685;86,935003;141,515413;97,557191;58,679929;109,876308;107,445135;90,579298;66,560098;111,461512;88,556564;155,508602;62,682666;107,438313;115,435657;84,436255;114,375088;102,235141;112,766918;82,936749;84,043461;92,729226;73,993308;96,869985;101,816335;134,182444;66,503357;128,588988;153,358225;107,106494;91,395809;78,879329;36,724426;100,829135;83,296783;99,768277;100,684264;85,96753;70,230569;87,628102;98,604077;85,047638;109,203429;128,754048;98,765194;62,339903;102,428862;111,142603;121,760027;94,120382;80,322639;94,752649;100,069215;77,833173;163,905644;89,477111;101,814442;114,66774;101,545334;100,80829;103,682139;103,68214;109,847772;109,84777;91,07698;104,068463;101,338756;51,085314
