;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
2012-01-31;100,221962;622,269203;127,770414;105,312003;108,927536;99,853835;102,40178;99,870458;109,750974;116,400392;100,581994;91,646801;103,355546;90,019724;162,5166;97,662075;96,534283;102,013693;99,865868;102,253492;96,741549;94,575276;103,890305;93,932487;102,321886;103,283071;95,525935;101,466695;101,161249;108,504919;96,61026;98,847004;78,750707;100,145934;90,593544;316,65875;128,168407;91,349388;106,123888;127,309163;87,209261;102,48773;112,022764;108,384553;97,333034;127,743794;116,856393;164,312333;106,764032;113,030879;99,004414;116,705076;111,405754;113,768684;102,954888;127,84508;102,409766;86,643542;93,609047;118,594471;110,023555;100,236472;111,138845;97,167843;122,445891;107,623075;91,259391;92,146187;94,363105;138,218607;96,606665;102,500301;99,024296;99,085377;96,944101;95,437749;100,683631;116,733066;89,261608;136,534271;82,232703;77,852981;54,7154;103,731107;88,310911;87,123212;149,251631;94,392273;96,777125;89,982383;104,543254;96,589722;116,614709;100,035517;106,714842;97,685321;94,223216;132,752332;142,916601;124,558997;123,643468;254,567287;47,628964;116,013771;119,21533;128,053854;113,507203;114,18813;94,045716;185,342026;171,79021;203,578944;127,922987;95,77446;95,864558;113,967214;129,165181;93,109396;98,25998;174,96858;114,534386;94,204692;125,139924;121,015883;90,965268;102,664506;91,234657;99,235281;105,065659;88,749398;103,552691;77,662386;219,204087;111,192722;105,962925;99,017552;136,392194;90,721303;103,84825;94,876594;85,613624;187,07731;136,353278;69,997919;100,459154;163,722277;100,463245;78,807273;111,370398;107,994501;99,482876;89,862536;126,115189;90,078192;155,566272;101,89412;102,000722;130,845015;84,763261;127,271416;99,084559;116,177687;85,731777;71,175881;92,11225;98,637398;93,621375;99,645422;136,753249;70,750994;266,909162;175,658505;117,073055;74,193778;109,860291;75,168318;97,598052;112,295615;110,608054;104,938804;92,95919;94,13495;99,780442;101,891816;88,422125;45,403474;137,371282;107,832217;56,186994;103,316855;119,778285;142,770841;91,653099;86,719164;93,592337;104,38779;74,705666;143,112794;110,340572;104,303979;109,182926;101,588052;106,668525;97,492707;97,492767;109,299524;109,299516;102,370942;105,877745;110,100552;35,481093
2012-02-29;99,974644;621,525977;125,948363;104,48402;107,498345;101,643639;102,225714;99,503617;109,301887;115,400274;100,650283;91,935298;102,312445;89,755142;160,756035;97,553576;96,153209;101,888358;99,160089;101,936847;96,784741;94,63913;105,505633;94,486483;101,740806;103,667606;95,139219;101,046742;101,484081;109,293787;97,489271;99,102566;79,022873;99,606022;90,247779;315,136421;129,848769;91,295099;105,853867;132,944958;87,337347;102,564786;111,587693;107,651792;95,14884;123,383341;116,251403;162,019002;107,190574;110,979494;96,472194;116,335699;111,476366;113,025216;103,121591;127,945281;101,819226;84,902058;94,502736;118,362763;109,268001;100,421605;109,620978;96,220325;123,14891;106,689453;90,640312;92,167929;94,822474;136,881199;95,885981;101,957639;99,768072;99,232332;97,687547;95,952273;99,972974;117,223394;88,928992;135,982748;83,952355;78,411712;56,595823;98,02892;92,410511;87,659299;147,145945;93,402835;96,49233;90,058179;103,838594;95,419176;115,950434;98,76838;105,389479;97,536052;96,468382;130,326844;142,455987;122,426224;124,090368;253,360813;46,918101;117,14078;118,358971;126,771197;112,827684;115,273829;93,599836;181,929711;168,186998;198,909712;127,23515;94,238802;95,761529;112,885386;128,150792;93,60899;98,179357;172,216922;112,812333;93,374457;124,528801;119,512939;91,729102;101,318683;90,817195;98,574938;103,952004;88,774712;101,835234;78,428946;216,962507;109,788815;104,869882;98,769777;134,953346;90,399754;103,865561;94,711759;84,859877;186,50293;128,467244;72,876005;99,604878;163,857704;99,832929;76,167702;112,55053;107,482896;99,021191;86,643331;125,287987;90,013675;154,146127;102,591239;98,634238;130,465881;84,165656;125,779522;100,606987;115,768193;84,813991;71,310115;90,067127;99,344772;93,676182;100,134801;135,852732;71,478952;265,550252;176,760855;116,343286;74,191561;108,878811;72,433469;94,598366;109,402578;108,702521;103,451068;92,22701;93,945745;98,890641;101,766309;88,655028;41,520802;136,867463;106,750197;56,56055;103,699072;118,700123;141,913031;91,459755;85,516213;93,08994;104,456705;73,361124;142,497195;109,524943;104,216253;110,584774;100,815643;106,210012;97,799877;97,799931;109,220661;109,220661;102,742264;105,650757;109,228459;35,472345
2012-03-31;99,603591;621,427919;124,098881;103,405604;105,993365;103,344949;101,987645;99,105407;108,885425;114,275722;100,73917;92,169644;101,705635;89,624745;118,869102;97,425352;95,421474;101,617238;98,515839;101,503834;96,940544;94,794516;107,018726;95,043396;101,040504;120,296224;94,885584;100,704874;101,860008;110,164001;98,126945;99,28013;79,085474;99,173029;90,030691;314,620663;132,246963;91,145483;105,89859;138,786881;87,879135;102,660953;111,125044;106,993105;93,073651;119,828288;116,192572;160,177616;107,298612;108,533758;93,435621;115,996382;111,450146;112,672406;103,401179;127,963948;101,200268;83,474775;95,007561;117,94687;108,450501;100,663049;108,166167;95,69239;123,602789;105,485124;90,2728;93,119762;95,230064;134,767232;95,335141;101,216248;101,064801;99,481402;99,05411;96,485035;99,301474;118,104554;88,548795;134,97428;85,658992;78,944976;58,723358;92,59407;96,179539;88,438961;144,795302;92,524498;96,059542;90,146889;103,041286;94,204488;115,289078;97,55256;103,750232;97,6349;98,766223;128,246117;142,10793;120,210258;123,870043;250,86124;46,426868;117,715987;117,525563;125,055823;112,026267;116,833156;93,070661;180,459862;163,38187;194,574448;125,874162;92,075978;95,77103;111,424004;126,894088;94,185166;98,712019;169,135277;110,488358;92,605815;123,834233;118,134167;92,451035;100,3499;90,635094;97,728232;102,637582;88,779601;100,058151;79,042374;214,462343;108,364789;103,551388;98,111573;132,893924;89,979334;103,776333;94,945417;84,209858;185,972992;120,973061;76,139389;98,800325;164,585626;99,368629;73,389321;113,165884;107,387587;98,448137;84,511369;124,222319;90,051331;152,637722;102,831032;95,561589;130,137725;83,648081;124,052731;102,00181;115,737534;83,975293;71,788809;87,907453;100,669139;94,042856;100,596475;134,059487;71,479566;262,731296;178,146781;116,016312;75,123607;108,098378;68,011394;91,850855;106,094347;106,537179;101,739871;91,465375;93,949701;98,16698;101,643956;88,578351;37,864891;136,592538;106,032273;56,782198;104,42185;117,501179;141,264496;91,417096;84,365077;93,01299;104,515123;72,069549;142,315616;108,738309;104,041673;111,910476;99,811661;105,625569;98,394367;98,394419;108,878906;108,878914;102,927456;105,345245;108,297293;35,857196
2012-04-30;98,987726;622,499307;122,348371;102,343537;104,498588;104,993938;101,755073;98,791175;108,415435;113,233678;100,753855;92,437855;101,337221;89,409465;117,537927;97,310928;95,058514;101,380092;98,012679;101,147355;96,99701;95,179009;108,45922;95,721036;100,359134;120,683694;94,95003;100,414394;102,339107;111,106518;98,835625;99,468629;79,353801;98,710092;89,791408;313,874522;135,21662;91,033809;105,963344;144,042931;88,332494;102,663586;110,715908;106,464296;91,524094;116,426492;116,235001;157,970669;107,382481;105,872391;89,934635;115,648858;111,186503;112,380327;103,715509;128,146649;100,643304;82,445369;95,663228;117,286219;107,669757;100,895876;106,69854;95,331498;123,739864;104,188569;90,418531;94,891059;95,680589;131,9244;94,887073;100,379183;102,715104;99,751359;100,634649;96,899443;98,63444;119,103291;88,162495;134,237523;87,382619;79,568893;61,1248;87,104433;99,632567;89,100024;142,130902;91,827351;95,684446;90,277965;102,340214;93,017796;114,629598;96,601697;101,977134;97,652863;101,101266;126,032412;141,670441;118,104211;123,016364;247,30569;46,302135;117,956065;116,690588;123,409631;110,928071;118,340976;92,587651;179,82992;158,038292;189,703655;124,096709;89,588053;96,013817;110,072985;125,527694;94,880788;99,960496;165,806197;107,66561;92,13377;123,00343;117,069483;93,127801;99,45188;90,457904;96,928594;101,493055;88,740301;98,467385;79,780924;212,209354;106,987497;102,164473;97,048542;130,811936;89,668004;103,757476;95,265103;83,841604;184,973403;114,157659;79,704683;98,228026;164,964374;98,946388;70,804899;113,333905;107,50791;98,171075;82,218329;123,227343;90,455261;151,163048;102,785619;93,341362;129,877558;83,559147;122,210066;102,985609;115,658746;83,236224;72,769837;85,706395;101,461697;94,78871;101,015751;131,668718;71,275784;259,348506;179,767154;115,473734;76,155079;107,724977;64,196775;89,794768;102,834103;104,420891;100,303177;90,961726;93,796321;97,55344;101,491385;88,653265;34,731984;136,172028;105,338058;57,029974;105,048432;116,518092;140,365594;91,385445;83,274719;93,084104;104,601283;70,74913;141,797492;107,953986;103,938734;113,430992;98,581109;104,962553;98,878586;98,878633;108,163004;108,163021;103,21172;105,080851;107,41438;36,622902
2012-05-31;98,109956;625,336172;121,034474;101,293833;103,046992;106,610018;101,489531;98,578652;107,962588;112,278521;100,790085;92,843761;101,685417;89,234805;116,132762;97,217884;94,749087;101,142103;97,783583;100,922543;97,085424;95,800188;109,818135;96,259521;99,59774;121,129789;95,448441;100,356389;102,889338;112,031086;99,625747;99,610147;79,760688;98,238188;89,575406;313,173713;138,699538;90,910313;106,039617;147,581087;88,683636;102,701653;110,384094;106,171048;91,05512;113,26837;116,251657;155,81929;107,488047;103,130632;86,200384;115,39244;110,901215;112,095379;104,010479;128,33883;100,175983;82,311287;96,258794;116,377994;107,005443;101,177249;105,45654;94,912834;123,413124;102,950713;91,140723;97,570328;96,134306;127,893087;94,599316;99,378388;104,765991;100,116821;101,816511;97,015739;98,176403;120,157335;87,902453;133,592824;88,910226;80,237118;63,578605;81,816351;102,053739;89,661146;139,515658;91,497754;95,378254;90,386934;101,880442;92,051528;113,982862;96,154139;100,197138;97,68167;103,361396;123,701013;141,180224;115,957658;121,290318;242,552997;46,730196;117,600512;115,870925;121,990751;109,602062;119,535526;92,096817;181,381551;152,282165;184,665382;121,829619;86,830137;96,512695;108,824911;123,887951;95,560426;102,044371;162,553472;104,378517;92,108353;122,113586;116,717111;93,793926;98,481749;90,297078;96,146462;100,642614;88,635023;97,403423;80,615908;210,272167;105,836616;100,882499;95,399686;128,947284;89,473782;103,714175;95,579708;83,85085;183,996764;109,345437;83,189891;97,617343;131,316043;98,480051;68,423224;112,688978;107,613627;97,77017;80,04409;122,149029;91,193814;149,912013;101,914153;92,453844;129,694636;83,316662;120,406603;103,149383;115,716144;82,79662;73,266087;83,879318;102,319388;96,026466;101,397382;128,63062;71,290376;254,308419;180,906473;114,824182;77,575538;107,418459;60,489972;88,859439;99,998294;102,661342;99,417504;90,857401;93,63889;97,217101;101,376757;88,834958;32,698286;135,761524;104,585357;57,368322;105,569996;115,874275;139,400695;91,438747;82,576181;93,220961;104,766485;69,640135;141,410548;107,199818;103,847724;115,018081;97,196337;104,252157;99,377758;99,377798;106,971116;106,971141;103,4672;104,805173;106,538575;37,960172
2012-06-30;97,047216;629,678697;120,562982;100,245226;101,620372;108,11431;101,202979;98,516603;107,504933;111,409845;100,857527;93,561457;103,062343;89,153604;114,63582;97,195182;94,591357;100,900541;97,915066;100,747393;97,241859;96,446574;110,942879;96,697335;98,403104;121,590366;96,430928;100,609179;103,374017;112,649492;100,463225;99,689938;80,323005;97,801227;89,474001;312,646181;141,94561;90,787011;106,168083;148,566463;88,658778;102,724456;110,113015;106,115516;91,963093;110,338301;116,545208;154,190834;107,737091;100,642421;83,447673;115,313569;110,693429;111,934145;104,226495;128,272402;99,728076;83,729298;96,864937;115,343935;106,612238;101,693233;104,516039;94,465096;122,564905;102,054384;91,895296;100,334419;96,606618;121,668066;94,71713;98,427188;107,455316;100,536765;101,533002;96,969425;98,130315;121,045094;87,800092;132,960869;89,848963;80,925514;65,706027;76,857148;102,815412;90,101835;137,512724;91,630779;95,157748;90,434737;101,839438;91,378661;113,352152;96,38028;98,810374;97,696682;105,640467;121,200347;140,850291;113,839195;118,769001;236,286943;47,92493;116,463018;115,079951;120,824995;108,088894;119,870668;91,606519;184,814505;145,814747;179,457457;118,969683;84,110414;97,119445;107,729027;121,738305;96,053686;104,279675;159,224414;100,858803;92,30194;121,378282;117,205857;94,65186;97,437179;90,190811;95,368258;99,983331;88,315533;97,158914;81,507877;209,058;105,046264;99,800876;93,300951;127,573533;89,311163;103,660938;95,540865;83,989491;182,790399;107,621159;85,934866;96,975692;131,841738;98,03533;66,192746;111,443718;107,757615;97,150456;77,99166;120,928539;91,908529;149,325039;99,612054;93,33928;129,509014;83,21827;118,720148;102,434116;115,922446;82,739312;73,56968;83,083373;103,096047;97,538257;101,772568;125,371332;71,353763;243,82165;180,12233;114,11849;79,725293;107,398044;57,203675;89,0612;97,593622;101,545043;99,27434;91,024845;93,500064;96,805185;101,287355;89,139454;32,037194;135,25164;103,787962;57,74893;105,90254;115,555126;138,401777;91,682166;82,341679;93,488507;105,03694;69,202987;141,073215;106,544422;103,792517;116,408395;96,12951;103,512835;99,865276;99,86531;105,709735;105,709765;103,693973;104,509407;105,697819;40,151387
2012-07-31;96,094453;634,419056;120,89463;99,175077;100,354749;109,559158;100,869469;98,624229;107,055726;110,66559;100,949477;94,564487;105,139235;89,134444;113,14088;97,298703;94,693467;100,669538;98,360635;100,526094;97,423775;96,907525;111,823779;96,933205;96,901675;122,090925;97,858962;101,174147;103,579387;112,634866;101,319381;99,676387;81,106958;97,423409;89,536306;312,378862;143,538012;90,656247;106,319147;146,515379;88,342075;102,665195;109,966703;106,248432;93,944665;107,624299;117,2741;153,381928;108,047711;99,363405;82,79866;115,394144;110,376653;111,934665;104,249354;127,887764;99,122334;86,601126;97,38263;114,358683;106,524892;102,415279;103,726095;93,975833;121,313788;101,644006;92,071024;102,306793;97,132824;113,857536;95,152461;97,462352;110,77282;100,774572;100,263484;96,598313;98,509449;121,806436;88,07811;132,357638;89,928497;81,663052;67,087863;72,225179;101,544929;90,307918;136,140025;92,192755;95,071326;90,403825;102,259244;90,891189;112,739072;97,333432;98,107821;97,700553;107,769854;118,381935;140,916616;111,836109;116,118385;228,243319;50,138551;114,73912;114,340908;119,650069;106,329537;118,888282;91,076226;189,41363;138,488982;174,13723;115,794579;82,110515;97,580485;106,760006;118,968502;96,336922;105,678111;155,611626;97,591983;92,586526;120,959763;118,261858;95,548376;96,478931;90,136382;94,597087;99,32698;87,765138;97,594488;82,569482;208,729801;104,746273;98,841426;91,271165;126,673069;89,120709;103,637673;94,521458;83,742219;181,160698;109,008248;87,788272;96,412468;132,142557;97,639838;64,735771;110,215855;108,000545;96,431488;76,032955;119,555662;92,330391;149,594199;95,957983;95,750912;129,304384;83,168032;117,36839;101,25556;115,864446;82,983961;73,639133;83,509647;103,628084;98,872819;102,127084;122,431049;71,308142;223,915417;175,522584;113,253894;82,37502;107,944887;54,74501;90,134523;95,586051;100,834502;99,693749;91,227441;93,383914;96,007143;101,234122;89,60023;32,677213;134,631939;102,983396;58,14752;106,122445;115,266437;137,349012;92,379319;82,604049;93,946414;105,342476;69,754223;140,920032;106,077579;103,782779;117,111706;95,873012;102,757362;100,29524;100,295266;104,859322;104,859353;103,852231;104,158382;104,919539;43,422481
2012-08-31;95,392429;638,113826;121,529776;98,084308;99,44217;110,749085;100,501746;98,822984;106,641256;110,05906;101,08789;95,532537;107,224467;89,081006;111,720717;97,540849;95,069271;100,407672;98,913431;100,21616;97,640183;97,012149;112,425524;96,963656;95,361639;96,097117;99,511669;101,856454;103,416815;112,032593;102,092342;99,557282;82,041475;97,122543;89,737842;312,395094;142,304079;90,500462;106,496143;142,354968;87,780972;102,621274;109,801915;106,455485;96,235436;105,55752;118,363195;152,553234;108,278442;99,967877;84,136786;115,468938;109,697166;112,15422;103,90892;127,132022;98,315334;89,960704;97,897295;113,585564;106,572531;103,122408;103,117989;93,623489;120,075121;101,532935;91,416949;102,719525;97,572672;106,009817;95,34211;96,445388;113,910616;100,610144;98,741151;96,043748;98,970055;122,461249;88,798551;131,682746;89,278195;82,405581;67,61383;120,560633;98,777706;90,295505;135,252532;93,035918;95,071269;90,233671;102,817703;90,436271;112,324234;98,56522;98,109026;97,696726;109,446205;115,545914;141,5656;110,047478;114,032291;218,55203;52,998346;112,713448;113,5974;118,075436;104,325987;116,181098;90,551669;194,379304;130,741826;168,897059;112,747057;81,466349;97,66106;105,855808;116,016447;96,406459;105,385486;151,903424;95,028031;92,715008;120,768528;119,233318;96,296601;95,716442;90,26205;93,981528;98,462424;87,133049;98,191474;83,784525;208,116565;104,921346;97,882314;89,887194;125,833545;88,883381;103,580003;92,649191;82,733556;179,244568;112,570216;89,122571;96,026537;132,021733;97,264285;63,976321;109,647562;108,278306;95,882991;74,42312;117,996119;92,187093;150,427561;92,001593;99,167691;128,801742;83,204364;116,565663;100,298864;115,12995;83,376766;73,570723;84,994576;103,806351;99,703576;102,414732;120,212935;70,98828;196,523615;166,545924;112,087499;85,154661;108,641675;53,324453;91,178954;93,727578;99,872494;100,201153;91,208982;93,230024;94,860766;101,224465;90,177034;114,773401;134,010129;102,254085;58,533002;106,245982;114,533122;136,089663;93,432343;83,048644;94,63;105,734014;71,41997;140,896634;105,86245;103,788485;116,857774;96,561382;102,007359;100,724983;100,725;104,60882;104,608847;103,877366;103,808285;104,194084;48,187598
2012-09-30;94,991259;638,893542;121,774459;96,957765;98,892481;111,487517;100,095141;99,058546;106,271525;109,558957;101,168912;96,106076;108,673341;89,049068;110,471709;97,878445;95,63471;100,103534;99,261631;99,821235;97,815367;96,762459;112,645569;96,76237;94,095193;96,455138;101,056464;102,330627;102,969611;111,170266;102,681881;99,36;83,010967;96,935999;89,977348;312,660965;138,299776;90,373096;106,695158;138,013596;86,845935;102,64944;109,529438;106,751267;97,833112;104,78723;119,801138;150,305739;108,190809;102,482747;86,331567;115,400837;108,585138;112,525152;103,232699;126,073748;97,54398;92,533158;98,262055;113,050453;106,60936;103,502971;102,832733;93,675352;119,022973;101,487192;90,255655;101,583759;97,888354;100,410834;94,905944;95,434186;116,119316;99,87755;97,962471;95,501597;99,041477;123,091791;89,732739;131,003743;88,331215;83,120817;67,686566;117,157176;96,253606;90,070751;134,614753;93,845097;95,210815;89,986607;103,165059;89,878876;112,154267;99,396578;98,569968;97,660829;110,476166;112,846985;142,942764;108,521525;112,678676;207,751217;55,7736;110,757033;112,868658;116,051814;102,286861;112,289374;90,130704;197,609496;123,376647;163,761709;110,238472;82,313031;97,288001;105,015298;113,492562;96,325872;103,568697;148,146188;93,291847;92,225146;120,535151;119,40866;96,667758;95,197692;90,517052;93,521587;97,257154;86,588744;98,373916;85,160083;206,460993;105,235946;96,829775;89,338754;124,690228;88,652766;103,429645;90,579098;81,17078;177,071048;116,140258;90,993984;95,923747;131,306557;96,944558;64,096161;109,959753;108,757566;95,760427;73,092157;116,325097;91,558043;151,288379;89,261713;103,093141;127,829407;83,237238;116,318193;100,377602;113,827018;83,540472;73,534714;86,790856;103,44478;99,824813;102,594455;118,836775;70,56687;169,066859;155,161258;110,580825;87,653331;109,311616;53,790248;91,256022;91,689334;98,243349;100,264074;90,661988;92,967583;93,588673;101,181411;90,937803;114,488491;133,418902;101,597447;58,921926;106,197807;113,232032;134,600147;94,580663;83,405204;95,550921;106,190706;73,822331;141,013343;105,848316;103,780019;115,863904;97,892853;101,285247;101,108491;101,108496;105,029971;105,02999;103,761545;103,474987;103,544633;54,403735
2012-10-31;94,816515;635,660339;120,970157;95,925458;98,894514;111,624985;99,686042;99,393349;105,953366;109,155131;101,120657;96,252994;109,261039;89,03933;109,517208;98,256882;96,079447;99,774198;99,271193;99,504187;97,907479;96,439671;112,666843;96,394846;93,650677;96,633544;102,358465;102,305026;102,401536;110,372542;103,021894;99,063908;83,898005;96,910946;90,147688;313,134761;132,594629;90,341452;106,986156;134,74594;85,565964;102,873238;109,200559;107,425278;98,245643;105,612139;121,572442;145,180022;107,629044;106,242901;87,825281;115,23133;107,107568;112,863737;102,456287;124,967736;97,154497;93,837096;98,345717;112,684311;106,56908;103,344819;103,267695;94,224471;118,086693;101,31122;89,453097;99,696062;98,116717;98,310817;93,992025;94,764707;117,047515;98,684742;98,522258;95,093541;98,284884;123,690771;90,611456;130,360118;87,389439;83,810822;67,805255;114,579165;94,930219;89,707556;133,931571;94,375988;95,61049;89,807066;103,089886;89,267378;112,183818;99,477953;99,142446;97,600753;110,685636;110,372082;144,932027;107,289367;111,658454;195,757582;58,229981;108,836674;112,190553;113,767425;100,498466;107,877184;89,853355;198,26033;117,634251;158,873393;108,606412;84,384326;96,648521;104,23169;111,865527;95,937402;101,043844;144,448326;92,270158;91,15146;119,949922;118,355597;96,283127;94,893781;90,980617;93,346128;95,992553;86,335892;97,881727;86,768309;203,854218;105,514087;95,76459;89,335458;123,154213;88,618134;103,222278;89,157314;79,625015;174,64116;118,656683;93,908497;96,179653;129,980765;96,700668;64,949848;110,513204;109,403113;96,331232;72,373509;114,659298;90,789197;151,732774;88,823273;107,673685;126,514628;83,232015;116,674957;101,827768;112,486093;83,480905;73,470127;88,494591;103,072468;99,451221;102,670665;118,112126;69,893041;149,792687;144,033792;108,914849;89,074108;109,829686;56,033043;90,275085;89,489998;95,955404;99,940863;89,746914;92,634945;92,253486;101,105334;91,916277;112,485226;132,943021;101,105327;59,289453;105,951816;111,634937;132,797824;95,470661;83,60423;96,666045;106,539625;76,289097;141,270294;106,071322;103,761914;114,435718;99,397309;100,676221;101,424173;101,424167;106,075191;106,075202;103,509571;103,23487;103,061175;61,695044
