;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
2012-01-31;94,813198;664,180827;164,642548;88,044599;129,048394;107,155519;103,046118;100,5361;107,844684;108,381732;95,781295;88,780443;65,180475;99,446474;140,686694;102,340956;88,014689;99,91275;104,311772;100,013069;88,270833;99,630201;103,457735;82,809693;99,361638;125,818116;103,201079;100,705073;105,559097;115,464039;89,654301;59,078398;61,795926;102,987165;81,283942;340,995127;136,923414;98,472275;105,549601;131,892383;86,572602;108,863173;114,851371;113,044911;114,374134;153,630132;124,368496;147,365091;100,095419;127,774589;109,523977;113,671209;123,235961;151,657826;119,146997;133,161489;100,329842;90,288134;106,135014;120,18909;116,459301;105,246991;137,50112;91,616284;125,549185;107,143459;92,005506;101,645934;93,143553;149,138486;85,545929;116,997758;118,82395;100,365793;114,877811;117,686474;101,356725;121,881706;97,10204;138,830133;87,564127;85,449133;65,534998;113,061184;84,483082;78,73758;154,431477;102,684868;101,416007;93,25685;105,443293;100,472493;118,217219;113,755196;106,85064;102,606095;95,240513;130,809342;136,476774;127,483471;123,558341;236,419213;72,199682;98,773168;136,047033;106,879791;115,112181;43,029518;97,310055;160,362654;189,550959;216,239791;134,175144;101,146245;102,127263;126,235295;143,259268;92,679587;114,041818;179,963398;124,926907;108,729675;118,7952;121,910276;96,159255;87,508472;94,057202;96,778139;115,074566;91,687255;108,413554;81,894519;246,884338;118,945572;102,904543;87,840203;147,069943;101,415872;108,760114;102,011593;83,389886;156,218961;104,214347;75,089325;82,932684;150,419589;55,341163;52,167059;98,003202;113,119247;89,683874;88,642787;121,088556;94,426515;158,481014;99,770136;146,435843;129,806697;77,053032;131,08476;91,877144;102,098354;86,469179;32,118205;77,182597;88,299096;81,284893;87,320527;137,110882;53,232079;244,748559;182,732743;86,722397;64,980471;86,542532;58,317812;102,111034;114,364161;116,128134;118,099453;100,53434;98,282874;115,119464;112,039596;86,394828;54,395893;109,666796;99,57254;79,105509;102,523738;125,812734;138,864941;91,00999;93,70018;87,069858;94,32434;61,585225;111,608209;116,197486;108,763438;90,987118;126,596015;111,001993;130,888289;130,88829;180,427599;180,427581;94,706723;107,262905;94,685009;58,011886
2012-02-29;91,753827;601,727132;107,31546;67,356753;114,564793;94,228459;98,910313;93,965408;104,885054;113,093746;98,105995;86,881585;55,839447;84,142032;165,259747;98,977654;103,465692;100,824198;94,133331;100,013069;97,054746;101,888137;126,525662;98,102902;98,784628;105,052972;85,236901;102,299286;101,438789;107,801743;81,130515;59,123038;62,398393;92,555426;86,362874;306,340087;136,331713;101,414474;107,87229;126,179802;104,613843;108,863173;113,115683;113,044911;96,482323;144,08783;179,497444;146,387918;122,530917;107,519888;119,534256;120,280376;108,671447;139,874877;105,662872;129,283261;89,052094;90,288134;78,237166;112,233076;110,509222;97,412047;112,573929;92,571256;125,549185;108,381624;92,005506;88,984372;86,999204;136,525408;69,534847;95,896496;110,463723;94,964766;90,322227;142,796873;95,911367;118,816374;100,576181;124,321248;81,267484;82,114992;62,326497;112,742495;95,985509;87,324647;154,893414;104,624924;98,764143;90,949601;98,653138;99,565165;114,008744;104,442428;101,54642;97,293707;95,360588;140,701397;139,754615;123,098873;140,274175;266,3228;72,199682;83,14323;119,468959;82,28723;112,329495;55,746137;96,771921;190,043333;160,805705;224,030916;121,297004;112,606456;99,644004;100,955527;139,041993;90,685673;104,799748;159,558497;124,143017;100,126272;121,548796;123,122015;89,067617;96,862754;91,437557;106,759087;109,663242;91,648542;102,9568;68,783722;217,315139;117,330583;104,642294;90,156998;121,535635;95,227116;97,996601;86,206279;81,169908;161,292916;96,027592;79,931711;94,986195;172,765699;74,189692;70,635393;100,440386;108,01502;100,943884;124,362323;123,805007;89,802624;145,738088;99,770136;84,579763;133,205957;74,121053;123,997889;90,748235;110,450851;87,427096;51,257233;85,079093;110,368055;85,598808;92,304118;150,782201;92,104222;133,814906;155,331657;80,583988;80,606482;83,323355;87,144321;97,82218;120,016765;117,63116;109,273218;99,135276;98,282874;114,326087;114,074997;85,851023;68,798385;126,078259;112,91253;79,105509;123,83919;129,728209;138,864941;94,762179;95,612982;93,539469;100,568113;64,005267;123,378684;117,372836;106,359814;98,951463;120,5545;108,607602;141,073982;141,073986;215,088337;215,088326;91,641457;101,999469;87,981129;58,011886
2012-03-31;102,217449;615,850267;137,401241;112,82399;108,620908;95,984711;106,405277;101,39965;108,473993;120,706384;112,045436;106,301541;62,806028;97,650818;129,927036;104,795614;124,064974;106,404264;103,61943;100,013069;100,309606;107,069494;119,179961;96,262154;102,650745;124,521172;100,572959;106,072789;105,081515;115,491964;89,235799;71,222903;79,192885;102,707118;106,095702;346,62734;151,424031;110,543076;122,73304;131,129076;95,497124;108,863173;128,156035;113,044911;97,378926;120,880477;158,884947;198,954951;129,793176;93,1059;97,882201;133,620367;113,221385;123,688234;113,295808;136,341222;99,221983;90,288134;97,267188;123,844358;113,618979;101,097381;116,040027;104,955363;125,549185;118,454083;92,005506;89,670467;95,17559;151,688789;93,139697;100,691967;120,75874;107,427669;108,569186;169,639341;120,541944;121,111139;99,25872;137,305457;77,956257;86,631392;70,009402;113,191553;116,534309;90,905067;166,195462;110,390898;111,390375;97,562816;110,184154;109,34375;116,535791;106,849976;107,133399;101,914077;124,0761;149,219657;165,494685;144,706632;138,602554;262,909389;72,199682;134,822751;137,335349;143,170258;123,170999;106,286893;107,8477;214,560374;183,560835;230,16282;143,113753;94,515155;104,129119;121,267799;140,000487;96,88473;116,26758;184,426251;130,18359;99,681242;131,38504;125,53016;88,901789;111,955134;95,57078;113,54797;116,188409;109,993501;112,002695;86,236657;226,914166;116,541565;118,447156;96,444688;145,25394;99,783709;110,416227;100,915368;90,606574;202,106582;133,787817;92,174992;108,44152;149,370308;119,467962;65,665553;122,508212;110,028977;112,672374;99,11955;139,056459;96,017963;150,088882;99,770136;93,027708;140,424431;75,975852;138,343051;115,310739;124,945236;87,612281;126,211808;103,748663;119,943208;101,603538;114,976619;171,170485;91,317001;267,049087;192,539706;116,812244;80,023765;80,505586;86,497305;97,507636;121,421978;128,969952;111,639461;104,018709;98,282874;118,395924;114,145102;106,241671;60,53684;188,316997;110,20594;79,105509;111,975618;128,856915;138,864941;108,605369;99,498932;101,577118;110,199894;79,508413;172,697987;129,184104;116,07489;112,825488;107,676926;109,754023;107,801279;107,801276;131,524468;131,524452;97,748256;109,897638;115,710285;58,011886
2012-04-30;100,242503;613,591148;132,095178;103,531792;91,055172;107,144297;101,017231;96,319033;101,02856;108,382135;107,088539;96,604072;53,507658;96,521461;112,821328;100,768194;151,626262;103,410142;91,221503;100,013069;99,850417;91,954301;122,089078;83,086205;97,28712;119,760832;93,365208;99,164859;98,327768;101,678263;92,072275;72,662137;94,311944;100,186698;96,295375;315,111567;136,205937;104,589456;109,844474;164,110541;82,944384;108,863173;114,022692;113,044911;84,103236;100,190407;95,880464;160,884291;83,003499;75,58963;81,066793;129,252957;101,037496;88,276331;109,223915;129,986962;93,079085;90,288134;71,103062;120,198517;103,464429;104,349374;95,773417;97,635445;125,549185;103,889137;92,005506;86,842926;97,569942;135,768184;101,922457;108,350376;98,595717;103,123924;95,839518;113,168939;111,488549;121,268939;89,619194;136,086743;99,906417;82,082718;59,503554;94,562899;116,866117;95,683927;148,710615;95,443158;105,76759;92,192194;102,917619;95,804064;117,090956;96,990588;105,731669;70,609889;141,830128;129,978109;151,312334;127,941074;125,369181;257,776736;72,199682;130,620247;120,543525;119,566017;114,80089;115,763086;98,197045;179,221719;171,33428;192,181085;137,108458;95,209842;99,09492;115,602021;126,241448;99,036382;102,257742;159,604506;115,01299;89,446109;120,665021;116,34241;79,851999;101,18023;87,105674;92,491757;105,679424;87,307486;98,003622;96,946802;202,657591;104,31341;105,663075;91,830899;136,85964;94,327796;100,669242;99,449084;77,940018;147,377154;91,328372;82,335864;93,356094;160,927703;62,27108;84,92189;117,770114;103,953875;93,204637;71,349033;112,872105;90,057846;140,069204;99,770136;86,334158;115,715477;73,745689;138,927303;103,524712;110,986271;87,387517;104,190304;81,735325;92,035423;92,670916;96,711716;148,883955;55,752938;276,242998;205,541861;95,586048;79,496767;68,237469;51,593999;91,409271;107,41511;113,727276;101,400386;92,950615;98,282874;101,836176;97,951727;85,647572;63,982829;146,246983;98,62552;79,105509;90,497082;110,264849;138,864941;91,769789;83,963526;91,953884;99,404488;67,605681;134,216618;94,633533;103,66204;107,934913;97,256603;108,543295;99,790964;99,790963;109,194315;109,194292;93,881882;105,140485;103,993356;58,011886
2012-05-31;101,153133;638,026065;120,442097;100,201165;108,439814;110,600614;104,659505;100,192265;107,689433;103,149594;110,31147;98,57693;56,949117;84,746347;112,821328;103,582527;122,32471;98,532096;98,317903;100,013069;99,301062;84,431361;106,908251;80,344682;102,377162;108,014883;97,797626;97,421966;100,641609;100,122673;91,879469;86,53332;97,410347;101,446908;92,791198;286,673506;134,666257;102,708878;107,333191;172,721315;80,172288;108,863173;107,138192;113,044911;86,557378;148,868396;119,470786;127,732817;75,27871;69,766605;78,004359;123,972151;103,620008;98,737142;100,925704;123,361395;92,174052;90,288134;100,014222;119,064075;102,917566;101,077535;105,17276;108,839091;125,549185;97,359532;92,005506;89,420978;95,722063;144,919327;107,36843;96,480576;89,114824;106,163437;114,298087;78,448296;102,946549;121,545951;79,614062;129,988143;103,347971;79,772036;68,819874;79,917815;100,714824;87,799634;136,801703;90,590298;99,338661;93,139945;99,646382;94,76796;113,674174;91,274174;107,721499;76,092281;136,500352;115,712247;151,470689;128,211601;109,349815;235,08806;72,199682;118,919443;103,471728;117,443964;106,529808;118,854699;99,798982;218,243563;162,991078;189,079063;112,450836;84,019084;102,008671;102,973382;129,311735;98,152585;99,126132;147,918273;107,151019;94,044521;117,786347;113,504784;82,070165;105,039079;81,167694;75,042718;101,593723;85,273462;93,139717;68,742048;207,28788;102,047227;98,772797;90,003865;126,509255;86,70723;92,565465;92,847568;76,174547;179,358987;86,65969;83,378581;89,987651;123,208014;77,075662;50,627974;110,926341;97,251671;82,669735;79,231138;118,661058;87,941038;135,900217;99,770136;74,86887;120,682722;69,298376;120,814219;89,566821;108,233064;83,947362;92,517057;74,119741;97,015279;88,410203;98,704646;126,683348;63,910373;200,227966;199,049804;109,178295;73,310431;131,729923;34,682806;79,852479;99,772361;100,623184;94,505776;95,566169;98,282874;91,769869;85,816522;81,082245;53,755293;138,921244;88,822215;79,105509;91,12446;105,874078;138,864941;90,268436;72,940523;87,850702;97,901043;62,168176;109,016707;98,109822;93,068304;100,153791;88,677911;107,056361;85,297657;85,297656;66,186788;66,186774;106,182213;106,344911;104,338668;58,011886
2012-06-30;95,993856;655,129778;140,73135;117,736139;115,791079;111,138636;99,437937;97,67857;104,83478;118,479888;107,41502;99,692231;97,428465;88,215851;106,522993;94,638062;133,201308;102,915984;101,069921;100,013069;105,017519;103,881686;142,539522;85,797736;94,172722;119,541166;97,618731;105,453214;96,627309;115,680418;100,937219;80,721742;102,970259;94,935823;109,464662;338,317517;159,971374;103,058596;121,074763;160,937787;92,576967;108,863173;119,791627;113,044911;90,85077;106,923882;114,633956;101,436976;122,063955;111,74839;103,050805;126,804087;133,943015;117,039845;109,820225;147,129472;113,832287;90,288134;97,99729;120,682769;112,584475;100,067201;115,415055;109,819145;125,549185;99,782227;92,005506;104,34873;98,647562;136,559698;101,344352;95,179701;102,816399;99,403759;87,767477;68,07835;117,439339;135,46921;93,083233;140,789928;106,922262;86,584673;69,20485;75,659003;113,63993;95,213922;144,111359;103,047854;106,201461;98,137975;117,382097;101,220961;107,121258;109,102108;93,516955;87,833615;116,134077;141,417481;160,56193;130,599044;130,383919;268,15052;72,199682;141,781197;123,964161;142,431951;152,701872;150,01431;97,045226;198,091029;157,844713;215,30197;131,170715;90,452296;107,687975;106,445837;135,656294;102,897223;111,107189;186,703686;110,154017;102,301851;134,756497;138,751934;95,792719;122,35868;93,552729;107,722076;112,655367;102,627417;105,265271;80,295316;229,410726;113,690656;112,456137;107,554744;155,853683;96,799148;113,92833;106,715927;94,422818;199,118145;134,117062;92,127706;113,933091;140,423361;127,167584;88,409753;132,933193;117,183643;110,739274;95,369371;144,256525;101,138904;159,528134;99,770136;101,549485;152,630317;70,171126;125,145597;117,659381;129,476872;92,187929;40,946583;103,39061;123,907158;106,039322;117,803908;139,355708;57,11228;338,250312;209,825326;130,181412;101,133227;120,894842;23,057419;101,966676;117,150905;112,627683;109,130422;102,309085;98,282874;108,908708;111,144167;96,727994;77,446504;160,250184;112,292187;79,105509;112,28359;123,966179;138,864941;99,785616;86,326058;96,725594;115,481486;77,639479;146,91784;105,252287;110,969325;133,051723;82,114141;100,82005;80,546155;80,546153;53,185972;53,185993;110,457447;113,29774;119,369082;58,011886
2012-07-31;96,878632;634,491638;127,155151;121,911868;97,583773;120,5755;96,845728;98,611822;108,14132;114,926272;82,257963;102,154711;130,115182;52,447082;101,011949;90,229509;101,359392;96,767994;101,760654;100,013069;92,637023;95,09221;122,327294;96,596437;96,180984;101,064362;103,341778;107,042352;99,99458;100,222908;116,614601;89,33106;97,61117;97,946324;101,652061;285,427033;140,774022;95,656422;119,894529;191,189213;89,252211;108,863173;108,767462;113,044911;141,563336;125,137165;128,880644;193,491878;141,210631;112,954144;82,479498;126,231948;123,045273;131,475098;112,421852;159,03023;117,779034;90,288134;101,290285;116,290964;111,584911;105,467702;102,338788;87,090483;125,549185;92,231871;92,005506;120,149693;108,415439;134,304295;99,829279;98,958392;103,343594;106,19984;103,578716;77,223179;115,262246;118,561816;94,090805;145,967393;107,8635;88,644302;72,084454;43,196474;91,606393;93,433657;123,794122;97,013179;105,639492;100,222441;128,071338;97,063286;123,561763;111,553904;94,979567;81,234083;111,577965;136,802306;148,099274;106,396087;114,643115;253,842207;72,199682;135,533572;128,906208;146,606192;133,940254;175,984397;99,399349;186,262812;173,116117;221,217454;134,65514;99,163235;106,70102;123,209177;127,967919;104,967811;104,452683;161,628893;102,868439;107,691365;136,340225;149,703612;99,741348;120,640173;89,608345;101,861624;109,282457;98,417006;105,959951;93,924536;233,266832;105,273167;122,299396;100,086875;151,134301;94,773339;114,356184;100,272905;86,219386;174,492616;100,589826;93,227409;86,69224;147,491126;74,196748;55,564632;107,571036;113,700591;91,530191;71,412708;121,808916;98,740635;153,139341;99,770136;117,35377;123,218263;71,239199;113,124477;116,769745;109,179408;90,500356;93,164612;100,928191;80,235957;112,017337;106,911384;118,718103;113,161772;266,979435;229,284004;143,026479;85,608029;82,930623;30,612125;131,497926;105,913032;99,63312;98,339306;94,627347;98,282874;101,795645;106,432308;76,469756;68,875702;133,365108;116,412034;79,105509;130,331878;123,417461;138,864941;88,465464;87,029662;90,133489;109,012833;76,4239;131,899649;124,597141;105,388067;122,85364;83,199689;104,461982;82,583879;82,583883;48,847052;48,847058;122,217737;112,784945;117,056848;58,011886
2012-08-31;98,712818;644,183985;81,77456;74,971396;48,172714;80,891367;103,486989;97,264356;111,367587;91,382083;100,543269;91,503744;192,631073;85,17362;116,11364;92,343117;69,379053;101,996772;98,609674;100,013069;95,677873;83,815835;26,759547;88,254088;90,322263;87,078998;95,063731;86,382847;104,730712;113,447235;105,43518;87,100941;98,764464;102,987165;93,678007;245,87843;95,165767;52,791212;31,03463;92,235953;71,81853;108,863173;94,905612;113,044911;37,871165;37,872226;60,391706;99,36293;71,848825;97,476591;31,185146;39,620237;71,177248;91,03282;66,677665;41,866587;78,934805;90,288134;98,58094;93,833532;92,454282;103,933733;80,837144;52,704261;125,549185;92,15669;92,005506;118,507225;88,249812;116,060822;102,095824;97,042115;111,961871;100,877768;106,241476;62,138292;80,741683;114,086379;73,107341;106,577601;64,100745;71,804689;62,200917;100,226824;76,286768;88,675567;108,521557;58,217123;63,733888;77,600199;43,013127;59,819252;114,08105;42,635477;90,759218;68,766533;61,614047;64,83578;35,557599;42,754911;61,152252;177,957656;72,199682;58,718369;68,267522;83,98481;84,054105;100,91035;49,760515;142,394933;48,853827;73,582848;66,083131;34,389049;70,028945;73,469197;82,151236;55,169617;58,336132;72,394837;42,105337;45,934448;84,813758;50,049478;64,855212;54,807653;86,263384;54,11387;52,207814;53,673949;61,114185;48,895429;148,318125;64,998565;86,584179;99,224842;72,912538;60,833196;65,576919;83,690308;60,116759;127,354428;105,92781;68,579271;75,623384;110,856431;72,564798;34,973089;80,527375;90,916077;64,544526;61,766141;79,63721;75,940919;109,855516;99,770136;103,545327;91,904029;62,289568;109,581001;72,474114;98,148995;65,845299;66,63488;54,757317;87,283718;76,58964;79,739826;36,461485;59,341654;141,915444;125,84566;103,487874;48,095068;113,178034;62,404469;77,470723;35,717667;43,520971;68,302712;56,778935;98,282874;18,480783;58,642616;73,447899;44,786881;93,921115;86,6678;79,105509;100,965873;84,235735;138,864941;67,397118;47,137751;91,183317;97,353528;69,768904;118,555945;70,848464;97,076584;94,845349;79,64221;91,520544;79,362244;79,362245;42,732477;42,732496;128,723902;65,635397;76,732834;58,011886
2012-09-30;94,25734;648,199385;126,386159;100,565827;108,838192;113,466692;94,217472;91,84351;101,248777;111,616341;90,021118;88,26508;201,68115;90,85708;103,397682;89,452298;72,353812;97,508202;101,649152;100,013069;102,172006;99,497387;113,66491;102,262551;88,269922;102,062759;95,283731;107,254781;97,87697;114,958945;119,505913;98,083573;70,178828;91,435239;81,385895;342,303155;140,984915;87,499964;111,345183;147,863757;77,89988;108,863173;114,572795;113,044911;89,393897;102,002889;105,682645;185,82846;142,359463;106,417622;81,735737;118,28822;117,166919;107,61496;105,816236;127,091488;113,252834;90,288134;96,93552;119,114904;103,594848;97,031806;97,394864;86,722134;125,549185;104,975302;92,005506;94,514709;102,507852;91,29875;102,637982;96,231063;110,932652;102,020482;81,619764;55,223689;93,384731;115,62171;82,407795;137,741512;92,070003;81,355824;60,671964;120,926937;99,113596;87,027652;150,212717;97,539095;98,219237;84,612593;110,462726;92,883707;110,846873;113,45993;99,411422;95,235957;118,447727;107,438063;159,933214;107,555799;113,110838;182,07554;72,199682;117,72525;117,73432;119,670884;118,473584;139,56749;99,635803;154,405005;117,97345;172,486852;115,017932;89,694457;97,95441;116,092838;118,552366;107,023306;117,445451;170,232538;108,228868;98,197902;124,715193;123,8736;115,152054;88,34955;88,401071;98,303848;101,906827;88,971316;104,123629;80,942044;219,732565;108,542107;96,694785;103,94424;134,557841;91,601981;105,280076;87,556269;86,219447;175,889699;109,179016;83,050004;103,974135;114,555274;126,831904;62,10562;110,208922;110,948687;100,789876;65,250136;121,590442;90,248375;169,230518;99,770136;117,94517;149,124385;75,301225;111,71283;111,752331;125,318259;86,183462;68,22778;89,684375;125,021901;106,031368;98,786245;111,822626;69,54515;222,784679;139,524536;129,342676;91,459176;143,13082;68,442197;99,108946;107,483913;98,613164;105,13237;95,464066;98,282874;85,097214;107,231169;91,008055;83,940883;158,618691;114,735784;79,105509;101,232568;112,844099;138,864941;95,252861;82,398811;98,378687;108,107483;73,936404;162,284464;99,527266;102,410045;125,936841;83,120661;99,44548;80,820444;80,820451;53,962978;53,962996;110,341369;107,949911;110,25525;58,011886
2012-10-31;96,138925;642,697339;136,098446;119,846435;110,742541;138,880613;109,994892;109,186774;118,271903;124,030215;111,189939;99,494946;186,242476;91,956629;118,666375;101,208;66,81542;107,9952;106,507892;100,013069;99,062967;105,382882;127,97228;131,494821;103,228563;120,623146;106,372156;108,731333;110,830228;120,112577;129,286914;146,328266;81,378981;98,366394;83,584537;371,23365;155,268482;98,82094;137,893913;154,443876;90,245539;108,863173;116,346424;113,044911;110,974379;126,218233;115,74509;183,73747;99,411399;132,337254;88,069964;136,598585;121,320515;93,716008;116,862277;148,588441;111,877161;90,288134;94,161564;117,747042;118,962451;113,579428;108,812184;100,273112;125,549185;115,847341;92,005506;100,918258;102,261424;74,837532;108,414899;90,932913;115,718661;100,62413;85,023159;67,12805;101,442524;129,994514;96,384892;142,369613;87,124883;87,393972;66,297613;130,255756;88,765479;89,433043;151,297058;104,697454;101,933705;94,904217;124,361848;96,722608;111,002515;115,704357;102,378124;95,622306;124,586013;125,295453;177,734207;130,969421;144,17454;230,922541;72,199682;128,986221;120,279823;137,636627;126,839311;160,810601;100,311058;194,797161;130,923225;175,588874;125,624085;98,88957;102,547174;124,098723;127,25753;116,090689;108,488803;180,285459;107,900325;101,609613;142,804158;139,595546;128,764701;104,488989;100,139986;113,733769;105,986514;99,403603;109,347701;107,756223;232,521051;116,289722;93,450153;98,588549;145,316996;97,000207;124,424308;93,775462;88,127622;203,543714;117,724003;98,109993;90,145755;174,4221;94,440958;73,275346;124,309174;113,806732;99,8708;63,808855;129,848328;93,566609;193,136182;99,770136;156,347231;127,492066;73,74948;125,640587;110,991628;115,492926;91,29847;92,03286;109,438905;84,558179;105,803642;105,890656;148,815515;68,490299;100,658771;152,338147;114,205706;97,595748;85,217479;53,886328;109,311542;99,717592;118,577351;113,600146;96,264614;98,282874;97,509869;117,427399;101,822349;86,194028;138,576715;109,731131;79,105509;112,810896;124,860235;138,864941;97,243385;87,86943;103,005419;108,46197;83,326263;165,296645;108,067386;110,098068;118,711171;93,717908;104,317427;95,798878;95,798876;93,021425;93,021415;89,573854;116,705574;123,369191;58,011886
