;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039;RF1041;RF1042;RF1051;RF1052;RF1061;RF1062;RF1071;RF1072;RF1073;RF1081;RF1082;RF1083;RF1085;RF1086;RF1089;RF1091;RF1092;RF1101;RF1102;RF1105;RF1106;RF1107;RF1200;RF1310;RF1320;RF1330;RF1391;RF1392;RF1393;RF1395;RF1396;RF1399;RF1412;RF1413;RF1414;RF1419;RF1431;RF1439;RF1511;RF1512;RF1520;RF1621;RF1623;RF1624;RF1629;RF1711;RF1712;RF1721;RF1722;RF1723;RF1724;RF1729;RF1812;RF1813;RF1920;RF2011;RF2012;RF2013;RF2014;RF2015;RF2016;RF2017;RF2020;RF2030;RF2041;RF2042;RF2051;RF2052;RF2053;RF2059;RF2060;RF2110;RF2120;RF2211;RF2219;RF2221;RF2222;RF2223;RF2229;RF2311;RF2312;RF2313;RF2314;RF2319;RF2320;RF2331;RF2332;RF2341;RF2342;RF2351;RF2361;RF2362;RF2363;RF2391;RF2399;RF2410;RF2420;RF2431;RF2432;RF2433;RF2434;RF2442;RF2443;RF2444;RF2445;RF2451;RF2452;RF2453;RF2454;RF2511;RF2512;RF2521;RF2529;RF2530;RF2540;RF2550;RF2561;RF2562;RF2571;RF2572;RF2573;RF2591;RF2592;RF2593;RF2594;RF2599;RF2611;RF2612;RF2620;RF2630;RF2640;RF2651;RF2652;RF2660;RF2670;RF2711;RF2712;RF2720;RF2731;RF2732;RF2733;RF2740;RF2751;RF2752;RF2790;RF2811;RF2812;RF2813;RF2814;RF2815;RF2821;RF2822;RF2823;RF2825;RF2829;RF2830;RF2841;RF2891;RF2892;RF2893;RF2894;RF2895;RF2896;RF2899;RF2910;RF2920;RF2931;RF2932;RF3011;RF3012;RF3020;RF3030;RF3091;RF3092;RF3101;RF3102;RF3103;RF3109;RF3212;RF3250;RF3299;RF3311;RF3312;RF3313;RF3314;RF3315;RF3316;RF3320;RF3511;RF3512;RF3513;RF3514;RF3522;RF3523;RF3600;RFF010;RFF020;RF3230
2012-01-31;94,813198;664,180827;163,195116;87,985006;129,048394;107,155519;103,097522;100,363836;108,378845;109,019289;95,781295;88,874084;65,652761;99,446474;141,76482;102,661972;90,112487;100,69357;104,311772;101,243563;87,556052;101,484952;98,917371;82,809693;98,394903;125,818116;102,052075;99,800385;106,278559;119,154764;87,206012;59,280096;62,017024;102,987165;82,940901;340,995127;139,870252;96,811757;105,923036;131,892383;86,572602;108,863173;116,90981;111,819691;114,374134;153,630132;124,368496;147,365091;100,095419;127,774589;109,523977;113,671209;121,912553;151,657826;118,396732;131,646204;99,635725;89,546427;106,135014;120,084866;116,941868;104,937274;138,273546;91,616284;126,064833;107,8629;92,005506;102,204906;93,143553;149,138486;85,545929;116,997758;121,86427;100,695022;114,877811;117,686474;99,363856;121,67695;96,683799;138,830133;87,434634;83,313759;66,280527;113,061184;85,942689;77,293847;154,431477;102,226053;101,707347;93,114883;104,713998;100,719652;118,217219;113,931942;106,85064;102,606095;97,032336;130,809342;136,476774;127,483471;123,472485;238,009549;72,199682;100,008362;136,047033;107,904963;113,333229;43,029518;96,539471;163,347961;187,338877;216,239791;135,107115;99,530375;102,570443;127,645768;144,491103;92,679587;114,041818;179,963398;123,246248;104,81236;119,092337;119,67179;95,096322;87,508472;94,057202;96,778139;114,27498;90,865712;108,009649;81,894519;246,884338;117,701217;103,248203;88,730502;145,900672;101,002812;109,093407;102,011593;81,21069;142,444758;104,214347;73,317444;82,932684;150,419589;55,341163;52,167059;96,919506;114,295463;89,683874;87,805888;119,768439;94,883626;155,803693;99,046346;144,831091;129,86752;77,053032;131,243863;91,877144;101,584001;85,143489;32,118205;76,914474;88,299096;78,529717;87,442659;134,83215;53,232079;244,748559;182,732743;86,722397;64,980471;86,542532;58,317812;102,111034;111,720742;117,070032;117,611282;100,04716;98,282874;115,119464;112,994394;86,369651;54,395893;109,666796;99,57254;78,011754;103,375343;125,131318;138,864941;92,974355;92,036572;89,576388;94,092697;61,585225;111,608209;116,197486;108,211798;90,987118;126,596015;110,916386;130,888289;130,88829;180,427599;180,427581;94,706723;107,262905;94,820778;58,835701
2012-02-29;91,753827;601,727132;104,582539;61,648553;114,564793;94,228459;94,977952;90,989461;101,397314;108,297719;98,105995;83,728175;53,993679;84,142032;160,140326;95,941012;102,261407;97,409;94,133331;97,016252;94,556761;96,860774;124,139036;98,102902;95,677892;105,052972;84,569638;98,568766;98,134125;103,605155;84,125001;56,359075;59,4812;92,555426;83,317516;306,340087;134,514989;98,154639;103,691767;126,179802;104,613843;108,863173;107,621985;108,983412;96,482323;144,08783;179,497444;146,387918;122,530917;107,519888;119,534256;120,280376;106,07294;139,874877;103,574779;124,582294;86,863817;88,315335;78,237166;108,649754;106,516525;93,646893;109,157394;92,571256;120,052882;105,383296;92,005506;86,066373;86,999204;136,525408;69,534847;95,896496;97,680818;92,906303;90,322227;142,796873;96,620497;110,61818;95,991575;124,321248;76,678732;79,847182;56,243534;112,742495;95,214745;84,788649;154,893414;100,973849;94,86361;87,711492;96,398836;98,365514;114,008744;100,584338;101,54642;97,293707;93,443338;140,701397;139,754615;123,098873;135,108432;253,857295;72,199682;75,816294;119,468959;79,714063;116,060499;55,746137;91,661815;190,158257;158,376584;224,030916;122,73385;106,004858;97,935188;95,349137;132,205596;90,685673;104,799748;159,558497;119,262766;97,109526;120,457437;123,898239;85,737536;96,862754;91,437557;106,759087;107,502765;90,426541;104,235638;68,783722;217,315139;114,592629;103,378995;86,433342;119,641007;91,646912;94,589982;86,206279;80,638484;167,445027;96,027592;69,045632;94,986195;172,765699;74,189692;70,635393;99,937051;102,83719;100,943884;111,636611;120,137802;89,40337;145,519518;97,278846;82,552933;130,783329;74,121053;119,061829;90,748235;109,160512;85,171369;51,257233;81,19392;110,368055;86,36174;90,874477;153,317201;92,104222;133,814906;155,331657;80,583988;80,606482;83,323355;87,144321;97,82218;115,838411;113,618342;107,392014;97,269403;98,282874;114,326087;110,288251;88,821792;68,798385;126,078259;112,91253;75,565964;117,663402;125,545347;138,864941;91,098789;88,885305;92,651883;100,291411;64,005267;123,378684;117,372836;106,446374;98,951463;120,5545;105,25958;141,073982;141,073986;215,088337;215,088326;91,641457;101,999469;87,659922;54,465033
2012-03-31;102,217449;615,850267;138,563593;115,371123;108,620908;96,334124;107,762778;102,18299;109,432084;122,07387;112,045436;106,146964;62,818057;97,650818;129,619671;104,987185;119,433025;106,454581;103,61943;99,755092;101,115614;106,306036;123,220545;96,262154;104,2573;124,521172;99,856711;108,212358;105,094694;113,436279;91,539036;72,984586;80,86465;102,707118;104,989296;346,62734;149,861757;112,205461;123,940642;131,129076;95,497124;109,226773;128,136293;113,659108;97,378926;115,247663;158,884947;198,954951;129,793176;93,1059;97,882201;133,620367;113,520076;123,688234;113,608524;139,488209;99,781177;90,662585;97,267188;124,728463;114,355491;102,744733;115,925794;104,955363;126,338574;118,757199;92,005506;89,187117;95,17559;151,688789;93,139697;100,691967;120,463592;105,702841;108,569186;169,639341;121,538158;124,574013;101,76997;137,305457;80,730363;89,0122;70,151835;113,191553;117,930691;92,906224;166,195462;110,490778;112,647603;98,466433;111,17956;109,320828;116,535791;107,990169;107,133399;101,914077;121,069405;149,219657;165,494685;144,706632;142,428775;264,856191;72,199682;136,812003;137,335349;144,404259;124,677662;106,286893;108,855381;205,067548;183,699947;225,302827;142,868036;99,392485;104,029803;123,695432;141,541518;96,88473;116,26758;184,426251;132,726724;100,856582;133,016961;127,375305;90,602719;109,192553;95,57078;113,54797;115,936721;110,272515;111,816344;86,236657;226,914166;117,468972;118,885007;97,014644;147,657856;100,477491;112,006204;100,915368;92,425532;207,984622;133,787817;92,773814;108,44152;149,370308;119,467962;65,665553;125,065758;111,421498;112,672374;108,587971;141,133741;95,284225;150,907714;101,380883;93,875513;140,457717;75,975852;140,182159;115,696214;123,776184;88,940638;126,211808;104,678034;119,943208;103,45307;113,606224;170,501379;87,620914;267,049087;192,539706;116,812244;80,023765;80,505586;86,497305;97,507636;122,0099;130,235883;111,287262;103,123136;98,282874;118,395924;114,510358;104,889258;60,53684;188,316997;110,539399;83,758709;113,048584;130,509652;138,864941;107,725887;99,279576;97,102694;110,477089;79,508413;172,697987;126,659009;116,093771;112,825488;107,676926;109,307917;108,726936;108,726962;131,524468;131,524452;97,748256;109,897638;116,220608;59,348904
2012-04-30;100,242503;613,591148;131,265281;104,781378;91,055172;106,794884;103,015471;97,954989;102,161533;110,323866;107,088539;100,799971;54,545713;96,521461;115,744998;102,296822;157,322733;105,69796;91,221503;101,894585;100,417915;95,799479;118,393767;83,086205;98,190787;119,760832;96,223899;99,205617;99,980723;105,115251;92,285559;74,094161;95,159127;100,186698;101,154535;315,111567;143,475786;106,115751;111,27334;164,110541;82,944384;108,499574;115,825857;113,733805;84,103236;105,087287;95,880464;160,884291;83,003499;75,58963;81,066793;129,252957;101,003678;88,276331;110,246226;129,730653;94,347653;90,684809;71,103062;121,381611;105,350676;104,808402;99,267406;97,635445;129,07889;106,084291;92,005506;88,835765;97,569942;135,768184;101,922457;108,350376;102,019032;106,349428;95,839518;113,168939;112,82307;121,002244;89,50564;136,086743;100,249715;82,979528;61,050792;94,562899;121,066899;96,073301;148,710615;96,329979;106,793133;93,272124;104,645137;97,234007;117,090956;98,049512;105,731669;70,609889;147,041662;129,978109;151,312334;127,941074;124,101102;259,543557;72,199682;130,987441;120,543525;120,222471;116,571165;115,763086;99,832597;184,761007;174,939101;196,326611;136,928031;94,766396;99,74425;115,158099;130,027996;99,036382;102,257742;159,604506;116,531435;92,122286;121,819173;117,400362;81,000198;103,740098;87,105674;92,491757;107,89076;88,473977;98,992775;96,946802;202,657591;106,155367;108,386859;93,157654;138,075489;94,561884;102,197311;99,449084;76,86336;147,416322;91,328372;85,482301;93,356094;160,927703;62,27108;84,92189;118,793753;104,264349;93,204637;72,637963;114,165076;91,850375;141,914498;100,535215;86,196879;118,684467;73,745689;139,784865;103,17979;113,787225;87,928987;104,190304;83,803217;92,035423;92,904493;99,814128;149,917315;59,449025;276,242998;205,541861;95,586048;79,496767;68,237469;51,593999;91,409271;108,997576;114,534502;101,217622;95,460873;98,282874;101,836176;100,065928;88,862372;63,982829;146,246983;98,29206;78,800903;91,967777;111,389117;138,864941;93,410853;84,207287;94,243626;100,417302;67,605681;134,216618;97,158628;104,035434;107,934913;97,256603;109,231549;98,941383;98,941357;109,194315;109,194292;93,881882;105,140485;104,69761;58,517964
2012-05-31;101,153133;638,026065;117,832399;97,869441;108,439814;110,600614;100,941486;96,589521;105,065678;100,071113;110,31147;92,565098;54,97208;84,746347;110,768909;101,596033;116,863722;95,51383;98,317903;97,761416;96,632433;81,324135;110,719071;80,344682;98,783606;108,014883;93,593638;95,607532;97,889334;97,189402;88,431393;82,37793;94,901003;101,446908;89,121796;286,673506;126,503625;98,463684;104,334752;172,721315;80,172288;108,863173;106,436948;110,17422;86,557378;148,868396;119,470786;127,732817;75,27871;69,766605;78,004359;123,972151;104,196178;98,737142;98,147205;121,202754;89,055868;88,663818;100,014222;119,013765;99,81891;99,265195;100,332799;108,839091;121,281533;94,748472;92,005506;92,727334;95,722063;144,919327;107,36843;96,480576;90,525377;104,216412;114,298087;78,448296;100,086179;119,1521;77,649912;129,988143;99,388239;75,751346;67,012655;79,917815;95,059425;85,41617;136,801703;88,636031;97,287596;90,200891;96,013252;91,408884;113,674174;88,532359;107,721499;76,092281;130,339395;115,712247;151,470689;128,211601;108,555469;233,549715;72,199682;116,564211;103,471728;115,918498;103,794401;118,854699;97,35703;210,342669;159,293118;189,079063;111,04533;81,93941;100,931184;99,088423;123,002272;98,152585;99,126132;147,918273;103,262535;89,116318;116,33565;110,356489;80,145545;105,039079;81,167694;75,042718;98,911626;83,456819;90,539296;68,742048;207,28788;99,265452;95,422042;88,242607;123,239548;85,640919;90,422367;92,847568;74,836681;164,465419;86,65969;80,086127;89,987651;123,208014;77,075662;50,627974;110,064231;97,225735;82,669735;70,451085;114,731422;85,6947;133,081046;98,23044;75,99536;119,206433;69,298376;118,105429;89,566821;106,594709;81,997442;92,517057;71,746328;97,015279;89,15291;95,597349;125,657538;63,910373;200,227966;199,049804;109,178295;73,310431;131,729923;34,682806;79,852479;98,817618;96,755386;92,946242;93,291132;98,282874;91,769869;81,971006;79,085413;53,755293;138,921244;88,822215;73,793226;89,80222;103,664383;138,864941;89,189575;70,799651;85,111863;95,507105;62,168176;109,016707;98,109822;92,911547;100,153791;88,677911;106,999935;85,297657;85,297656;66,186788;66,186774;106,182213;106,344911;103,959567;56,491461
2012-06-30;95,993856;655,129778;144,757653;118,818277;115,791079;111,138636;101,221116;99,629747;105,612949;119,975248;107,41502;102,890455;99,011583;88,215851;105,756159;95,046674;134,377302;103,870165;101,069921;100,383205;107,30783;104,887938;142,424014;85,797736;96,700327;119,541166;98,973119;107,410352;97,701671;115,275168;104,172011;83,445108;104,63242;94,935823;108,496784;338,317517;160,864157;105,777495;122,954882;160,937787;92,576967;108,863173;118,689705;115,226709;90,85077;106,923882;114,633956;101,436976;122,063955;111,74839;103,050805;126,804087;133,400664;117,039845;111,458268;149,544421;116,233844;91,540031;97,99729;119,557006;114,00107;101,44792;116,724257;109,819145;127,453401;100,930367;92,005506;99,049535;98,647562;136,559698;101,344352;95,179701;97,701707;99,040065;87,767477;68,07835;118,965187;138,129756;95,160937;140,789928;110,627852;90,194927;69,464831;75,659003;115,094547;97,474125;144,111359;104,863414;107,39909;99,9971;119,287708;103,150094;107,121258;110,785;93,516955;87,833615;117,312916;141,417481;160,56193;130,599044;132,446344;267,922044;72,199682;143,769235;123,964161;143,300963;153,667003;150,01431;97,851627;199,369715;158,18097;215,30197;132,756649;93,182034;108,116132;111,045682;138,17921;102,897223;111,107189;186,703686;112,524056;106,5155;135,053042;140,842276;96,56914;122,35868;93,552729;107,722076;114,155154;103,27757;106,876539;80,295316;229,410726;114,84869;113,741574;108,139086;157,907541;97,631371;114,543358;106,715927;96,837342;217,092079;134,117062;92,273722;113,933091;140,423361;127,167584;88,409753;132,771664;116,865867;110,739274;105,351704;147,50769;101,592713;160,50201;100,544753;100,203534;151,137617;70,171126;127,230495;117,659381;128,230773;93,596379;40,946583;103,696132;123,907158;104,831591;117,852422;139,348157;57,11228;338,250312;209,825326;130,181412;101,133227;120,894842;23,057419;101,966676;116,523181;115,688255;110,589101;103,170146;98,282874;108,908708;112,875482;97,972909;77,446504;160,250184;112,292187;84,722399;112,135135;124,900337;138,864941;99,218387;88,223168;97,412488;116,862609;77,639479;146,91784;105,252287;110,752688;133,051723;82,114141;100,188222;80,546155;80,546153;53,185972;53,185993;110,457447;113,29774;119,80128;59,058028
2012-07-31;96,878632;634,491638;126,037285;121,852276;97,583773;120,5755;96,894039;98,442855;108,67695;115,602328;82,257963;102,262458;131,057974;52,447082;101,786035;90,512535;103,775256;97,524237;101,760654;101,243563;91,886886;96,862481;117,78693;96,596437;95,245194;101,064362;102,191208;106,080732;100,676116;103,426462;114,166312;89,532758;97,832267;97,946324;103,724221;285,427033;143,72086;93,995905;120,318716;191,189213;89,252211;108,863173;110,8259;111,819691;141,563336;125,137165;128,880644;193,491878;141,210631;112,954144;82,479498;126,231948;121,721865;131,475098;111,671587;157,514945;116,964198;89,546427;101,290285;116,19012;112,04728;105,157335;102,913686;87,090483;126,064833;92,951311;92,005506;120,708666;108,415439;134,304295;99,829279;98,958392;106,383914;106,548207;103,578716;77,223179;113,269377;118,35706;93,672564;145,967393;107,703988;86,429081;72,829983;43,196474;93,066;91,720456;123,794122;96,554364;105,942964;100,080475;127,342043;97,310445;123,561763;111,73065;94,979567;81,234083;113,677154;136,802306;148,099274;106,396087;114,557259;255,432543;72,199682;136,768765;128,906208;147,631365;132,161302;175,984397;98,628766;189,730275;171,095832;221,217454;135,587111;97,579044;107,144201;124,585838;129,199754;104,967811;104,452683;161,628893;101,18778;103,77405;136,637361;147,465125;98,678415;120,640173;89,608345;101,861624;108,482872;97,595463;105,556046;93,924536;233,266832;104,171846;122,643056;101,1013;149,965031;94,360279;114,689478;100,272905;84,040189;159,107181;100,589826;91,455529;86,69224;147,491126;74,196748;55,564632;106,487339;114,882851;91,530191;70,738482;120,480946;99,197746;150,46202;99,046346;116,067721;123,279086;71,239199;113,261781;116,769745;108,629382;89,174666;93,164612;100,660068;80,235957;109,262162;107,060917;116,439371;113,161772;266,979435;229,284004;143,026479;85,608029;82,930623;30,612125;131,497926;103,269612;100,575018;97,851134;94,140167;98,282874;101,795645;107,387106;76,44458;68,875702;133,365108;116,412034;78,011754;131,183483;122,736046;138,864941;90,374908;85,366055;92,728214;108,78119;76,4239;131,899649;124,597141;104,836426;122,85364;83,199689;104,376375;82,583879;82,583883;48,847052;48,847058;122,217737;112,784945;117,192617;58,835701
2012-08-31;98,712818;644,183985;78,037151;72,378179;48,172714;80,891367;100,25407;95,121913;109,228383;89,290912;100,543269;89,209234;185,732049;85,17362;115,313593;90,988812;68,857116;99,38548;98,609674;97,835858;94,536851;81,992625;23,774609;88,254088;89,267123;87,078998;94,558983;83,609451;101,307112;110,524948;106,076674;83,980519;93,930508;102,987165;90,664177;245,87843;92,214144;51,040727;29,984041;92,235953;71,81853;108,863173;92,120227;110,389407;37,871165;37,872226;60,391706;99,36293;71,848825;97,476591;31,185146;39,620237;68,384897;91,03282;65,634038;40,829727;77,229115;87,529317;98,58094;94,275434;90,086156;101,156766;78,824517;52,704261;122,524174;90,094754;92,005506;118,261114;88,249812;116,060822;102,095824;97,042115;109,494879;100,693826;106,241476;62,138292;79,149301;110,842692;70,589889;106,577601;62,02765;70,079733;59,917762;100,226824;73,67374;86,412881;108,521557;56,073436;62,136746;75,417346;41,329585;56,428358;114,08105;41,214105;90,759218;68,766533;60,834603;64,83578;35,557599;42,754911;56,186052;175,407515;72,199682;55,035378;68,267522;80,051928;82,768997;100,91035;50,529401;135,832758;47,302259;73,582848;62,383133;33,363222;68,567493;72,047817;77,537592;55,169617;58,336132;72,394837;40,146689;46,677212;82,626768;50,60015;61,754267;54,807653;86,263384;54,11387;50,49001;51,883366;58,60464;48,895429;148,318125;63,346141;83,452692;95,372451;71,689031;57,223678;62,821176;83,690308;58,34753;134,070523;105,92781;71,244361;75,623384;110,856431;72,564798;34,973089;78,936825;87,75551;64,544526;58,478044;77,815584;73,308788;110,188039;97,329739;100,442413;90,765662;62,289568;106,266215;72,474114;95,686756;64,415107;66,63488;52,99625;87,283718;75,46713;75,97409;36,919325;59,341654;141,915444;125,84566;103,487874;48,095068;113,178034;62,404469;77,470723;36,032339;40,681011;66,146748;55,072218;98,282874;18,480783;53,812333;69,933794;44,786881;93,921115;86,6678;74,968641;99,226249;82,011052;138,864941;64,854004;45,539973;86,906964;95,21045;69,768904;118,555945;70,848464;95,681865;94,845349;79,64221;91,392457;79,362244;79,362245;42,732477;42,732496;128,723902;65,635397;75,109055;55,740245
2012-09-30;94,25734;648,199385;137,518681;107,29722;108,838192;113,466692;101,127637;97,355337;105,683626;117,242411;90,021118;93,960784;213,977336;90,85708;108,330857;91,99504;75,608749;101,745997;101,649152;103,343674;106,659841;102,303789;120,682513;102,262551;93,623495;102,062759;100,910591;112,859098;103,294134;118,624489;124,810386;103,888198;79,234468;91,435239;87,626986;342,303155;151,003034;93,647532;117,813583;147,863757;77,89988;108,863173;118,476199;117,819934;89,393897;102,002889;105,682645;185,82846;142,359463;106,417622;81,735737;118,28822;125,496083;107,61496;111,553281;131,654736;119,509149;95,20273;96,93552;118,611254;109,008805;102,014174;103,461178;86,722134;132,040938;108,917079;92,005506;96,294632;102,507852;91,29875;102,637982;96,231063;111,971808;104,406077;81,619764;55,223689;99,866598;120,40046;87,730836;137,741512;97,146196;86,625763;64,391738;120,926937;105,584891;90,663495;150,212717;102,74779;103,216298;89,07252;115,484123;99,146765;110,846873;118,613698;99,411422;95,235957;125,488886;107,438063;159,933214;107,555799;120,014213;187,12875;72,199682;124,731947;117,73432;128,068533;124,201869;139,56749;99,92743;171,964976;126,176322;172,486852;120,793778;93,955013;101,450624;119,643118;121,922848;107,023306;117,445451;170,232538;112,499891;102,5929;129,721337;128,621683;121,513347;88,34955;88,401071;98,303848;107,598586;94,858817;109,805891;80,942044;219,732565;113,864323;102,2219;111,493307;142,069897;97,747514;110,18933;87,556269;91,323934;183,24099;109,179016;90,006383;103,974135;114,555274;126,831904;62,10562;116,868404;116,900426;100,789876;67,417734;128,743935;95,088929;175,003689;104,082698;129,702972;152,868208;75,301225;118,688649;111,752331;135,873743;91,362901;68,22778;96,590091;125,021901;114,334744;106,195678;118,867276;69,54515;222,784679;139,524536;129,342676;91,459176;143,13082;68,442197;99,108946;113,209039;103,840047;110,962129;101,412843;98,282874;85,097214;114,20823;98,099603;83,940883;158,618691;114,735784;86,923531;108,25425;120,36017;138,864941;99,576478;88,142695;103,338704;111,64186;73,936404;162,284464;99,527266;106,733847;125,936841;83,120661;100,170877;80,820444;80,820451;53,962978;53,962996;110,341369;107,949911;114,175869;61,525998
2012-10-31;96,138925;642,697339;131,124617;113,220719;110,742541;138,880613;104,27462;104,697068;114,651399;118,79129;111,189939;94,840928;180,716215;91,956629;113,449401;99,381408;65,36429;105,342984;106,507892;97,887158;96,052364;102,245729;124,439395;131,494821;97,911302;120,623146;102,846235;105,597395;107,818366;117,876063;123,486;141,680682;75,264433;98,366394;79,437928;371,23365;146,817422;94,421988;133,10412;154,443876;90,245539;108,863173;113,189708;111,536417;110,974379;126,218233;115,74509;183,73747;99,411399;132,337254;88,069964;136,598585;116,808421;93,716008;112,724553;143,43035;108,505355;88,689882;94,161564;116,959947;114,803061;109,5406;104,563638;100,273112;120,074158;112,212709;92,005506;99,308822;102,261424;74,837532;108,414899;90,932913;114,682149;98,927851;85,023159;67,12805;97,549695;125,201332;91,486295;142,369613;82,651354;83,94602;63,973034;130,255756;82,051224;87,806917;151,297058;101,243269;98,099746;91,865492;120,757883;93,626207;111,002515;110,655023;102,378124;95,622306;119,806061;125,295453;177,734207;130,969421;138,496999;224,882332;72,199682;122,438068;120,279823;130,912688;122,668422;160,810601;99,013448;188,337198;127,822963;175,588874;122,861983;94,035177;100,168548;119,051727;125,727826;116,090689;108,488803;180,285459;104,725474;97,252202;138,055945;134,690133;124,866356;104,488989;100,139986;113,733769;102,034807;95,849214;106,765241;107,756223;232,521051;114,040869;89,614545;94,110263;137,793802;94,18347;120,347527;93,775462;85,152601;197,784714;117,724003;89,661583;90,145755;174,4221;94,440958;73,275346;117,766392;109,366903;99,8708;60,109514;125,020002;91,634813;188,888977;97,011013;146,851835;124,792502;73,74948;120,199229;110,991628;110,852187;87,546557;92,03286;103,633007;84,558179;99,759866;104,485842;144,260862;68,490299;100,658771;152,338147;114,205706;97,595748;85,217479;53,886328;109,311542;95,733291;113,982598;111,050341;92,309024;98,282874;97,509869;113,960568;97,159614;86,194028;138,576715;109,731131;71,864913;105,604267;118,748794;138,864941;95,398814;85,606288;104,615922;107,025118;83,326263;165,296645;108,067386;107,701742;118,711171;93,717908;104,251828;95,798878;95,798876;93,021425;93,021415;89,573854;116,705574;119,668907;54,866057
